date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-01-16,JP_14,0,1,,,0,1,,
2020-01-24,JP_13,0,1,,,0,1,,
2020-01-25,JP_13,0,1,,,0,2,,
2020-01-26,JP_23,0,1,,,0,1,,
2020-01-28,JP_01,0,1,,,0,1,,
2020-01-28,JP_23,0,1,,,0,2,,
2020-01-28,JP_29,1,,,,1,,,
2020-01-29,JP_27,1,,,,1,,,
2020-01-30,JP_13,0,1,,,0,3,,
2020-01-30,JP_24,0,1,,,0,1,,
2020-01-30,JP_26,0,1,,,0,1,,
2020-01-31,JP_12,1,0,,,1,0,,
2020-02-04,JP_12,0,1,,,1,1,,
2020-02-05,JP_12,0,1,,,1,2,,
2020-02-05,JP_26,1,0,,,1,1,,
2020-02-13,JP_12,1,0,,,2,2,,
2020-02-13,JP_13,1,0,,,1,3,,
2020-02-13,JP_14,1,0,,,1,1,,
2020-02-13,JP_30,1,,,,1,,,
2020-02-14,JP_01,1,0,,,1,1,,
2020-02-14,JP_13,2,0,,,3,3,,
2020-02-14,JP_14,1,0,,,2,1,,
2020-02-14,JP_23,1,0,,,1,2,,
2020-02-14,JP_30,1,,,,2,,,
2020-02-14,JP_47,1,,,,1,,,
2020-02-15,JP_13,8,0,,,11,3,,
2020-02-15,JP_23,1,0,,,2,2,,
2020-02-15,JP_30,3,,,,5,,,
2020-02-16,JP_11,1,,,,1,,,
2020-02-16,JP_13,4,0,,,15,3,,
2020-02-16,JP_23,1,0,,,3,2,,
2020-02-17,JP_14,1,0,,,3,1,,
2020-02-17,JP_23,1,0,,,4,2,,
2020-02-17,JP_30,4,,,,9,,,
2020-02-18,JP_13,3,0,,,18,3,,
2020-02-18,JP_14,1,0,,,4,1,,
2020-02-18,JP_23,1,0,,,5,2,,
2020-02-18,JP_30,3,,,,12,,,
2020-02-19,JP_01,2,0,,,3,1,,
2020-02-19,JP_13,3,0,,,21,3,,
2020-02-19,JP_14,2,0,,,6,1,,
2020-02-19,JP_23,1,0,,,6,2,,
2020-02-19,JP_47,1,,,,2,,,
2020-02-20,JP_01,1,0,,,4,1,,
2020-02-20,JP_12,1,0,,,3,2,,
2020-02-20,JP_14,2,0,,,8,1,,
2020-02-20,JP_23,1,0,,,7,2,,
2020-02-20,JP_40,2,,,,2,,,
2020-02-20,JP_47,1,,,,3,,,
2020-02-21,JP_01,3,0,,,7,1,,
2020-02-21,JP_12,1,0,,,4,2,,
2020-02-21,JP_13,3,0,,,24,3,,
2020-02-21,JP_14,3,0,,,11,1,,
2020-02-21,JP_17,1,,,,1,,,
2020-02-21,JP_23,2,0,,,9,2,,
2020-02-21,JP_43,1,,,,1,,,
2020-02-22,JP_01,9,0,,,16,1,,
2020-02-22,JP_09,1,,,,1,,,
2020-02-22,JP_12,2,0,,,6,2,,
2020-02-22,JP_13,2,0,,,26,3,,
2020-02-22,JP_14,4,0,,,15,1,,
2020-02-22,JP_17,1,,,,2,,,
2020-02-22,JP_23,4,0,,,13,2,,
2020-02-22,JP_30,1,,,,13,,,
2020-02-22,JP_43,2,,,,3,,,
2020-02-23,JP_01,9,0,,,25,1,,
2020-02-23,JP_12,1,0,,,7,2,,
