date,key,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
2020-02-27,MX_TLA,0,0,,0,0,,,,
2020-02-27,MX_VER,0,0,,0,0,,,,
2020-02-27,MX_YUC,0,0,,0,0,,,,
2020-02-27,MX_ZAC,0,0,,0,0,,,,
2020-02-28,AR,4,32,,0,4,,,,
2020-02-28,AR_B,2,11,,0,3,,,,
2020-02-28,AR_B_490,1,1,,0,1,,,,
2020-02-28,AR_B_861,1,1,,0,0,,,,
2020-02-28,AR_C,1,11,,0,1,,,,
2020-02-28,AR_C_001,1,1,,0,0,,,,
2020-02-28,AR_S,1,1,,0,0,,,,
2020-02-28,AR_S_063,1,1,,0,0,,,,
2020-02-28,CH_GE,1,2,,0,0,,0,0,
2020-02-28,CH_GR,0,0,,0,0,,0,0,
2020-02-28,CH_JU,0,1,,0,0,,,,
2020-02-28,CH_TI,0,0,,0,0,,0,0,
2020-02-28,CH_VD,,4,,,,,,,
2020-02-28,CH_VS,,6,,,0,,,0,
2020-02-28,ES_VC,5,78,,0,3,,,,
2020-02-28,LU,,,,,,0,,,
2020-02-28,MX,0,2,,0,1,,,,
2020-02-28,MX_AGU,0,0,,0,0,,,,
2020-02-28,MX_BCN,0,0,,0,0,,,,
2020-02-28,MX_BCS,0,0,,0,0,,,,
2020-02-28,MX_CAM,0,0,,0,0,,,,
2020-02-28,MX_CHH,0,0,,0,0,,,,
2020-02-28,MX_CHP,0,0,,0,0,,,,
2020-02-28,MX_CMX,0,2,,0,1,,,,
2020-02-28,MX_COA,0,0,,0,0,,,,
2020-02-28,MX_COL,0,0,,0,0,,,,
2020-02-28,MX_DUR,0,0,,0,0,,,,
2020-02-28,MX_GRO,0,0,,0,0,,,,
2020-02-28,MX_GUA,0,0,,0,0,,,,
2020-02-28,MX_HID,0,0,,0,0,,,,
2020-02-28,MX_JAL,0,0,,0,0,,,,
2020-02-28,MX_MEX,0,0,,0,0,,,,
2020-02-28,MX_MIC,0,0,,0,0,,,,
2020-02-28,MX_MOR,0,0,,0,0,,,,
2020-02-28,MX_NAY,0,0,,0,0,,,,
2020-02-28,MX_NLE,0,0,,0,0,,,,
2020-02-28,MX_OAX,0,0,,0,0,,,,
2020-02-28,MX_PUE,0,0,,0,0,,,,
2020-02-28,MX_QUE,0,0,,0,0,,,,
2020-02-28,MX_ROO,0,0,,0,0,,,,
2020-02-28,MX_SIN,0,0,,0,0,,,,
2020-02-28,MX_SLP,0,0,,0,0,,,,
2020-02-28,MX_SON,0,0,,0,0,,,,
2020-02-28,MX_TAB,0,0,,0,0,,,,
2020-02-28,MX_TAM,0,0,,0,0,,,,
2020-02-28,MX_TLA,0,0,,0,0,,,,
2020-02-28,MX_VER,0,0,,0,0,,,,
2020-02-28,MX_YUC,0,0,,0,0,,,,
2020-02-28,MX_ZAC,0,0,,0,0,,,,
2020-02-29,AR,1,33,,1,5,,,,
2020-02-29,AR_C,1,12,,1,2,,,,
2020-02-29,CH_BL,,1,,,0,,,,
2020-02-29,CH_GE,1,3,,0,0,,0,0,
2020-02-29,CH_GR,0,0,,0,0,,0,0,
2020-02-29,CH_JU,0,1,,0,0,,,,
2020-02-29,CH_TI,0,0,,0,0,,0,0,
2020-02-29,CH_VD,0,4,,,,,,,
2020-02-29,CH_VS,0,6,,0,0,,0,0,
2020-02-29,CH_ZG,,0,,,0,,,,
2020-02-29,ES_AS,,0,,,1,,,,
2020-02-29,ES_VC,7,85,,0,3,,,,
2020-02-29,LU,,,,,,0,,,
2020-02-29,MX,0,2,,0,1,,,,
2020-02-29,MX_AGU,0,0,,0,0,,,,
2020-02-29,MX_BCN,0,0,,0,0,,,,
2020-02-29,MX_BCS,0,0,,0,0,,,,
2020-02-29,MX_CAM,0,0,,0,0,,,,
2020-02-29,MX_CHH,0,0,,0,0,,,,
2020-02-29,MX_CHP,0,0,,0,0,,,,
2020-02-29,MX_CMX,0,2,,0,1,,,,
2020-02-29,MX_COA,0,0,,0,0,,,,
2020-02-29,MX_COL,0,0,,0,0,,,,
2020-02-29,MX_DUR,0,0,,0,0,,,,
2020-02-29,MX_GRO,0,0,,0,0,,,,
2020-02-29,MX_GUA,0,0,,0,0,,,,
2020-02-29,MX_HID,0,0,,0,0,,,,
2020-02-29,MX_JAL,0,0,,0,0,,,,
2020-02-29,MX_MEX,0,0,,0,0,,,,
2020-02-29,MX_MIC,0,0,,0,0,,,,
2020-02-29,MX_MOR,0,0,,0,0,,,,
2020-02-29,MX_NAY,0,0,,0,0,,,,
2020-02-29,MX_NLE,0,0,,0,0,,,,
2020-02-29,MX_OAX,0,0,,0,0,,,,
2020-02-29,MX_PUE,0,0,,0,0,,,,
2020-02-29,MX_QUE,0,0,,0,0,,,,
2020-02-29,MX_ROO,0,0,,0,0,,,,
2020-02-29,MX_SIN,0,0,,0,0,,,,
2020-02-29,MX_SLP,0,0,,0,0,,,,
2020-02-29,MX_SON,0,0,,0,0,,,,
2020-02-29,MX_TAB,0,0,,0,0,,,,
2020-02-29,MX_TAM,0,0,,0,0,,,,
2020-02-29,MX_TLA,0,0,,0,0,,,,
2020-02-29,MX_VER,0,0,,0,0,,,,
2020-02-29,MX_YUC,0,0,,0,0,,,,
2020-02-29,MX_ZAC,0,0,,0,0,,,,
2020-03-01,AR,2,35,,2,7,,,,
2020-03-01,AR_B,0,11,,1,4,,,,
2020-03-01,AR_B_490,0,1,,1,2,,,,
2020-03-01,AR_C,1,13,,1,3,,,,
2020-03-01,AR_C_001,1,2,,0,0,,,,
2020-03-01,AR_P,1,1,,0,0,,,,
2020-03-01,AR_P_014,1,1,,0,0,,,,
2020-03-01,CH_BL,0,1,,0,0,,,,
2020-03-01,CH_GE,0,3,,0,0,,0,0,
2020-03-01,CH_GR,0,0,,0,0,,0,0,
2020-03-01,CH_JU,0,1,,0,0,,,,
2020-03-01,CH_TI,0,0,,0,0,,0,0,
2020-03-01,CH_VD,0,4,,,,,,,
2020-03-01,CH_VS,1,7,,0,0,,0,0,
2020-03-01,CH_ZG,0,0,,0,0,,,,
2020-03-01,ES_AS,0,0,,0,1,,,,
2020-03-01,ES_VC,3,88,,0,3,,,,
2020-03-01,LU,,,,,,0,,,
2020-03-01,MX,0,2,,0,1,,,,
2020-03-01,MX_AGU,0,0,,0,0,,,,
2020-03-01,MX_BCN,0,0,,0,0,,,,
2020-03-01,MX_BCS,0,0,,0,0,,,,
2020-03-01,MX_CAM,0,0,,0,0,,,,
2020-03-01,MX_CHH,0,0,,0,0,,,,
2020-03-01,MX_CHP,0,0,,0,0,,,,
2020-03-01,MX_CMX,0,2,,0,1,,,,
2020-03-01,MX_COA,0,0,,0,0,,,,
2020-03-01,MX_COL,0,0,,0,0,,,,
2020-03-01,MX_DUR,0,0,,0,0,,,,
2020-03-01,MX_GRO,0,0,,0,0,,,,
2020-03-01,MX_GUA,0,0,,0,0,,,,
2020-03-01,MX_HID,0,0,,0,0,,,,
2020-03-01,MX_JAL,0,0,,0,0,,,,
2020-03-01,MX_MEX,0,0,,0,0,,,,
2020-03-01,MX_MIC,0,0,,0,0,,,,
2020-03-01,MX_MOR,0,0,,0,0,,,,
2020-03-01,MX_NAY,0,0,,0,0,,,,
2020-03-01,MX_NLE,0,0,,0,0,,,,
2020-03-01,MX_OAX,0,0,,0,0,,,,
2020-03-01,MX_PUE,0,0,,0,0,,,,
2020-03-01,MX_QUE,0,0,,0,0,,,,
2020-03-01,MX_ROO,0,0,,0,0,,,,
2020-03-01,MX_SIN,0,0,,0,0,,,,
2020-03-01,MX_SLP,0,0,,0,0,,,,
2020-03-01,MX_SON,0,0,,0,0,,,,
2020-03-01,MX_TAB,0,0,,0,0,,,,
2020-03-01,MX_TAM,0,0,,0,0,,,,
2020-03-01,MX_TLA,0,0,,0,0,,,,
2020-03-01,MX_VER,0,0,,0,0,,,,
2020-03-01,MX_YUC,0,0,,0,0,,,,
2020-03-01,MX_ZAC,0,0,,0,0,,,,
2020-03-01,PH_00,0,0,,,,,,,
2020-03-02,AR,5,40,,0,7,,,,
2020-03-02,AR_C,3,16,,0,3,,,,
2020-03-02,AR_C_002,1,1,,0,0,,,,
