date,key,new_confirmed_male,new_confirmed_female,total_confirmed_male,total_confirmed_female,new_deceased_male,new_deceased_female,total_deceased_male,total_deceased_female,new_recovered_male,new_recovered_female,total_recovered_male,total_recovered_female,new_tested_male,new_tested_female,total_tested_male,total_tested_female,new_hospitalized_male,new_hospitalized_female,total_hospitalized_male,total_hospitalized_female,current_hospitalized_male,current_hospitalized_female,new_intensive_care_male,new_intensive_care_female,total_intensive_care_male,total_intensive_care_female,current_intensive_care_male,current_intensive_care_female,new_ventilator_male,new_ventilator_female,total_ventilator_male,total_ventilator_female,current_ventilator_male,current_ventilator_female
2020-03-01,CZ_10,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,CZ_10_100,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,CZ_42,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,CZ_42_421,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,US_FL_12057,,1,0,1,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2020-03-02,US_FL_12081,1,,1,0,0,,0,0,,,,,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-03,CZ_42,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,CZ_42_421,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,US_FL_12039,1,,1,0,0,,0,0,,,,,,,,,0,,0,0,,,,,,,,,,,,,,
2020-03-03,US_FL_12057,,1,0,2,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2020-03-04,US_FL_12073,,1,0,1,,0,0,0,,,,,,,,,,1,0,1,,,,,,,,,,,,,,
2020-03-04,US_FL_12086,1,,1,0,0,,0,0,,,,,,,,,0,,0,0,,,,,,,,,,,,,,
2020-03-04,US_FL_12091,,1,0,1,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2020-03-04,US_FL_12099,,1,0,1,,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,
2020-03-05,CZ_42,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,CZ_42_421,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,US_FL_12113,1,,1,0,1,,1,0,,,,,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-06,CO,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CO_11,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CO_11_11001,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CZ_10,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CZ_10_100,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CZ_42,,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CZ_42_421,,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CZ_42_423,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,CZ_10,2,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,CZ_10_100,2,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,CZ_42,1,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
