key,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area
AD,9407,42.558333333333,1.5552777777778,,470,,
AE,307763,24.4,54.3,,83600,70575,8568
AF,303427,34,66,,652860,,
AF_BAL,,36.7,67.116666666667,340,16186,,
AF_BAM,,34.75,67.25,3042,14175,,
AF_BDG,,35,63.75,1589,20591,,
AF_BDS,,38,71,3669,44059,,
AF_BGL,,35.87,68.93,2013,21118,,
AF_DAY,,33.75,66.25,2200,18088,,
AF_FRA,,32.5,63.5,1081,48471,,
AF_FYB,,36,65,584,20293,,
AF_GHA,,33.5,68,3238,22915,,
AF_GHO,,34.51972222,65.255,2831,36479,,
AF_HEL,,31,64,725,58584,,
AF_HER,,34,62,1088,54778,,
AF_JOW,,36.75,66,309,11798,,
AF_KAB,,34.56,69.22,1908,4462,,
AF_KAN,,31,65.5,1216,54022,,
AF_KAP,,35,69.7,1746,1842,,
AF_KDZ,,36.8,68.8,379,8040,,
AF_KHO,,33.4,69.9,1286,4152,,
AF_KNR,,35,71.2,1906,4339,,
AF_LAG,,34.66,70.2,1592,3843,,
AF_LOG,,34,69.2,2370,3880,,
AF_NAN,,34.25,70.5,748,7727,,
AF_NIM,,31,62.5,610,41356,,
AF_NUR,,35.25,70.75,3471,9225,,
AF_PAN,,35.2666666666667,69.4666638888889,4226,3610,,
AF_PAR,,35,69,1906,5974,,
AF_PIA,,33.6,69.5,2409,6432,,
AF_PKA,,32.5,68.8,2306,19482,,
AF_SAM,,36.25,68.0167,2202,11262,,
AF_SAR,,35.6,66.3,1601,16360,,
AF_TAK,,36.7,69.8,1540,12333,,
AF_URU,,32.8,66,1760,12640,,
AF_WAR,,34.4,68.4,2848,9934,,
AF_ZAB,,32.1,67.1,1852,17343,,
AG,536900,17.116666666667,-61.85,,440,168,266
AI,2177161,18.227222222222,-63.048888888889,,91,,
AL,53292,41,20,,28750,26687,1689
AM,364066,40.383333,44.95,,29740,,
AN,,15,-66,,800,,
AO,195267,-12.35,17.35,,1246700,1248199,1427
AQ,2186646,-90,0,,14000000,,
AR,286393,-34,-64,,2780400,2690270,55032
AR_A,2405230,-24.783333333333,-65.416666666667,1246,155488,,
AR_A_007,,-24.11361111,-64.12472222,376,21945,,
AR_A_014,,-25.11972222,-66.16194444,2457,2925,,
AR_A_021,,-26.06944444,-65.97611111,1857,1570,,
AR_A_028,,-24.78916667,-65.41055556,1426,1722,,
AR_A_035,,-24.895833333333,-65.487222222222,1147,640,,
AR_A_042,,-25.1025,-65.53527778,1597,910,,
AR_A_049,,-24.17083333,-65.04694444,,2365,,
AR_A_056,,-22.55,-63.81,,,,
AR_A_070,,-22.79083333,-65.21861111,2028,3515,,
AR_A_077,,-24.60111111,-65.37861111,1716,867,,
AR_A_098,,-25.46805556,-65.56527778,,2152,,
AR_A_105,,-24.21638889,-66.32194444,3961,25636,,
AR_A_112,,-25.49694444,-64.97111111,568,5235,,
AR_A_119,,-25.43638889,-66.29444444,2499,,,
AR_A_126,,-23.12972222,-64.32166667,307,11892,,
AR_A_133,,-24.1833,-62.8833,,,,
AR_A_140,,-25.79833333,-64.97416667,897,,,
AR_A_147,,-24.97972222,-65.57972222,,5110,,
AR_A_154,,-25.88583333,-65.92916667,2157,5125,,
AR_A_161,,-22.25027778,-64.96555556,,,,
AR_B,1632167,-36.157222222222,-60.569722222222,54,307571,,
AR_B_007,,-37.166666666667,-62.733333333333,102,,,
AR_B_014,2597664,-38.033333333333,-60.083333333333,185,,,
AR_B_021,,-35.033333333333,-60.25,56,,,
AR_B_028,,-34.783333333333,-58.4,24,,,
AR_B_035,,-34.666666666667,-58.35,5,55,,
AR_B_042,2612454,-37.15,-58.466666666667,68,,,
AR_B_049,,-36.8,-59.85,127,,,
AR_B_056,2582799,-38.7,-62.266666666667,23,2300,,
AR_B_063,2599725,-37.866666666667,-58.25,133,,,
AR_B_070,,-33.833333333333,-59.533333333333,28,,,
AR_B_077,,-34.066666666667,-60.116666666667,57,,,
AR_B_084,2607483,-37.816666666667,-57.816666666667,232,,,
AR_B_091,,-34.7678888888889,-58.2132777777778,20,,,
AR_B_098,,-34.883333333333,-57.9,3,,,
AR_B_105,,-36.233333333333,-61.116666666667,99,,,
AR_B_112,,-35.116666666667,-60.5,64,,,
AR_B_119,,-35.167838,-58.237337,13,,,
AR_B_126,,-34.133333333333,-58.866666666667,5,,,
AR_B_134,,-35.05,-58.766666666667,32,,,
AR_B_140,,-34.183333333333,-59.766666666667,37,,,
AR_B_147,,-35.616666666667,-61.366666666667,81,,,
AR_B_154,,-35.366666666667,-62.916666666667,93,,,
AR_B_161,,-34.383333333333,-59.816666666667,49,,,
AR_B_168,,-36.1,-57.783333333333,5,,,
AR_B_175,,-33.8973,-61.0994,87,,,
AR_B_182,2584648,-38.866666666667,-62.083333333333,4,,,
AR_B_189,2589847,-38.716666666667,-61.283333333333,131,,,
AR_B_196,,-38,-61.016666666667,348,,,
AR_B_203,2594942,-37.4598256,-61.9324723,239,,,
AR_B_210,,-34.633333333333,-64.016666666667,,,,
