date,key,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
2020-05-27,CH,,18,,,,,,1,
2020-05-27,CH_AG,0,,,0,,,0,,
2020-05-27,CH_AI,0,,,,,,,,
2020-05-27,CH_AR,0,1,,0,1,,,,
2020-05-27,CH_BE,-7,11,,0,2,,-1,1,
2020-05-27,CH_BL,0,0,,0,0,,0,0,
2020-05-27,CH_BS,0,4,,0,2,,,,
2020-05-27,CH_FR,0,7,,0,3,,,,
2020-05-27,CH_GE,-8,133,,-1,0,,0,0,
2020-05-27,CH_GL,0,0,,,,,,,
2020-05-27,CH_GR,0,4,,0,2,,0,2,
2020-05-27,CH_JU,0,3,,-1,1,,,,
2020-05-27,CH_LU,1,26,,0,4,,,,
2020-05-27,CH_NE,1,5,,1,2,,-1,0,
2020-05-27,CH_NW,0,0,,0,0,,,,
2020-05-27,CH_OW,0,0,,,,,,,
2020-05-27,CH_SG,0,,,0,,,,,
2020-05-27,CH_SH,-2,6,,0,2,,,,
2020-05-27,CH_SO,0,,,,,,,,
2020-05-27,CH_SZ,0,,,,,,,,
2020-05-27,CH_TG,-1,4,,0,2,,,,
2020-05-27,CH_TI,-5,45,,-2,2,,-1,2,
2020-05-27,CH_UR,0,0,,,,,,,
2020-05-27,CH_VD,1,37,,-1,8,,,,
2020-05-27,CH_VS,-1,17,,0,4,,0,3,
2020-05-27,CH_ZG,-1,0,,0,0,,,,
2020-05-27,FR,271,107433,15559,,,1462,,,
2020-05-27,FR_ARA,28,10674,1327,,,133,,,
2020-05-27,FR_ARA_01,0,611,104,,,2,,,
2020-05-27,FR_ARA_03,3,238,16,,,0,,,
2020-05-27,FR_ARA_07,4,650,69,,,6,,,
2020-05-27,FR_ARA_15,0,71,15,,,1,,,
2020-05-27,FR_ARA_26,0,708,55,,,4,,,
2020-05-27,FR_ARA_38,5,893,94,,,14,,,
2020-05-27,FR_ARA_42,2,1352,213,,,29,,,
2020-05-27,FR_ARA_43,0,151,15,,,1,,,
2020-05-27,FR_ARA_63,2,257,29,,,6,,,
2020-05-27,FR_ARA_69,8,4216,562,,,63,,,
2020-05-27,FR_ARA_73,3,484,37,,,1,,,
2020-05-27,FR_ARA_74,1,1043,118,,,6,,,
2020-05-27,FR_BFC,20,5211,466,,,49,,,
2020-05-27,FR_BFC_21,3,1298,53,,,11,,,
2020-05-27,FR_BFC_25,9,784,43,,,12,,,
2020-05-27,FR_BFC_39,0,367,21,,,0,,,
2020-05-27,FR_BFC_58,0,131,17,,,1,,,
2020-05-27,FR_BFC_70,0,371,49,,,0,,,
2020-05-27,FR_BFC_71,2,1112,142,,,9,,,
2020-05-27,FR_BFC_89,6,435,80,,,9,,,
2020-05-27,FR_BFC_90,0,713,61,,,7,,,
2020-05-27,FR_BRE,5,1568,214,,,20,,,
2020-05-27,FR_BRE_22,1,269,44,,,3,,,
2020-05-27,FR_BRE_29,2,234,29,,,2,,,
2020-05-27,FR_BRE_35,1,579,81,,,6,,,
2020-05-27,FR_BRE_56,1,486,60,,,9,,,
2020-05-27,FR_COR,1,405,30,,,5,,,
2020-05-27,FR_COR_2A,0,250,24,,,3,,,
2020-05-27,FR_COR_2B,1,155,6,,,2,,,
2020-05-27,FR_CVL,3,3058,656,,,42,,,
2020-05-27,FR_CVL_18,1,304,60,,,0,,,
2020-05-27,FR_CVL_28,0,734,166,,,9,,,
2020-05-27,FR_CVL_36,0,279,92,,,4,,,
2020-05-27,FR_CVL_37,2,492,94,,,9,,,
2020-05-27,FR_CVL_41,0,410,113,,,4,,,
2020-05-27,FR_CVL_45,0,839,131,,,16,,,
2020-05-27,FR_GES,57,17312,2276,,,180,,,
2020-05-27,FR_GES_08,1,345,64,,,3,,,
2020-05-27,FR_GES_10,2,937,65,,,2,,,
2020-05-27,FR_GES_51,1,1401,148,,,11,,,
2020-05-27,FR_GES_52,4,424,69,,,5,,,
2020-05-27,FR_GES_54,6,1661,159,,,20,,,
2020-05-27,FR_GES_55,6,682,99,,,3,,,
2020-05-27,FR_GES_57,3,3475,483,,,49,,,
2020-05-27,FR_GES_67,11,3434,542,,,44,,,
2020-05-27,FR_GES_68,23,3987,579,,,39,,,
2020-05-27,FR_GES_88,0,966,68,,,4,,,
2020-05-27,FR_GF,3,182,36,,,4,,,
2020-05-27,FR_GUA,0,246,26,,,2,,,
2020-05-27,FR_HDF,32,9313,1510,,,135,,,
2020-05-27,FR_HDF_02,2,1423,162,,,15,,,
2020-05-27,FR_HDF_59,25,3279,620,,,62,,,
2020-05-27,FR_HDF_60,4,1644,326,,,14,,,
2020-05-27,FR_HDF_62,1,1901,265,,,34,,,
2020-05-27,FR_HDF_80,0,1066,137,,,10,,,
2020-05-27,FR_IDF,69,40156,6629,,,641,,,
2020-05-27,FR_IDF_75,8,8875,1028,,,183,,,
2020-05-27,FR_IDF_77,10,3463,444,,,57,,,
2020-05-27,FR_IDF_78,8,3058,591,,,37,,,
2020-05-27,FR_IDF_91,3,3269,683,,,62,,,
2020-05-27,FR_IDF_92,8,6270,1132,,,109,,,
2020-05-27,FR_IDF_93,10,5467,1004,,,95,,,
2020-05-27,FR_IDF_94,19,6153,1189,,,69,,,
2020-05-27,FR_IDF_95,3,3601,558,,,29,,,
2020-05-27,FR_LRE,2,284,42,,,4,,,
2020-05-27,FR_MAY,7,584,90,,,22,,,
2020-05-27,FR_MQ,0,226,34,,,4,,,
2020-05-27,FR_NAQ,12,3147,347,,,46,,,
2020-05-27,FR_NAQ_16,0,105,7,,,1,,,
2020-05-27,FR_NAQ_17,0,306,29,,,2,,,
2020-05-27,FR_NAQ_19,4,217,49,,,4,,,
2020-05-27,FR_NAQ_23,3,107,20,,,7,,,
2020-05-27,FR_NAQ_24,1,177,17,,,1,,,
2020-05-27,FR_NAQ_33,4,1309,137,,,19,,,
2020-05-27,FR_NAQ_40,0,92,11,,,2,,,
2020-05-27,FR_NAQ_47,0,92,20,,,2,,,
2020-05-27,FR_NAQ_64,0,261,8,,,2,,,
2020-05-27,FR_NAQ_79,0,114,11,,,2,,,
2020-05-27,FR_NAQ_86,0,197,22,,,2,,,
2020-05-27,FR_NAQ_87,0,170,16,,,2,,,
2020-05-27,FR_NOR,1,2405,375,,,22,,,
2020-05-27,FR_NOR_14,0,469,79,,,2,,,
2020-05-27,FR_NOR_27,0,335,80,,,3,,,
2020-05-27,FR_NOR_50,0,236,45,,,3,,,
