date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-16,AE,-51,-21,-68,-61,-29,21
2020-05-16,AF,-28,-1,-12,-34,-23,12
2020-05-16,AG,-39,-23,-18,-52,-38,
2020-05-16,AO,-35,-16,-15,-40,-4,17
2020-05-16,AR,-72,-19,-89,-51,-27,20
2020-05-16,AR_A,-61,-12,-82,-16,-11,14
2020-05-16,AR_B,-74,-22,-91,-50,-33,21
2020-05-16,AR_C,-79,-11,-89,-60,-48,26
2020-05-16,AR_D,-72,-17,-89,-77,-17,15
2020-05-16,AR_E,-71,-16,-91,-70,-14,16
2020-05-16,AR_F,-63,-7,-93,-67,-13,16
2020-05-16,AR_G,-72,-19,-82,-75,-19,16
2020-05-16,AR_H,-70,-12,-89,-74,-18,16
2020-05-16,AR_J,-63,-2,-87,-73,-9,15
2020-05-16,AR_K,-55,6,-87,-48,0,14
2020-05-16,AR_L,-65,-6,-81,-40,-12,15
2020-05-16,AR_M,-66,-19,-87,-36,-18,20
2020-05-16,AR_N,-65,-20,-81,-81,-14,16
2020-05-16,AR_P,-76,-14,-79,,-8,13
2020-05-16,AR_Q,-71,-20,-90,-38,-24,22
2020-05-16,AR_R,-78,-36,-90,-90,-29,23
2020-05-16,AR_S,-68,-14,-92,-23,-19,19
2020-05-16,AR_T,-65,-7,-80,-79,-13,15
2020-05-16,AR_U,-69,-22,-90,-78,-23,21
2020-05-16,AR_V,-67,-24,-82,-84,-30,20
2020-05-16,AR_W,-65,-17,-85,-71,-12,14
2020-05-16,AR_X,-71,-24,-90,-74,-24,20
2020-05-16,AR_Y,-56,-3,-76,-62,-5,13
2020-05-16,AR_Z,-66,-17,-85,-82,-19,17
2020-05-16,AT,-32,-13,5,-35,-12,5
2020-05-16,AT_11,-33,-20,97,,-5,6
2020-05-16,AT_12,-18,-8,82,-40,-3,4
2020-05-16,AT_13,-32,-7,27,-27,-11,4
2020-05-16,AT_21,-29,-9,-29,-37,-12,6
2020-05-16,AT_22,-28,-13,6,-34,-10,5
2020-05-16,AT_31,-28,-9,70,-26,-5,4
2020-05-16,AT_32,-49,-19,-39,-62,-26,5
2020-05-16,AT_33,-53,-28,-60,-64,-33,8
2020-05-16,AT_34,-35,-13,-38,-50,-21,6
2020-05-16,AU,-26,3,-14,-41,-22,9
2020-05-16,AU_ACT,-24,4,50,-37,-18,8
2020-05-16,AU_NSW,-28,4,-27,-38,-23,9
2020-05-16,AU_NT,-5,16,29,-26,-11,4
2020-05-16,AU_QLD,-21,5,-10,-43,-20,8
2020-05-16,AU_SA,-19,7,-7,-32,-19,8
2020-05-16,AU_TAS,-34,-18,-55,-56,-24,12
2020-05-16,AU_VIC,-32,-1,-11,-47,-25,11
2020-05-16,AU_WA,-20,8,-19,-41,-16,8
2020-05-16,AW,-54,-15,-28,-64,-42,19
2020-05-16,BA,-26,-5,23,-22,-12,3
2020-05-16,BB,-59,-37,-43,-67,-43,18
2020-05-16,BD,-55,-32,-28,-51,-27,18
2020-05-16,BE,-54,-14,-6,-36,-18,13
2020-05-16,BF,-17,-8,-5,-27,9,8
2020-05-16,BG,-26,-7,26,-24,-9,-1
2020-05-16,BH,-41,-18,-38,-34,-17,17
2020-05-16,BJ,-11,5,9,-5,8,4
2020-05-16,BO,-89,-89,-85,-88,-73,38
2020-05-16,BO_B,-84,-87,-66,-84,-62,
2020-05-16,BO_C,-89,-90,-85,-91,-72,38
2020-05-16,BO_H,-91,-93,-87,-91,-76,
2020-05-16,BO_L,-92,-91,-89,-84,-73,37
2020-05-16,BO_N,-79,,-68,,-48,
2020-05-16,BO_O,-90,-91,-84,-92,-66,
2020-05-16,BO_P,-87,-91,-84,-91,-67,
2020-05-16,BO_S,-88,-88,-84,-87,-75,41
2020-05-16,BO_T,-87,-90,-88,-84,-71,38
2020-05-16,BR,-55,-8,-56,-46,-21,15
2020-05-16,BR_AC,-60,-9,-48,-69,-20,13
2020-05-16,BR_AL,-62,-19,-64,-62,-26,14
2020-05-16,BR_AM,-55,-6,-54,-33,-26,14
2020-05-16,BR_AP,-66,-17,-57,-77,-38,19
2020-05-16,BR_BA,-59,-15,-58,-58,-23,16
2020-05-16,BR_CE,-76,-29,-71,-68,-39,20
2020-05-16,BR_DF,-56,-1,-66,-33,-21,16
2020-05-16,BR_ES,-58,-14,-72,-54,-20,15
2020-05-16,BR_GO,-44,2,-30,-26,-11,12
2020-05-16,BR_MA,-66,-16,-54,-69,-29,18
2020-05-16,BR_MG,-51,-1,-36,-39,-15,13
2020-05-16,BR_MS,-28,4,-29,-31,-4,9
2020-05-16,BR_MT,-33,3,-22,-31,-4,8
2020-05-16,BR_PA,-63,-20,-56,-59,-29,18
2020-05-16,BR_PB,-69,-14,-71,-58,-29,16
2020-05-16,BR_PE,-72,-30,-68,-62,-36,19
2020-05-16,BR_PI,-74,-29,-47,-80,-34,21
2020-05-16,BR_PR,-41,2,-40,-35,-11,11
2020-05-16,BR_RJ,-63,-12,-73,-51,-30,17
2020-05-16,BR_RN,-67,-26,-76,-64,-29,18
2020-05-16,BR_RO,-40,0,-24,-60,-8,10
2020-05-16,BR_RR,-52,-9,-51,-64,-14,14
2020-05-16,BR_RS,-41,-1,-47,-37,-13,13
2020-05-16,BR_SC,-39,-12,-62,-55,-11,11
2020-05-16,BR_SE,-60,-18,-61,-68,-24,14
2020-05-16,BR_SP,-59,-7,-51,-46,-23,15
2020-05-16,BR_TO,-51,-9,-32,-57,-14,13
2020-05-16,BS,-92,-64,-75,-94,-73,34
2020-05-16,BW,-39,-28,-15,-63,-15,24
2020-05-16,BY,-24,-5,17,-22,-15,0
2020-05-16,BZ,-35,-12,-24,-50,-29,12
2020-05-16,CA,-40,-9,62,-47,-30,10
2020-05-16,CA_AB,-33,-1,109,-40,-29,7
2020-05-16,CA_BC,-45,-10,1,-55,-37,12
2020-05-16,CA_MB,-28,-2,110,-44,-24,6
2020-05-16,CA_NB,-30,-16,67,-36,-23,7
2020-05-16,CA_NL,-35,-8,73,-57,-27,7
2020-05-16,CA_NS,-44,-23,26,-59,-33,12
2020-05-16,CA_NT,-42,-10,,,-29,
2020-05-16,CA_NU,,,,,-15,
2020-05-16,CA_ON,-43,-14,92,-46,-33,10
2020-05-16,CA_PE,-38,-8,,,-25,
2020-05-16,CA_QC,-41,-9,66,-46,-25,11
2020-05-16,CA_SK,-32,-1,121,-28,-23,5
2020-05-16,CA_YT,-45,,,,-21,
2020-05-16,CH,-33,2,27,-27,-12,9
2020-05-16,CH_AG,-20,7,86,-2,-7,8
2020-05-16,CH_AR,,,,-12,-3,
2020-05-16,CH_BE,-34,4,12,-29,-11,8
2020-05-16,CH_BL,-16,13,,-17,-4,8
2020-05-16,CH_BS,-49,-12,73,-32,-7,
2020-05-16,CH_FR,-32,3,37,-20,-9,10
2020-05-16,CH_GE,-43,-6,60,-54,-15,10
2020-05-16,CH_GL,,6,,-5,-15,
2020-05-16,CH_GR,-62,-21,-52,-64,-35,9
2020-05-16,CH_JU,-28,8,,-11,-4,
2020-05-16,CH_LU,-28,6,10,-24,-11,8
2020-05-16,CH_NE,-29,-3,,-1,-12,
2020-05-16,CH_NW,,,-34,-39,-9,
2020-05-16,CH_OW,,,,-46,-19,
2020-05-16,CH_SG,-23,15,,-5,-6,7
2020-05-16,CH_SH,-21,27,,-9,-6,
2020-05-16,CH_SO,-27,11,,-18,-7,7
2020-05-16,CH_SZ,-15,13,,-16,-10,
2020-05-16,CH_TG,-26,7,73,-10,0,7
2020-05-16,CH_TI,-38,-2,-4,-31,-17,13
2020-05-16,CH_UR,,,,-52,-20,
2020-05-16,CH_VD,-34,-6,27,-25,-15,10
2020-05-16,CH_VS,-42,-7,-34,-51,-24,9
2020-05-16,CH_ZG,-21,3,,-21,-14,
2020-05-16,CH_ZH,-32,6,110,-31,-12,8
2020-05-16,CI,-17,-7,-13,-22,1,10
2020-05-16,CL,-68,-45,-69,-65,-38,25
2020-05-16,CL_AI,-58,-29,-67,-79,-17,
2020-05-16,CL_AN,-64,-48,-75,-66,-36,22
2020-05-16,CL_AP,-53,-27,-64,-54,-27,17
2020-05-16,CL_AR,-65,-45,-69,-69,-28,24
2020-05-16,CL_AT,-49,-26,-57,-65,-15,21
2020-05-16,CL_BI,-54,-30,-63,-51,-21,21
2020-05-16,CL_CO,-64,-42,-76,-66,-26,20
2020-05-16,CL_LI,-52,-33,-59,-45,-19,21
2020-05-16,CL_LL,-55,-37,-62,-56,-23,21
2020-05-16,CL_LR,-65,-40,-76,-67,-27,23
2020-05-16,CL_MA,-62,-44,-62,-80,-30,14
2020-05-16,CL_ML,-51,-32,-58,-46,-14,21
2020-05-16,CL_NB,-54,-42,-54,-77,-48,
2020-05-16,CL_RM,-79,-55,-71,-71,-53,29
2020-05-16,CL_TA,-91,-81,-89,-79,-58,32
2020-05-16,CL_VS,-64,-45,-75,-56,-29,20
2020-05-16,CM,-14,-12,-18,-13,-1,8
2020-05-16,CO,-68,-43,-59,-59,-40,23
2020-05-16,CO_05,-66,-40,-54,-61,-35,21
2020-05-16,CO_08,-75,-53,-66,-80,-51,24
2020-05-16,CO_11,-65,-32,-48,-58,-42,26
2020-05-16,CO_13,-75,-52,-72,-83,-47,22
2020-05-16,CO_15,-70,-48,-69,-67,-35,23
2020-05-16,CO_17,-76,-59,-62,-85,-39,23
2020-05-16,CO_18,-60,-38,-54,,-30,21
2020-05-16,CO_19,-74,-58,-55,-55,-37,23
2020-05-16,CO_20,-68,-44,-52,-75,-33,20
2020-05-16,CO_23,-66,-40,-44,-46,-29,19
2020-05-16,CO_25,-75,-59,-69,-65,-39,27
2020-05-16,CO_27,-73,-68,-47,-83,-43,
2020-05-16,CO_41,-85,-80,-77,,-54,27
2020-05-16,CO_44,-77,-69,-64,-75,-47,24
2020-05-16,CO_47,-84,-77,-81,-85,-55,25
2020-05-16,CO_50,-67,-47,-52,-45,-34,23
2020-05-16,CO_52,-71,-51,-56,-68,-36,21
2020-05-16,CO_54,-65,-35,-57,-78,-33,19
2020-05-16,CO_63,-84,-70,-76,-84,-55,27
2020-05-16,CO_66,-67,-34,-62,-78,-40,23
2020-05-16,CO_68,-84,-77,-74,-74,-59,28
2020-05-16,CO_70,-69,-39,-56,-83,-26,19
2020-05-16,CO_73,-73,-50,-58,-81,-38,22
2020-05-16,CO_76,-59,-30,-55,-48,-36,20
2020-05-16,CO_81,-72,-61,-62,-46,-38,
2020-05-16,CO_85,-65,-39,-53,-53,-25,22
2020-05-16,CO_86,-80,-84,-76,,-54,
2020-05-16,CO_88,-89,-87,-81,-84,-64,
2020-05-16,CO_91,,,-84,,-51,
2020-05-16,CO_95,,-54,-67,,-26,
2020-05-16,CO_99,,,-14,,,
2020-05-16,CR,-53,-22,-55,-49,-30,18
2020-05-16,CV,-49,-36,-50,-64,-38,16
2020-05-16,CZ,-31,0,1,2,7,0
2020-05-16,CZ_10,-46,-5,-16,-19,-2,-2
2020-05-16,CZ_20,-8,6,52,60,10,1
2020-05-16,CZ_31,-26,0,5,8,11,0
2020-05-16,CZ_32,-31,-5,4,28,5,-1
2020-05-16,CZ_41,-40,-6,-33,3,3,-1
2020-05-16,CZ_42,-29,11,15,27,12,-1
2020-05-16,CZ_51,-25,6,5,10,4,0
2020-05-16,CZ_52,-29,0,41,-11,9,0
2020-05-16,CZ_53,-30,3,12,-24,11,0
2020-05-16,CZ_63,-26,-3,36,9,11,1
2020-05-16,CZ_64,-26,0,-16,13,7,1
2020-05-16,CZ_71,-24,4,34,-15,9,0
2020-05-16,CZ_72,-23,-2,13,-2,7,2
2020-05-16,CZ_80,-24,2,1,-5,11,0
2020-05-16,DE,-35,-6,53,-28,-5,5
2020-05-16,DE_BB,-20,4,97,-14,6,4
2020-05-16,DE_BE,-43,-5,25,-36,-4,5
2020-05-16,DE_BW,-39,-9,57,-28,-8,6
2020-05-16,DE_BY,-38,-6,30,-35,-10,6
2020-05-16,DE_HB,-46,-9,20,-41,-10,6
2020-05-16,DE_HE,-33,-7,76,-42,-4,5
2020-05-16,DE_HH,-44,-8,27,-40,-10,6
2020-05-16,DE_MV,-30,-6,13,-22,1,3
2020-05-16,DE_NI,-31,-6,71,-20,-4,6
