date,key,new_confirmed_male,new_confirmed_female,total_confirmed_male,total_confirmed_female,new_deceased_male,new_deceased_female,total_deceased_male,total_deceased_female,new_recovered_male,new_recovered_female,total_recovered_male,total_recovered_female,new_tested_male,new_tested_female,total_tested_male,total_tested_female,new_hospitalized_male,new_hospitalized_female,total_hospitalized_male,total_hospitalized_female,current_hospitalized_male,current_hospitalized_female,new_intensive_care_male,new_intensive_care_female,total_intensive_care_male,total_intensive_care_female,current_intensive_care_male,current_intensive_care_female,new_ventilator_male,new_ventilator_female,total_ventilator_male,total_ventilator_female,current_ventilator_male,current_ventilator_female
2020-05-27,CO,585,518,13122,10994,21,12,622,408,186,142,3998,3860,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05,12,13,570,383,0,0,3,3,0,2,223,227,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05001,6,8,222,259,0,0,2,1,0,1,139,153,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05045,,1,11,11,,0,0,0,,0,2,2,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05088,1,1,31,26,0,0,0,1,0,0,23,20,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05212,,1,6,7,,0,0,0,,0,4,5,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05284,,1,1,1,,0,0,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05361,3,1,177,8,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05368,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05376,1,,2,1,0,,0,0,0,,1,1,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_05_05837,,0,12,7,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_08,45,51,1750,1383,5,2,84,60,34,20,375,279,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_08_08001,21,23,817,721,4,1,49,33,15,10,158,134,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_08_08078,,1,15,11,,0,0,1,,0,7,4,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_08_08296,4,8,27,21,0,0,1,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_08_08433,3,1,137,83,1,0,10,6,1,1,24,10,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_08_08520,0,,20,18,0,,0,0,4,,14,8,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_08_08549,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_08_08758,17,17,613,441,0,1,20,16,14,9,126,97,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_11,147,158,3993,4056,2,4,144,108,68,56,1558,1630,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_11_11001,147,158,3993,4056,2,4,144,108,68,56,1558,1630,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_13,74,63,1421,1098,2,3,93,67,30,16,322,268,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_13_13001,64,57,1319,1026,2,3,88,62,27,16,289,246,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_13_13052,1,2,14,12,0,0,1,0,1,0,6,8,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_13_13683,3,1,19,15,0,0,1,1,0,0,7,3,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_13_13836,4,1,42,25,0,0,1,1,2,0,17,8,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_13_13838,2,2,6,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15,2,9,73,104,0,0,4,6,1,2,36,38,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15_15001,1,6,10,26,0,0,1,1,0,0,4,6,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15_15176,,0,6,8,,0,0,0,,1,4,5,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15_15238,,1,9,17,,0,0,0,,0,4,4,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15_15469,,1,2,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15_15494,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15_15516,,0,2,4,,0,0,1,,1,0,3,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15_15646,0,,1,1,0,,0,1,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_15_15790,1,,1,0,0,,1,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_17,,4,51,82,,0,3,3,,0,37,56,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_17_17001,,2,16,29,,0,1,1,,0,12,16,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_17_17614,,1,1,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_17_17873,,1,3,6,,0,0,0,,0,2,3,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_19,2,1,39,42,0,0,1,3,0,0,23,24,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_19_19001,1,,17,16,0,,0,1,0,,10,12,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_19_19573,1,1,5,7,0,0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_20,6,9,63,52,0,0,7,5,0,0,35,24,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_20_20001,5,8,44,36,0,0,4,2,0,0,29,17,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_20_20013,,1,4,5,,0,0,0,,0,2,2,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_20_20178,1,,2,1,0,,0,0,0,,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_23,0,3,44,52,0,0,4,4,4,1,26,15,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_23_23001,0,0,22,27,0,0,2,1,2,1,14,12,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_23_23090,,1,1,5,,0,0,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_23_23182,,1,0,2,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_23_23660,0,1,11,11,0,0,1,0,2,0,4,2,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25,22,28,312,317,0,1,10,8,0,2,117,119,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25040,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25126,1,,14,10,0,,0,0,0,,9,8,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25175,1,,17,20,0,,0,0,0,,9,13,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25269,2,1,16,15,0,0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25286,1,1,10,11,0,0,0,0,0,0,4,6,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25290,1,1,11,14,0,1,0,2,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25307,3,2,8,10,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25377,,1,3,2,,0,0,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25386,,1,2,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25430,1,1,10,15,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25436,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25535,,1,2,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25743,,0,0,1,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25754,8,16,108,124,0,0,3,0,0,1,33,39,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25758,,1,4,4,,0,0,0,,0,3,3,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25785,1,1,4,2,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25873,1,,5,2,0,,1,1,0,,3,1,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_25_25898,,1,1,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_27,11,22,57,98,0,0,2,4,4,3,17,18,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_27_27001,8,8,43,76,0,0,0,3,2,3,14,18,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_27_27361,2,12,3,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_27_27430,0,,1,0,0,,0,0,1,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_27_27787,1,2,3,2,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_41,2,3,117,127,0,0,7,6,3,2,82,85,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_41_41001,0,3,63,78,0,0,2,3,1,1,42,48,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_41_41006,0,,2,0,0,,0,0,1,,2,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_41_41298,1,,2,0,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_41_41306,1,,13,11,0,,0,0,0,,9,10,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_41_41396,,0,2,3,,0,0,0,,1,0,2,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_41_41551,0,,7,8,0,,2,0,1,,5,6,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,CO_44,,1,28,27,,0,2,3,,1,14,13,,,,,,,,,,,,,,,,,,,,,,
