date,key,noaa_station,noaa_distance,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-05-02,AD,FRE00106205,61.747,13.4,22.8,122,
2020-05-02,AE,AEM00041217,35.739,29.1,,,
2020-05-02,AF,AFM00040990,278.428,16.1,31.4,0,
2020-05-02,AG,VQC00671740,310.604,25.6,30.6,,
2020-05-02,AI,VQC00671740,182.805,25.6,30.6,,
2020-05-02,AL,ALM00013615,51.729,12,18.6,,
2020-05-02,AM,AM000037801,15.954,1.5,13.5,20,
2020-05-02,AN,VQW00011624,326.538,23.9,31.7,8,0
2020-05-02,AO,AO000066390,499.718,,,,
2020-05-02,AQ,AYW00090001,0,,-47.5,,
2020-05-02,AR,AR000087534,60.172,5.7,,,
2020-05-02,AR_A,AR000870470,9.992,12.8,22.4,,
2020-05-02,AR_B,ARM00087640,44.9,7.8,19.2,,
2020-05-02,AR_C,ARM00087582,5.499,11.3,21.8,,
2020-05-02,AR_D,ARM00087436,3.055,9.1,,,
2020-05-02,AR_E,AR000087374,35.08,10.2,24.4,,
2020-05-02,AR_F,AR000087217,6.447,15.2,27.8,,
2020-05-02,AR_G,AR000087129,3.75,14.7,24.2,,
2020-05-02,AR_H,AR000087155,6.253,13.1,,0,
2020-05-02,AR_J,ARM00087311,94.538,8,24.5,,
2020-05-02,AR_K,ARM00087222,14.708,14.6,26,,
2020-05-02,AR_L,AR000087623,5.737,5.1,,,
2020-05-02,AR_M,AR000087418,8.752,,,,
2020-05-02,AR_N,PAM00086285,67.452,13.8,,,
2020-05-02,AR_P,ARM00087162,6.234,15.2,,249,
2020-05-02,AR_Q,AR000087715,5.069,6.4,19.4,,
2020-05-02,AR_R,ARM00087791,7.675,8.1,18,,
2020-05-02,AR_S,AR000087534,113.064,5.7,,,
2020-05-02,AR_T,ARM00087121,42.982,14.6,25.2,,
2020-05-02,AR_U,AR000087828,17.452,3.9,,0,
2020-05-02,AR_V,ARM00087934,65.361,2,,20,
2020-05-02,AR_W,ARM00087289,123.511,,25.6,,
2020-05-02,AR_X,ARM00087349,38.654,6.6,24.9,,
2020-05-02,AR_Y,ARM00087046,82.353,13.8,23.6,,
2020-05-02,AR_Z,ARM00087909,156.16,6.3,16,,
2020-05-02,AS,AQW00061705,3.923,,,,
2020-05-02,AT,AU000005010,11.356,,15.4,140,
2020-05-02,AT_11,AU000005901,81.694,,19.1,,
2020-05-02,AT_12,AUM00011389,19.407,,16.9,69,
2020-05-02,AT_13,AU000005901,3.242,,19.1,,
2020-05-02,AT_22,AU000016402,28.35,9,,13,
2020-05-02,AT_31,AU000005010,19.391,,15.4,140,
2020-05-02,AT_32,AUM00011155,26.948,,4.8,,
2020-05-02,AT_33,AU000011801,0.004,,,109,
2020-05-02,AU,ASN00017043,160.768,8.2,22.1,0,
2020-05-02,AU_ACT,ASN00070339,10.839,5.5,11.6,42,
2020-05-02,AU_NSW,ASN00051049,89.528,8.9,16.2,2,
2020-05-02,AU_NT,ASN00015135,130.055,13.1,23.6,0,
2020-05-02,AU_QLD,ASN00030161,78.993,7.2,27.4,0,
2020-05-02,AU_SA,ASN00016098,88.244,10.8,19.6,4,
2020-05-02,AU_TAS,ASN00096033,29.537,-0.4,4.5,8,
2020-05-02,AU_VIC,ASN00088110,23.065,,,,
2020-05-02,AU_WA,ASN00013015,198.938,8,,0,
2020-05-02,AW,COM00080035,339.301,26,,0,
2020-05-02,AZ,AJ000037749,39.16,11.9,23.7,0,
2020-05-02,BA,BKM00014652,22.581,,,84,
2020-05-02,BB,TDM00078970,347.958,24.2,33.4,25,
2020-05-02,BD,BGM00041923,58.787,21.6,30.5,99,
2020-05-02,BE,BE000006447,28.53,,14.5,15,
2020-05-02,BF,UVM00065503,61.037,,43.2,0,
2020-05-02,BG,BUM00015730,122.732,8.4,20.6,112,
2020-05-02,BH,BA000041150,24.287,25,31.1,0,
2020-05-02,BI,RWM00064387,192.196,,26.4,5,
2020-05-02,BJ,BNM00065330,74.641,,36.9,,
2020-05-02,BM,BDM00078016,7.284,17.7,22.6,701,
2020-05-02,BN,BXM00096315,72.567,,31.9,0,
2020-05-02,BO,BL000085223,132.589,,,,
2020-05-02,BO_C,BL000085223,72.825,,,,
2020-05-02,BO_N,BL000085043,118.165,22.6,34.2,,
2020-05-02,BQ,COM00080035,516.029,26,,0,
2020-05-02,BR_AL,BR038983570,84.339,23.7,,0,
2020-05-02,BR_AM,BRM00082533,210.945,,33.2,0,
2020-05-02,BR_AP,BRM00082098,172.75,,,191,
2020-05-02,BR_BA,BR057324290,522.305,,,,
2020-05-02,BR_CE,BR037041370,350.905,24,,51,
2020-05-02,BR_DF,BR057324290,427.927,,,,
2020-05-02,BR_ES,BRM00083698,237.086,,,,
2020-05-02,BR_GO,BR057324290,675.212,,,,
2020-05-02,BR_MA,BR037041370,334.428,24,,51,
2020-05-02,BR_MG,BRM00083566,3.902,13.3,,0,
2020-05-02,BR_MS,PAM00086097,269.559,18.6,,,
2020-05-02,BR_PA,BR000352000,189.464,21.8,,20,
2020-05-02,BR_PB,BR038484280,104.129,,,0,
2020-05-02,BR_PE,BR038484280,246.376,,,0,
2020-05-02,BR_PI,BR037041370,355.459,24,,51,
2020-05-02,BR_PR,PAM00086210,285.565,17,,,
2020-05-02,BR_RJ,BRM00083746,73.208,,29.2,0,
2020-05-02,BR_RN,BR038484280,180.066,,,0,
2020-05-02,BR_RR,GYW00010502,595.759,,31.7,0,
2020-05-02,BR_RS,UYM00086350,260.115,,,0,
2020-05-02,BR_SE,BR038983570,211.744,23.7,,0,
2020-05-02,BR_SP,BR00E3-0520,329.179,,27.1,0,
2020-05-02,BR_TO,BR000082861,309.704,,,,
2020-05-02,BS,BF000078073,185.023,22.4,29.9,0,
2020-05-02,BT,IN024041000,161.05,23.1,,0,
2020-05-02,BW,BC008948490,407.618,,,,
2020-05-02,BZ,BHM00078583,67.031,23.7,32.7,0,
2020-05-02,CA,CA004060983,40.814,1.1,5.1,4,
2020-05-02,CA_AB,CA003065995,36.1,-1.4,19.1,0,
2020-05-02,CA_BC,CA001098D90,60.666,0,18,4,0
2020-05-02,CA_MB,CA005062922,104.472,-3.2,3.9,0,
2020-05-02,CA_NB,CA008100989,61.617,2.2,12.7,,
2020-05-02,CA_NL,CA008501900,44.869,2.1,10.1,64,0
2020-05-02,CA_NS,CA008204193,26.245,0,9.9,105,
2020-05-02,CA_NT,CA002201022,221.436,-8.4,2.3,0,
2020-05-02,CA_NU,CA002303094,163.331,-25.3,-14.3,0,
2020-05-02,CA_ON,CA006075543,65.888,1.4,9.7,25,
2020-05-02,CA_PE,CA008300301,9.708,3.6,11.9,41,0
2020-05-02,CA_QC,CA00706I001,79.948,-4.6,8.7,2,
2020-05-02,CA_SK,CA004064149,49.587,0.1,4.1,6,
2020-05-02,CA_YT,CA002101300,0.867,,,,
2020-05-02,CC,CK000096996,10.369,,30.6,,
2020-05-02,CD,RWM00064387,727.54,,26.4,5,
2020-05-02,CF,CTM00064650,367.472,,,,
2020-05-02,CG,GBM00064570,242.997,21.2,,0,
2020-05-02,CH,SZ000003700,69.785,,14.3,211,
2020-05-02,CH_AI,SZ000002220,6.721,,-0.9,607,
2020-05-02,CH_AR,SZ000002220,14.555,,-0.9,607,
2020-05-02,CH_BE,SZE00116090,50.771,,,30,
2020-05-02,CH_BS,SZ000001940,3.943,,15.2,30,
2020-05-02,CH_FR,SZE00116090,15.066,,,30,
2020-05-02,CH_GE,SZ000008440,4.368,8.8,15.8,84,
2020-05-02,CH_GL,SZ000002220,36.602,,-0.9,607,
2020-05-02,CH_GR,SZ000002220,56.767,,-0.9,607,
2020-05-02,CH_JU,SZ000001940,37.469,,15.2,30,
2020-05-02,CH_LU,SZ000003700,47.613,,14.3,211,
2020-05-02,CH_NE,SZE00116090,22.449,,,30,
2020-05-02,CH_NW,SZ000003700,49.796,,14.3,211,
2020-05-02,CH_OW,SZ000003700,70.207,,14.3,211,
2020-05-02,CH_SG,SZ000002220,16.65,,-0.9,607,
2020-05-02,CH_SO,SZ000001940,42.78,,15.2,30,
2020-05-02,CH_SZ,SZ000003700,37.822,,14.3,211,
2020-05-02,CH_TI,SZ000009480,37.071,,,0,
2020-05-02,CH_UR,SZ000003700,66.819,,14.3,211,
2020-05-02,CH_VD,SZE00116090,37.756,,,30,
2020-05-02,CH_ZG,SZ000003700,24.322,,14.3,211,
