key,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99
AD,77006,58614,55571,9193,67813,,,163.84255,0.858,9368,12020,10725,12392,20998,20717,14430,8655,3904,976
AE,9630959,6680352,2950607,1298061,8332898,2785376,5775924,135.60911,0.863,870676,786873,1841977,2722993,1907273,889209,225624,58027,9914,2479
AF,37172386,19093281,18079105,27695286,9477100,4011770,4011770,56.93776,0.498,8332296,7638757,5413678,3577939,2359134,1451549,826942,372336,65557,16389
AF_BAL,1325700,,,,,,,,,,,,,,,,,,
AF_BAM,492400,,,,,,,,,,,,,,,,,,
AF_BDG,500000,,,,,,,,,,,,,,,,,,
AF_BDS,823000,,,,,,,,,,,,,,,,,,
AF_BGL,910800,,,,,,,,,,,,,,,,,,
AF_DAY,417300,,,,,,,,,,,,,,,,,,
AF_GHO,680200,,,,,,,,,,,,,,,,,,
AF_HEL,1442500,,,,,,,,,,,,,,,,,,
AF_HER,1762157,,,,,,,,,,,,,,,,,,
AF_KAB,4012000,,,,,,,,,,,,,,,,,,
AF_KAP,399500,,,,,,,,,,,,,,,,,,
AF_KDZ,820000,,,,,,,,,,,,,,,,,,
AF_KNR,578500,,,,,,,,,,,,,,,,,,
AF_LAG,4035000,,,,,,,,,,,,,,,,,,
AF_NIM,149000,,,,,,,,,,,,,,,,,,
AF_NUR,160000,,,,,,,,,,,,,,,,,,
AF_PAR,664502,,,,,,,,,,,,,,,,,,
AF_PIA,4992000,,,,,,,,,,,,,,,,,,
AF_PKA,393800,,,,,,,,,,,,,,,,,,
AF_SAR,532000,,,,,,,,,,,,,,,,,,
AF_WAR,540100,,,,,,,,,,,,,,,,,,
AG,96286,46421,49865,72601,23685,,,218.83182,0.78,14866,15203,15534,13570,12403,13530,7305,2960,1234,309
AI,16086,7150,7971,,,,,,,2196,2146,2005,2081,2187,2214,1350,641,241,60
AL,2866376,1460043,1406333,1137407,1728969,475577,,104.61226,0.785,323035,332355,447185,388195,351311,378437,321657,178529,69039,17260
