date,key,mobility_driving,mobility_transit,mobility_walking,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-05-31,AE,-29.22,,-33.43,-35,-9,-58,-52,-32,20
2020-05-31,AF,,,,-39,-16,-23,-39,-33,11
2020-05-31,AG,,,,-36,-18,-11,-69,-36,
2020-05-31,AL,-31.39,,-40.47,,,,,,
2020-05-31,AO,,,,-31,-3,-21,-46,13,12
2020-05-31,AR,-76.23,,-82.6,-79,-39,-90,-65,-27,20
2020-05-31,AR_A,,,,-69,-29,-87,-32,-12,16
2020-05-31,AR_C,,,,-83,-45,-95,-67,-36,21
2020-05-31,AR_D,,,,-71,-20,-88,-80,-6,14
2020-05-31,AR_E,,,,-78,-30,-91,-81,-14,19
2020-05-31,AR_F,,,,-70,-39,-94,-83,-6,18
2020-05-31,AR_G,,,,-75,-24,-80,-81,-8,17
2020-05-31,AR_H,,,,-82,-46,-92,-84,-23,19
2020-05-31,AR_J,,,,-72,-22,-90,-81,-6,15
2020-05-31,AR_K,,,,-59,-4,-88,-64,1,18
2020-05-31,AR_L,,,,-75,-22,-83,-62,-11,17
2020-05-31,AR_M,,,,-66,-24,-87,-34,-7,16
2020-05-31,AR_N,,,,-74,-30,-84,-85,-17,17
2020-05-31,AR_P,,,,-81,-24,-84,,-6,12
2020-05-31,AR_Q,,,,-93,-87,-91,-75,-46,26
2020-05-31,AR_R,,,,-91,-86,-91,-93,-40,24
2020-05-31,AR_S,,,,-75,-34,-89,-45,-18,19
2020-05-31,AR_T,,,,-73,-17,-80,-81,-9,16
2020-05-31,AR_U,,,,-72,-30,-88,-83,-21,17
2020-05-31,AR_V,,,,-76,-30,-76,-86,-28,15
2020-05-31,AR_W,,,,-76,-35,-91,-83,-15,16
2020-05-31,AR_X,,,,-78,-40,-89,-81,-21,21
2020-05-31,AR_Y,,,,-71,-25,-83,-80,-9,17
2020-05-31,AR_Z,,,,-71,-37,-81,-83,-19,14
2020-05-31,AT,-14.34,,-48.05,-44,-21,-13,-45,-14,4
2020-05-31,AT_11,14.39,,,-17,,38,,-7,5
2020-05-31,AT_12,-10.18,,,-38,-14,-32,-62,-6,5
2020-05-31,AT_13,,,,-53,-15,-64,-46,-12,6
2020-05-31,AT_21,29.88,,,-11,66,58,-23,-6,2
2020-05-31,AT_22,0.93,,,-32,-1,2,-40,-7,3
2020-05-31,AT_31,-0.56,,,-30,2,46,-29,-6,3
2020-05-31,AT_32,-23.64,,,-60,-56,-23,-48,-27,2
2020-05-31,AT_33,-32.81,,,-60,-55,-13,-52,-36,1
2020-05-31,AT_34,-2.37,,,-29,-9,27,-27,-20,-1
2020-05-31,AU,-21.93,-60.54,-45.9,-23,-1,-7,-42,-18,8
2020-05-31,AU_ACT,-26.71,,,-21,-5,51,-41,-14,5
2020-05-31,AU_NSW,-13.9,,,-22,0,7,-38,-17,8
2020-05-31,AU_NT,-13.21,,,-4,21,31,-36,-6,3
2020-05-31,AU_QLD,-19.55,,,-18,1,1,-47,-17,7
2020-05-31,AU_SA,-25.53,,,-21,4,-36,-44,-18,7
