date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-06-14,AD,0,0,,,853,51,,
2020-06-14,AE,394,1,,,42294,289,,
2020-06-14,AF,664,20,,,24766,471,,
2020-06-14,AF_BAL,0,0,0,,1493,46,279,
2020-06-14,AF_BAM,2,0,0,,139,4,64,
2020-06-14,AF_BDG,2,0,0,,331,3,50,
2020-06-14,AF_BDS,0,0,0,,67,0,3,
2020-06-14,AF_BGL,32,0,10,,402,16,116,
2020-06-14,AF_DAY,12,0,4,,52,1,21,
2020-06-14,AF_FRA,0,0,0,,218,2,22,
2020-06-14,AF_FYB,0,0,0,,189,10,21,
2020-06-14,AF_GHA,0,0,0,,356,20,62,
2020-06-14,AF_GHO,0,0,0,,108,1,45,
2020-06-14,AF_HEL,7,0,8,,132,10,73,
2020-06-14,AF_HER,0,0,0,,4304,89,719,
2020-06-14,AF_JOW,0,0,0,,196,6,20,
2020-06-14,AF_KAB,316,6,406,,10035,101,1738,
2020-06-14,AF_KAN,34,0,0,,1054,18,165,
2020-06-14,AF_KAP,30,0,0,,124,0,57,
2020-06-14,AF_KDZ,14,0,0,,192,6,56,
2020-06-14,AF_KHO,0,0,0,,272,8,18,
2020-06-14,AF_KNR,8,0,6,,328,14,63,
2020-06-14,AF_LAG,21,0,0,,301,4,101,
2020-06-14,AF_LOG,11,0,0,,277,9,65,
2020-06-14,AF_NAN,7,9,0,,1253,38,59,
2020-06-14,AF_NIM,3,0,0,,303,6,98,
2020-06-14,AF_NUR,32,0,2,,43,0,4,
2020-06-14,AF_PAN,31,0,20,,204,10,99,
2020-06-14,AF_PAR,34,3,0,,268,10,85,
2020-06-14,AF_PIA,22,2,2,,806,12,130,
2020-06-14,AF_PKA,19,0,0,,137,2,22,
2020-06-14,AF_SAM,0,0,0,,298,7,132,
2020-06-14,AF_SAR,0,0,0,,130,2,12,
2020-06-14,AF_TAK,32,0,24,,454,10,124,
2020-06-14,AF_URU,0,0,0,,20,0,1,
2020-06-14,AF_WAR,0,0,0,,206,4,89,
