key,station,latitude,longitude,distance,measurement
AD,FRE00106205,43.0053,1.1067,61.747,TMAX|TMIN|PRCP
AE,AEM00041217,24.433,54.651,35.738,TMAX|TMIN|TAVG
AF,AFM00040990,31.5,65.85,278.428,TMAX|TMIN|TAVG
AG,VQC00671740,17.7469,-64.7014,310.604,TMAX|TMIN|TOBS
AI,VQC00671740,17.7469,-64.7014,182.805,TMAX|TMIN|TOBS
AL,ALM00013615,41.415,19.721,51.728,TMAX|TMIN|TAVG
AM,AM000037792,40.483,44.75,20.239,TMAX|TMIN|TAVG
AN,VQW00011624,17.7028,-64.8056,326.537,TMAX|TMIN|PRCP|SNOW|SNWD|WT01|WT08
AO,AO000066390,-14.933,13.567,499.717,TMAX|TMIN|TAVG
AQ,AYW00090001,-90.0,0.0,0.0,TMAX|TMIN
AR,AR000087534,-34.133,-63.367,60.172,TMAX|TMIN
AR_A,AR000870470,-24.85,-65.483,9.991,TMAX|TMIN
AR_B,ARM00087640,-36.2,-61.067,44.899,TMAX|TMIN|PRCP|TAVG
AR_C,ARM00087582,-34.559,-58.416,5.499,TMAX|TMIN|PRCP|TAVG
AR_D,ARM00087436,-33.273,-66.356,3.054,TMAX|TMIN|TAVG
AR_E,AR000087374,-31.783,-60.483,35.079,TMAX|TMIN
AR_F,AR000087217,-29.383,-66.817,6.447,TMAX|TMIN
AR_G,AR000087129,-27.767,-64.3,3.749,TMAX|TMIN
AR_H,AR000087155,-27.45,-59.05,6.253,TMAX|TMIN|PRCP|TAVG
AR_J,ARM00087311,-31.571,-68.418,94.537,TMAX|TMIN|PRCP|TAVG
AR_K,AR000087217,-29.383,-66.817,143.229,TMAX|TMIN
AR_L,AR000087623,-36.567,-64.266,5.737,TMAX|TMIN
AR_M,AR000087418,-32.833,-68.783,8.751,TMAX|TMIN
AR_N,PAM00086285,-26.933,-55.2,67.451,TMAX|TMIN|PRCP|TAVG
AR_P,PAM00086255,-26.85,-58.317,75.488,TMAX|TMIN|TAVG
AR_Q,AR000087715,-38.95,-68.133,5.068,TMAX|TMIN
AR_R,ARM00087791,-40.869,-63.0,7.674,TMAX|TMIN|PRCP|TAVG
AR_S,AR000087534,-34.133,-63.367,113.064,TMAX|TMIN
AR_T,ARM00087121,-26.841,-65.105,42.981,TMAX|TMIN|PRCP|TAVG
AR_U,AR000087828,-43.2,-65.266,17.452,TMAX|TMIN
AR_V,ARM00087938,-54.843,-68.296,68.261,TMAX|TMIN|TAVG
AR_W,AR000000011,-30.267,-57.65,178.756,TMAX|TMIN|PRCP|TAVG
AR_X,ARM00087349,-31.667,-63.883,38.654,TMAX|TMIN|PRCP|TAVG
AR_Y,ARM00087046,-24.393,-65.098,82.352,TMAX|TMIN|PRCP|TAVG
AR_Z,ARM00087909,-49.307,-67.803,156.159,TMAX|TMIN|PRCP|TAVG
AS,AQW00061705,-14.3306,-170.7136,3.922,TMAX|TMIN|PRCP
AT,AU000005010,48.05,14.1331,11.356,TMAX|TMIN|PRCP
AT_11,AU000005901,48.2331,16.35,81.694,TMAX|TMIN
AT_12,AUM00011389,48.183,15.617,19.406,TMAX|TMIN|PRCP|TAVG
AT_13,AU000005901,48.2331,16.35,3.242,TMAX|TMIN
AT_21,SIE00115206,46.5,13.7,30.429,TMAX|TMIN|SNWD
AT_22,AU000016402,47.0831,15.45,28.349,TMAX|TMIN
AT_31,AU000005010,48.05,14.1331,19.391,TMAX|TMIN|PRCP
AT_32,AUM00011155,47.817,13.717,26.947,TMAX|TMIN|PRCP|TAVG
AT_33,AU000011801,47.2667,11.4,0.003,TMAX|TMIN
AT_34,GME00121114,47.3989,10.2767,33.637,TMAX|TMIN|PRCP|SNWD
AU,ASN00017043,-27.5553,135.4456,160.768,TMAX|TMIN
AU_ACT,ASN00070339,-35.4184,149.0937,10.839,TMAX|TMIN|PRCP
AU_NSW,ASN00051049,-31.9861,147.9489,89.527,TMAX|TMIN
AU_NT,ASN00015135,-19.6423,134.1833,130.055,TMAX|TMIN|PRCP|TAVG
AU_QLD,ASN00030161,-20.7017,143.1167,78.993,TMAX|TMIN|PRCP
AU_SA,ASN00016090,-29.0347,134.7222,110.685,TMAX|TMIN|PRCP
AU_TAS,ASN00096033,-41.8997,146.6694,29.536,TMAX|TMIN|PRCP
AU_VIC,ASN00088110,-37.0809,144.2392,23.065,TMAX|TMIN|PRCP
AU_WA,ASN00013015,-25.7964,122.9753,198.938,TMAX|TMIN
AW,COM00080009,11.12,-74.231,488.578,TMAX|TMIN|PRCP|TAVG
AZ,AJ000037749,40.65,47.75,39.159,TMAX|TMIN|TAVG
BA,BKM00014652,44.0667,18.2667,22.580,TMAX|TMIN
BB,TDM00078970,10.583,-61.35,347.957,TMAX|TMIN|PRCP|TAVG
BD,BGM00041923,23.779,90.383,58.787,TMAX|TMIN
BE,BE000006447,50.8,4.35,28.530,TMAX|TMIN
BF,UVM00065503,12.353,-1.512,61.037,TMAX|TMIN|PRCP|TAVG
BG,BUM00015730,41.65,25.383,122.732,TMAX|TMIN|PRCP|TAVG
BH,BA000041150,26.267,50.65,24.287,TMAX|TMIN|PRCP|TAVG
BI,RWM00064387,-1.969,30.139,192.196,TMAX|TMIN|PRCP|TAVG
BJ,BNM00065330,9.35,2.617,74.641,TMAX|TMIN|PRCP|TAVG
BM,BDM00078016,32.3667,-64.6833,7.284,TMAX|TMIN|PRCP
BN,BXM00096315,4.944,114.928,72.566,TMAX|TMIN|PRCP|TAVG
BO,BL000085223,-17.42,-66.18,132.588,TMAX|TMIN|PRCP|TAVG
BO_B,BLM00085109,-13.3,-64.7,84.343,TMAX|TMIN|PRCP|TAVG
BO_C,BL000085223,-17.42,-66.18,72.825,TMAX|TMIN|PRCP|TAVG
BO_H,BLM00085315,-20.05,-63.567,88.968,TMAX|TMIN|PRCP|TAVG
BO_L,BLM00085151,-14.733,-68.417,31.030,TMAX|TMIN|PRCP|TAVG
BO_N,PEM00084658,-12.614,-69.229,273.666,TMAX|TMIN|TAVG
BO_O,BLM00085242,-17.963,-67.076,100.080,TMAX|TMIN|PRCP|TAVG
BO_P,AR000087007,-22.1,-65.6,193.964,TMAX|TMIN
BO_S,BLM00085247,-17.833,-60.75,97.020,TMAX|TMIN|PRCP|TAVG
BO_T,BLM00085345,-21.255,-63.406,57.373,TMAX|TMIN|PRCP|TAVG
BQ,COM00080099,7.069,-70.737,631.615,TMAX|TMIN|TAVG
BR,BLM00085210,-16.333,-58.383,633.427,TMAX|TMIN|PRCP|TAVG
BR_AC,PEM00084658,-12.614,-69.229,421.218,TMAX|TMIN|TAVG
BR_AL,BR038983570,-9.517,-35.783,84.338,TMAX|TMIN|TAVG
BR_AM,BRM00082533,-5.811,-61.278,210.945,TMAX|TMIN|PRCP|TAVG
BR_AP,BRM00082098,0.051,-51.072,172.749,TMAX|TMIN|PRCP|TAVG
BR_BA,BR057324290,-16.717,-43.867,522.304,TMAX|TMIN|TAVG
BR_CE,BR037041370,-5.05,-42.817,350.904,TMAX|TMIN|TAVG
BR_DF,BR057324290,-16.717,-43.867,427.927,TMAX|TMIN|TAVG
BR_ES,BRM00083698,-21.698,-41.302,237.086,TMAX|TMIN|PRCP|TAVG
BR_GO,BR057324290,-16.717,-43.867,675.212,TMAX|TMIN|TAVG
BR_MA,BR037041370,-5.05,-42.817,334.427,TMAX|TMIN|TAVG
BR_MG,BRM00083566,-19.833,-43.917,3.901,TMAX|TMIN|PRCP|TAVG
BR_MS,BLM00085289,-18.975,-57.821,370.388,TMAX|TMIN|PRCP|TAVG
BR_MT,BLM00085210,-16.333,-58.383,261.977,TMAX|TMIN|PRCP|TAVG
BR_PA,BR000352000,-3.2,-52.2,189.463,TMAX|TMIN|TAVG
BR_PB,BR038983570,-9.517,-35.783,285.865,TMAX|TMIN|TAVG
BR_PE,BR038983570,-9.517,-35.783,258.353,TMAX|TMIN|TAVG
BR_PI,BR037041370,-5.05,-42.817,355.459,TMAX|TMIN|TAVG
BR_PR,BRM00083827,-25.596,-54.487,306.517,TMAX|TMIN|PRCP
BR_RJ,BRM00083746,-22.809,-43.244,73.208,TMAX|TMIN|PRCP|TAVG
BR_RN,BR038983570,-9.517,-35.783,428.537,TMAX|TMIN|TAVG
BR_RO,BLM00085109,-13.3,-64.7,331.939,TMAX|TMIN|PRCP|TAVG
BR_RR,GYW00010502,6.5,-58.25,595.758,TMAX|TMIN|PRCP
BR_RS,PAM00086285,-26.933,-55.2,372.479,TMAX|TMIN|PRCP|TAVG
BR_SC,BR002548005,-25.517,-48.517,276.870,TMAX|TMIN|TAVG
BR_SE,BR038983570,-9.517,-35.783,211.744,TMAX|TMIN|TAVG
BR_SP,BR00E3-0520,-23.617,-46.65,329.179,TMAX|TMIN|TAVG
BR_TO,BRM00082562,-5.369,-49.138,619.461,TMAX|TMIN|PRCP|TAVG
BS,BF000078073,25.05,-77.467,185.023,TMAX|TMIN
BT,IN024041000,26.333,89.467,161.050,TMAX|TMIN
BV,AYM00089514,-70.767,11.75,1863.932,TMAX|TMIN|TAVG
BW,BC008948490,-21.217,27.5,407.617,TMAX|TMIN
BY,BOM00026855,53.45,28.133,10.419,TMAX|TMIN|TAVG
BZ,BHM00078583,17.539,-88.308,67.030,TMAX|TMIN|PRCP|TAVG
CA,CA004060983,55.8333,-108.4167,40.813,TMAX|TMIN|PRCP|SNWD|TAVG
CA_AB,CA003065995,55.3,-114.7833,36.099,TMAX|TMIN|PRCP
CA_BC,CA001098D90,54.0333,-124.0167,60.665,TMAX|TMIN|PRCP|SNOW|SNWD
CA_MB,CA005062922,55.8,-97.8667,104.471,TMAX|TMIN|PRCP|SNWD
CA_NB,CA008100989,47.0167,-65.4667,61.616,TMAX|TMIN|PRCP|SNWD
CA_NL,CA008501900,53.3167,-60.4167,44.869,TMAX|TMIN|PRCP|SNOW
CA_NS,CA008204193,45.2333,-63.05,26.245,TMAX|TMIN|PRCP|SNWD
CA_NT,CA002201022,65.2167,-123.4333,221.436,TMAX|TMIN|PRCP|SNWD
CA_NU,CA002303094,68.5333,-89.8,163.330,TMAX|TMIN|PRCP|SNWD
CA_ON,CA006075543,49.75,-84.1667,65.888,TMAX|TMIN|PRCP|TAVG
CA_PE,CA008300301,46.2833,-63.1167,9.707,TMAX|TMIN|PRCP|SNOW|SNWD
CA_QC,CA00706I001,51.5333,-71.1167,79.947,TMAX|TMIN|PRCP
CA_SK,CA004064149,55.15,-105.2667,49.587,TMAX|TMIN|PRCP|SNWD
CA_YT,CA002101300,60.7167,-135.0667,0.866,TMAX|TMIN|TAVG
CC,CK000096996,-12.183,96.833,10.368,TMAX|TMIN
CD,RWM00064387,-1.969,30.139,727.540,TMAX|TMIN|PRCP|TAVG
