key,latitude,longitude,area,elevation,population,gdp,gdp_per_capita,human_development_index,life_expectancy
AG_04,17.116667,-61.833333,66.96,7,49225,,,,
AG_03,17.116667,-61.8,24.41,11,7496,,,,
AG_05,17.033333,-61.883333,63.55,202,7067,,,,
AG_06,17.016667,-61.783333,45.27,140,7979,,,,
AD,42.558333,1.555278,468,,13414,78619206.085096,3238,0.819,
AG,17.116667,-61.85,440.29,,54681,77496740.740741,1063,0.773,73.327
AF,34,66,652230,,31822848,537777811.111111,59,0.295,54.959
AE,24.4,54.3,83600,,89608,14720672506.500401,26556,0.726,73.987
AG_07,17.1,-61.766667,32.37,53,5307,,,,
AG_08,17.083333,-61.7,40.67,76,3125,,,,
AL_01,40.633333,20.083333,1798,455,141944,,,,
AG_10,17.616667,-61.8,61.99,44,1638,,,,
AG_11,16.938646,-62.346039,1.5,,0,,,,
AL_02,41.5,19.583333,766,71,262785,,,,
AI,18.227222,-63.048889,91,,16086,,,,
AL,41,20,28748,,3020209,13211513725,639,0.635,73.588
AL_03,41,20.166667,3199,1229,295827,,,,
AL_05,40.166667,20.166667,2884,762,72176,,,,
AL_07,42.166667,20.333333,2374,405,85292,,,,
AL_06,40.583333,20.666667,3711,1105,220357,,,,
AL_08,41.75,19.833333,1620,92,134027,,,,
AL_09,41.583333,20.25,2586,1370,137047,,,,
AL_04,40.75,19.583333,1890,9,310331,,,,
AL_11,41.25,19.75,1652,156,749365,,,,
AN,15,-66,800,,197041,,,,
AL_12,40.166667,19.75,2706,443,175640,,,,
AL_10,42.166667,19.75,3562,1021,215347,,,,
AO_BGU,-12.666667,14.016667,39826,,2036662,,,,
AO_BIE,-12.516667,17.566667,70314,,,,,,
AM,40.383333,44.95,29743.423459,,1867396,2256838858.42714,637,0.632,70.944
AO_BGO,-8.783333,13.983333,31371,,351579,,,,
AO_CAB,-5.05,12.3,7270,,,,,,
AO_CNN,-16.7,16.05,87342,,965288,,,,
AO_CCU,-16.083333,19.5,199049,,,,,,
AO_CNO,-9.016667,15.066667,24110,,,,,,
AO_CUS,-10.633333,14.5,55600,,,,,,
AO_LSU,-10.316667,20.816667,77637,,,,,,
AO_LUA,-8.983,13.283,18826,,6542944,,,,
