Region,Borough_Census_Area,Community,All_Cases,Community_Cases,Secondary_Cases,Travel_Cases,UI_Cases,Hospitalizations,Deaths,Recovered,Active,ObjectId,Residency,All_Cases__New_
Anchorage,Anchorage Municipality,Anchorage,539,124,171,71,173,34,8,217,314,1,Alaska Resident,17
Anchorage,Anchorage Municipality,Chugiak,11,4,2,2,3,3,0,7,4,2,Alaska Resident,1
Anchorage,Anchorage Municipality,Eagle River,40,6,14,8,12,2,0,16,24,3,Alaska Resident,1
Anchorage,Anchorage Municipality,Girdwood,7,3,2,2,0,0,0,5,2,4,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Anchor Point,8,3,4,1,0,1,2,5,1,5,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Fritz Creek,3,1,2,0,0,0,0,2,1,6,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Homer,42,10,21,2,9,4,0,23,19,7,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Kenai,25,4,6,4,11,1,0,14,11,8,Alaska Resident,6
Gulf Coast,Kenai Peninsula Borough,Nikiski,5,2,3,0,0,1,0,4,1,9,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Other North,3,0,1,0,2,0,0,1,2,10,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Other South,28,4,22,0,2,0,0,18,10,11,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Seward,32,0,4,2,26,0,0,4,28,12,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Soldotna,25,8,7,1,9,0,0,13,12,13,Alaska Resident,3
Gulf Coast,Kenai Peninsula Borough,Sterling,4,1,1,1,1,0,0,3,1,14,Alaska Resident,0
Gulf Coast,Kodiak Island Borough,Kodiak,4,2,0,0,2,0,0,1,3,15,Alaska Resident,0
Gulf Coast,Valdez-Cordova Census Area,Cordova,2,0,0,0,2,0,0,0,2,16,Alaska Resident,1
Gulf Coast,Valdez-Cordova Census Area,Other,2,0,0,0,2,0,0,0,2,17,Alaska Resident,0
Gulf Coast,Valdez-Cordova Census Area,Valdez,2,1,0,0,1,0,0,1,1,18,Alaska Resident,0
Interior,Fairbanks North Star Borough,Fairbanks,132,24,63,10,35,11,1,73,58,19,Alaska Resident,2
Interior,Fairbanks North Star Borough,North Pole,44,6,14,7,17,2,1,17,26,20,Alaska Resident,3
Interior,Fairbanks North Star Borough,Other,1,0,0,1,0,0,0,1,0,21,Alaska Resident,0
Interior,Southeast Fairbanks Census Area,Delta Junction,3,0,1,1,1,0,0,2,1,22,Alaska Resident,0
Interior,Southeast Fairbanks Census Area,Tok,7,0,1,1,5,1,0,2,5,23,Alaska Resident,0
Interior,Yukon-Koyukuk Census Area,Other,5,1,1,0,3,0,0,1,4,24,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Big Lake,6,2,2,0,1,0,0,2,4,25,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Houston,1,0,1,0,0,0,0,1,0,26,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Other,2,0,0,1,1,0,0,1,1,27,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Palmer,38,12,6,3,17,2,0,14,24,28,Alaska Resident,3
Matanuska-Susitna,Matanuska-Susitna Borough,Wasilla,65,15,18,3,29,2,2,26,37,29,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Willow,9,3,1,0,5,1,0,2,7,30,Alaska Resident,0
Northern,Nome Census Area,Nome,7,3,0,1,3,0,0,4,3,31,Alaska Resident,0
Northern,Nome Census Area,Other,2,1,0,0,1,0,0,0,2,32,Alaska Resident,0
Northern,North Slope Borough,Other,4,2,0,0,2,1,0,1,3,33,Alaska Resident,0
Northern,Northwest Arctic Borough,Kotzebue,1,1,0,0,0,0,0,1,0,34,Alaska Resident,0
Northern,Northwest Arctic Borough,Other,5,3,0,1,1,0,0,3,2,35,Alaska Resident,1
Southeast,Haines Borough,Haines,2,2,0,0,0,0,0,1,1,36,Alaska Resident,0
Southeast,Juneau City and Borough,Douglas,2,2,0,0,0,0,0,2,0,37,Alaska Resident,0
Southeast,Juneau City and Borough,Juneau,44,8,26,6,4,8,2,37,5,38,Alaska Resident,0
Southeast,Ketchikan Gateway Borough,Ketchikan,22,0,14,6,2,2,0,17,5,39,Alaska Resident,0
Southeast,Ketchikan Gateway Borough,Other,1,0,0,0,1,0,0,1,0,40,Alaska Resident,0
Southeast,Petersburg Borough,Petersburg,5,2,0,2,1,1,1,3,1,41,Alaska Resident,0
Southeast,Prince of Wales-Hyder Census Area,Craig,2,1,0,1,0,0,0,2,0,42,Alaska Resident,0
Southeast,Sitka City and Borough,Sitka,13,6,4,2,1,0,0,10,3,43,Alaska Resident,0
Southeast,Wrangell City and Borough,Wrangell,3,1,1,1,0,0,0,1,2,44,Alaska Resident,0
Southwest,Aleutians West Census Area,Unalaska,1,0,0,0,1,0,0,0,1,45,Alaska Resident,1
Southwest,Bethel Census Area,Bethel,5,1,1,1,2,0,0,1,4,46,Alaska Resident,0
Southwest,Bethel Census Area,Other,6,3,0,0,3,1,0,2,4,47,Alaska Resident,0
Southwest,Bristol Bay plus Lake and Peninsula,Other,4,2,1,0,1,1,0,1,3,48,Alaska Resident,0
Southwest,Kusilvak Census Area,Other,2,0,0,0,2,0,0,0,2,49,Alaska Resident,1
Anchorage,Anchorage Municipality,Anchorage,56,0,3,35,18,0,0,17,39,50,Non-Resident,2
Anchorage,Anchorage Municipality,Eagle River,1,0,0,0,1,0,0,0,1,51,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Homer,2,1,0,1,0,0,0,2,0,52,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Kenai,4,0,2,2,0,0,0,4,0,53,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Nikiski,2,0,2,0,0,0,0,2,0,54,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Seward,13,1,0,1,11,0,0,0,13,55,Non-Resident,1
Gulf Coast,Kodiak Island Borough,Kodiak,5,1,0,3,1,0,0,0,5,56,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Cordova,5,0,0,2,3,0,0,1,4,57,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Other,12,0,0,2,10,0,0,1,11,58,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Valdez,4,1,0,0,3,0,0,1,3,59,Non-Resident,0
Interior,Denali Borough,Healy,1,0,0,0,1,0,0,0,1,60,Non-Resident,0
Interior,Fairbanks North Star Borough,Fairbanks,19,0,5,3,11,0,0,2,17,61,Non-Resident,2
Interior,Southeast Fairbanks Census Area,Delta Junction,6,0,3,0,3,0,0,1,5,62,Non-Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Other,1,0,0,0,1,0,0,0,1,63,Non-Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Wasilla,2,0,0,1,1,0,0,1,1,64,Non-Resident,0
Northern,Nome Census Area,Nome,2,1,0,1,0,0,0,1,1,65,Non-Resident,0
Southeast,Haines Borough,Haines,1,0,0,1,0,0,0,0,1,66,Non-Resident,0
Southeast,Haines Borough,Other,3,0,0,0,3,0,0,0,3,67,Non-Resident,0
Southeast,Juneau City and Borough,Juneau,6,2,0,2,2,0,0,3,3,68,Non-Resident,1
Southeast,Ketchikan Gateway Borough,Ketchikan,9,1,0,6,2,0,0,6,3,69,Non-Resident,1
Southeast,Petersburg Borough,Petersburg,3,0,0,1,2,0,0,1,2,70,Non-Resident,0
Southeast,Prince of Wales-Hyder Census Area,Craig,1,1,0,0,0,0,0,1,0,71,Non-Resident,0
Southeast,Sitka City and Borough,Sitka,5,0,1,1,3,0,0,2,3,72,Non-Resident,0
Southeast,Wrangell City and Borough,Wrangell,5,0,0,2,3,0,0,1,4,73,Non-Resident,0
Southeast,Yakutat plus Hoonah-Angoon,Other,1,0,0,1,0,0,0,1,0,74,Non-Resident,0
Southwest,Aleutians East Borough,Other,2,0,0,1,1,0,0,1,1,75,Non-Resident,0
Southwest,Aleutians West Census Area,Unalaska,5,0,0,2,3,0,0,3,2,76,Non-Resident,0
Southwest,Bethel Census Area,Bethel,2,0,0,1,1,0,0,0,2,77,Non-Resident,0
Southwest,Bristol Bay plus Lake and Peninsula,Other,48,3,4,14,27,0,0,6,42,78,Non-Resident,2
Southwest,Dillingham Census Area,Dillingham,21,0,1,1,19,0,0,2,19,79,Non-Resident,0
Unknown,Unknown,Unknown,1,0,0,0,1,0,0,0,1,80,Non-Resident,0
