date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-06-21,CA_PE,0,0,0,163,27,0,27,9810
2020-06-21,CA_QC,92,9,121,0,54766,5417,23322,551352
2020-06-21,CA_SK,20,0,4,683,746,13,643,53481
2020-06-21,CA_YT,0,0,0,0,11,0,11,1250
2020-06-21,CD,155,6,,,5826,130,,
2020-06-21,CF,0,0,,,2808,23,,
2020-06-21,CG,0,0,,,1013,28,,
2020-06-21,CH,0,2,,8190,3697,130,,519025
2020-06-21,CH_BE,0,0,,,,97,,
2020-06-21,CH_BL,1,0,0,,849,35,810,
2020-06-21,CH_BS,0,0,1,0,985,50,934,
2020-06-21,CH_FR,0,0,0,0,1191,84,151,
2020-06-21,CH_GR,0,0,,,830,50,,
2020-06-21,CH_JU,2,0,,,208,7,,
2020-06-21,CH_LU,3,0,,,744,20,,
2020-06-21,CH_NE,1,0,,,743,,,
2020-06-21,CH_NW,0,0,,,124,3,,
2020-06-21,CH_SZ,0,0,0,0,309,23,285,
2020-06-21,CH_TG,0,0,0,0,385,18,69,
2020-06-21,CH_TI,0,0,0,,3325,350,909,
2020-06-21,CH_VD,2,0,,,5511,423,,
2020-06-21,CH_VS,1,0,0,,2001,153,292,
2020-06-21,CH_ZG,0,0,0,,215,9,190,
2020-06-21,CI,618,2,,,7492,51,,
2020-06-21,CL,5607,184,,18645,242355,4479,,982353
2020-06-21,CL_AI,0,0,15,,28,2,22,
2020-06-21,CL_AN,252,6,4606,,6092,100,4848,
2020-06-21,CL_AP,46,0,864,,1379,12,1005,
2020-06-21,CL_AR,49,0,1659,,3006,39,2595,
2020-06-21,CL_AT,34,1,436,,675,2,449,
2020-06-21,CL_BI,255,2,2580,,4618,34,3189,
2020-06-21,CL_CO,87,1,1593,,2204,17,1661,
2020-06-21,CL_LI,341,2,2315,,3630,52,2367,
2020-06-21,CL_LL,52,2,696,,1371,17,1107,
2020-06-21,CL_LR,21,0,322,,606,10,475,
2020-06-21,CL_MA,20,0,620,,1281,15,1162,
2020-06-21,CL_ML,253,1,2616,,4145,33,2905,
2020-06-21,CL_NB,25,1,1010,,2170,28,1672,
2020-06-21,CL_RM,3944,155,160453,,169934,3870,165699,
2020-06-21,CL_TA,116,1,4107,,5027,80,4196,
2020-06-21,CL_VS,296,12,6849,,8693,170,7217,
2020-06-21,CM,329,1,,,11610,301,,
2020-06-21,CN,29,1,6,,84999,4646,79969,
2020-06-21,CN_BJ,22,0,0,,821,9,584,
2020-06-21,CN_FJ,1,0,0,,363,1,357,
2020-06-21,CN_GD,0,0,1,,1634,8,1614,
2020-06-21,CN_HE,3,0,0,,344,6,322,
2020-06-21,CN_HK,1,1,3,,1128,5,1077,
2020-06-21,CN_LN,0,0,0,,153,2,147,
2020-06-21,CN_NM,0,0,1,,238,1,235,
2020-06-21,CN_SN,2,0,0,,316,3,306,
2020-06-21,CO,2997,94,1759,16015,67967,2783,29044,620288
2020-06-21,CO_05,167,2,47,,2892,17,1137,
2020-06-21,CO_05_05001,64,2,15,,1228,10,593,
2020-06-21,CO_05_05030,0,0,1,,3,0,2,
2020-06-21,CO_05_05045,1,0,0,,60,0,24,
2020-06-21,CO_05_05088,8,0,8,,208,4,103,
2020-06-21,CO_05_05129,3,0,0,,10,0,4,
2020-06-21,CO_05_05142,1,0,0,,1,0,0,
2020-06-21,CO_05_05147,16,0,2,,338,0,65,
2020-06-21,CO_05_05172,1,0,0,,20,0,1,
2020-06-21,CO_05_05212,1,0,0,,36,0,17,
2020-06-21,CO_05_05237,1,0,0,,7,0,3,
2020-06-21,CO_05_05266,2,0,1,,62,0,33,
2020-06-21,CO_05_05360,18,0,4,,106,0,29,
2020-06-21,CO_05_05361,16,0,6,,437,0,145,
2020-06-21,CO_05_05376,2,0,0,,22,0,3,
2020-06-21,CO_05_05440,1,0,0,,7,0,4,
2020-06-21,CO_05_05495,4,0,0,,6,0,1,
2020-06-21,CO_05_05615,2,0,0,,24,0,14,
2020-06-21,CO_05_05837,19,0,10,,128,1,30,
2020-06-21,CO_05_05873,7,0,0,,8,0,0,
2020-06-21,CO_08,738,36,404,,15142,952,4309,
2020-06-21,CO_08_08001,435,17,207,,8366,590,2162,
2020-06-21,CO_08_08078,23,1,10,,284,14,59,
2020-06-21,CO_08_08141,2,0,0,,15,0,1,
2020-06-21,CO_08_08296,23,1,8,,474,24,74,
2020-06-21,CO_08_08433,29,4,34,,884,63,296,
2020-06-21,CO_08_08520,3,0,7,,106,3,64,
2020-06-21,CO_08_08558,3,0,0,,74,2,15,
2020-06-21,CO_08_08560,8,1,2,,38,1,9,
2020-06-21,CO_08_08573,11,0,5,,256,11,51,
2020-06-21,CO_08_08606,1,0,0,,13,2,0,
2020-06-21,CO_08_08634,12,0,7,,245,7,107,
2020-06-21,CO_08_08638,21,0,4,,197,6,66,
2020-06-21,CO_08_08685,6,1,1,,117,5,42,
2020-06-21,CO_08_08758,153,11,119,,3828,214,1306,
2020-06-21,CO_08_08832,3,0,0,,62,6,11,
2020-06-21,CO_08_08849,5,0,0,,44,1,4,
2020-06-21,CO_11,954,19,424,,20868,548,9747,
2020-06-21,CO_11_11001,954,19,424,,20868,548,9747,
2020-06-21,CO_13,256,10,279,,6573,309,2894,
2020-06-21,CO_13_13001,231,10,274,,5995,277,2680,
2020-06-21,CO_13_13042,1,0,0,,1,0,0,
2020-06-21,CO_13_13052,5,0,1,,101,4,30,
2020-06-21,CO_13_13222,1,0,0,,6,1,3,
2020-06-21,CO_13_13244,2,0,0,,38,1,3,
2020-06-21,CO_13_13430,7,0,0,,40,4,4,
2020-06-21,CO_13_13683,2,0,1,,63,6,37,
2020-06-21,CO_13_13836,5,0,2,,159,6,81,
2020-06-21,CO_13_13838,2,0,1,,32,2,17,
2020-06-21,CO_15,7,0,1,,301,15,197,
2020-06-21,CO_15_15001,3,0,0,,90,4,57,
2020-06-21,CO_15_15204,0,0,1,,8,0,5,
2020-06-21,CO_15_15238,2,0,0,,36,0,24,
2020-06-21,CO_15_15759,2,0,0,,26,2,7,
2020-06-21,CO_17,2,0,3,,218,7,144,
2020-06-21,CO_17_17001,1,0,3,,102,2,55,
2020-06-21,CO_17_17380,1,0,0,,74,2,54,
2020-06-21,CO_19,7,0,5,,250,10,114,
2020-06-21,CO_19_19001,4,0,1,,86,1,45,
2020-06-21,CO_19_19075,1,0,0,,1,0,0,
2020-06-21,CO_19_19418,0,0,1,,1,0,1,
2020-06-21,CO_19_19455,1,0,0,,15,2,5,
2020-06-21,CO_19_19532,0,0,1,,1,0,1,
2020-06-21,CO_19_19573,0,0,2,,61,2,23,
2020-06-21,CO_19_19698,1,0,0,,23,1,8,
2020-06-21,CO_20,8,0,33,,716,22,213,
