date,key,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
2020-06-20,CH,,10,,,,,,0,
2020-06-20,CH_BE,0,3,,0,0,,0,0,
2020-06-20,CH_BL,0,0,,0,0,,0,0,
2020-06-20,CH_BS,0,3,,0,2,,,,
2020-06-20,CH_FR,0,,,0,,,,,
2020-06-20,CH_GR,0,0,,0,0,,0,0,
2020-06-20,CH_JU,0,0,,0,0,,,,
2020-06-20,CH_LU,0,,,0,,,,,
2020-06-20,CH_NE,-3,2,,-1,0,,0,0,
2020-06-20,CH_NW,0,0,,0,0,,,,
2020-06-20,CH_SZ,0,,,,,,,,
2020-06-20,CH_TG,0,0,,0,0,,,,
2020-06-20,CH_TI,0,6,,0,0,,0,0,
2020-06-20,CH_VD,1,30,,0,3,,,,
2020-06-20,CH_VS,1,12,,0,1,,0,1,
2020-06-20,CH_ZG,0,0,,0,0,,,,
2020-06-20,FR,90,110935,9727,,,683,,,
2020-06-20,FR_ARA,9,10970,613,,,35,,,
2020-06-20,FR_ARA_01,0,626,61,,,0,,,
2020-06-20,FR_ARA_03,0,261,10,,,1,,,
2020-06-20,FR_ARA_07,0,662,3,,,1,,,
2020-06-20,FR_ARA_15,0,73,9,,,0,,,
2020-06-20,FR_ARA_26,0,713,25,,,1,,,
2020-06-20,FR_ARA_38,0,935,57,,,4,,,
2020-06-20,FR_ARA_42,0,1368,104,,,7,,,
2020-06-20,FR_ARA_43,0,157,2,,,0,,,
2020-06-20,FR_ARA_63,0,259,17,,,2,,,
2020-06-20,FR_ARA_69,9,4360,206,,,16,,,
2020-06-20,FR_ARA_73,0,500,25,,,0,,,
2020-06-20,FR_ARA_74,0,1056,94,,,3,,,
2020-06-20,FR_BFC,0,5362,173,,,12,,,
2020-06-20,FR_BFC_21,0,1335,24,,,2,,,
2020-06-20,FR_BFC_25,0,792,22,,,3,,,
2020-06-20,FR_BFC_39,0,393,12,,,0,,,
2020-06-20,FR_BFC_58,0,136,11,,,1,,,
2020-06-20,FR_BFC_70,0,371,19,,,0,,,
2020-06-20,FR_BFC_71,0,1138,38,,,4,,,
2020-06-20,FR_BFC_89,0,471,20,,,1,,,
2020-06-20,FR_BFC_90,0,726,27,,,1,,,
2020-06-20,FR_BRE,0,1622,117,,,6,,,
2020-06-20,FR_BRE_22,0,277,19,,,1,,,
2020-06-20,FR_BRE_29,0,236,18,,,0,,,
2020-06-20,FR_BRE_35,0,607,51,,,3,,,
2020-06-20,FR_BRE_56,0,502,29,,,2,,,
2020-06-20,FR_COR,0,409,16,,,2,,,
2020-06-20,FR_COR_2A,0,253,15,,,1,,,
2020-06-20,FR_COR_2B,0,156,1,,,1,,,
2020-06-20,FR_CVL,1,3116,456,,,20,,,
2020-06-20,FR_CVL_18,0,314,42,,,0,,,
2020-06-20,FR_CVL_28,0,757,96,,,9,,,
2020-06-20,FR_CVL_36,0,280,81,,,3,,,
2020-06-20,FR_CVL_37,0,501,66,,,3,,,
2020-06-20,FR_CVL_41,1,414,88,,,0,,,
2020-06-20,FR_CVL_45,0,850,83,,,5,,,
2020-06-20,FR_GES,9,17939,1297,,,70,,,
2020-06-20,FR_GES_08,0,367,13,,,3,,,
