key,gdp,gdp_per_capita,human_capital_index
AD,3236543909,42030,
AE,414178942592,43005,0.659
AF,19362969582,521,0.389
AG,1610574074,16727,
AL,15102500898,5269,0.621
AM,12433089919,4212,0.572
AO,105750987619,3432,0.361
AR,519871519808,11684,0.611
AS,636000000,11467,
AT,455285818035,51500,0.793
AU,1433904348500,57396,0.803
AW,2700558659,25630,
AZ,46939529412,4722,0.597
BA,20161865419,6066,0.618
BB,5145000000,17949,
BD,274024958966,1698,0.479
BE,542761092103,47472,0.757
BF,14124775069,715,0.369
BG,65132951116,9272,0.676
BH,37746196809,24051,0.668
BI,3036931818,272,0.38
BJ,14250985959,1241,0.406
BM,,85748,
BN,13567351175,31628,
BO,40287647757,3549,
BR,1885482534238,9001,0.56
BR_RS,115000000000,10244,
BS,12424500000,32218,
BT,2446674101,3243,
BW,18616018903,8259,0.424
BY,60031262269,6330,
BZ,1871203164,4885,
CA,1713341704877,46234,0.799
CD,47227535291,562,0.369
CF,2219894702,476,
CG,11263682694,2148,0.42
CH,705140354166,82829,0.767
CI,43007047822,1716,0.353
CL,298231133533,15923,0.674
CM,38675205293,1534,0.394
CN,13608151864638,9771,0.673
CN_HK,,46193,
CN_MO,50361201096,78586,
CO,331047040088,6668,0.593
CR,60130106116,12027,0.619
CU,100023000000,8822,
CV,1976814277,3635,
CW,3127908038,19574,
CY,24961988663,28690,0.751
CZ,245225882903,23069,0.782
CZ_10,1112788000000,,
DE,3947620162503,47616,0.795
DE_BY,522000000000,39691,
DE_SN,113000000000,28000,
DE_ST,56000000000,24000,
DJ,2955912228,3083,
DK,355675329086,61391,0.774
DM,550892593,7691,
DO,85555390387,8051,0.492
DZ,173757952824,4115,0.523
EC,108398058000,6345,0.602
EE,30732144529,23247,0.747
EG,250894760351,2549,0.486
ER,2607739837,582,
ES,1419041949910,30324,0.743
ES_CB,12918000000,,
ES_CL,53988901000,21727,
ES_CM,37844000000,18307,
ES_CT,232522265640,33661,
ES_EX,17334000000,16028,
ES_NC,18121000000,,
ES_PV,68817000000,35300,
ES_RI,7974000000,25507,
ET,84355604753,772,0.385
FI,276743120516,50175,0.814
FJ,5536759659,6267,
