date,key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-06-16,AE,-36,-12,-53,-50,-27,19
2020-06-16,AF,-68,-56,-53,-69,-65,-6
2020-06-16,AG,-31,-21,-18,-45,-31,18
2020-06-16,AO,-14,-3,-11,-36,-14,13
2020-06-16,AR,-56,-11,-81,-46,-24,15
2020-06-16,AR_A,-36,-2,-67,-7,-3,10
2020-06-16,AR_B,-63,-16,-87,-44,-32,17
2020-06-16,AR_C,-70,-15,-77,-63,-54,26
2020-06-16,AR_D,-50,-6,-88,-59,-3,9
2020-06-16,AR_E,-51,-6,-83,-57,-7,10
2020-06-16,AR_F,-44,3,-90,-43,-1,10
2020-06-16,AR_G,-39,15,-60,-50,-5,9
2020-06-16,AR_H,-72,-21,-89,-77,-31,17
2020-06-16,AR_J,-42,5,-82,-64,-1,11
2020-06-16,AR_K,-32,23,-79,-7,12,9
2020-06-16,AR_L,-46,3,-76,-9,-2,9
2020-06-16,AR_M,-42,-5,-82,-26,-11,14
2020-06-16,AR_N,-41,-7,-72,-68,1,9
2020-06-16,AR_P,-64,-2,-78,,-1,9
2020-06-16,AR_Q,-54,-21,-79,-34,-19,16
2020-06-16,AR_R,-65,-30,-82,-83,-22,17
2020-06-16,AR_S,-43,-4,-83,10,-9,10
2020-06-16,AR_T,-34,10,-51,-47,-4,8
2020-06-16,AR_U,-61,-27,-84,-74,-23,18
2020-06-16,AR_V,-33,-8,-70,-70,-13,13
2020-06-16,AR_W,-47,-7,-70,-61,1,9
2020-06-16,AR_X,-54,-14,-81,-64,-17,13
2020-06-16,AR_Y,-38,8,-67,-51,2,8
2020-06-16,AR_Z,-47,-2,-74,-77,-6,13
2020-06-16,AT,-11,-5,35,-22,-22,4
2020-06-16,AT_11,11,2,,,-17,4
2020-06-16,AT_12,6,-2,71,-28,-21,4
2020-06-16,AT_13,-13,-8,36,-23,-29,6
2020-06-16,AT_21,-2,0,105,-9,-17,2
2020-06-16,AT_22,-6,-4,36,-21,-21,4
2020-06-16,AT_31,-4,-1,91,-16,-20,4
2020-06-16,AT_32,-30,-14,-12,-27,-23,4
2020-06-16,AT_33,-36,-16,-9,-30,-24,4
2020-06-16,AT_34,-10,-4,0,-23,-19,4
2020-06-16,AU,-18,-1,-20,-41,-16,10
2020-06-16,AU_ACT,-22,-3,-16,-40,-17,12
2020-06-16,AU_NSW,-18,-2,-15,-40,-18,10
2020-06-16,AU_NT,2,7,10,-22,12,2
2020-06-16,AU_QLD,-15,1,-4,-38,-11,7
2020-06-16,AU_SA,-16,1,-38,-33,-7,8
2020-06-16,AU_TAS,-29,-14,-65,-46,-8,9
2020-06-16,AU_VIC,-25,-5,-32,-54,-25,13
2020-06-16,AU_WA,-8,4,-9,-32,-4,6
2020-06-16,AW,-33,-12,-20,-46,-19,12
2020-06-16,BA,0,15,14,-12,-10,2
2020-06-16,BB,-29,-19,-21,-47,-33,17
2020-06-16,BD,-44,-25,-23,-40,-26,14
2020-06-16,BE,-8,0,47,-29,-33,11
2020-06-16,BF,5,5,2,-16,3,1
2020-06-16,BG,-7,0,21,-17,-20,3
2020-06-16,BH,-28,-11,-21,-25,-20,15
2020-06-16,BJ,-7,-1,2,-15,-3,3
2020-06-16,BO,-53,-38,-41,-56,-42,24
2020-06-16,BO_B,-53,-46,-42,-75,-44,23
2020-06-16,BO_C,-44,-27,-40,-58,-33,21
2020-06-16,BO_H,-64,-59,-59,-72,-47,27
2020-06-16,BO_L,-44,-12,-30,-38,-31,18
2020-06-16,BO_N,-84,-72,-68,,-60,
2020-06-16,BO_O,-45,-31,-41,-66,-27,20
2020-06-16,BO_P,-61,-54,-53,-71,-37,25
2020-06-16,BO_S,-63,-47,-60,-69,-54,31
2020-06-16,BO_T,-51,-46,-53,-62,-39,24
2020-06-16,BR,-41,-4,-44,-40,-22,14
2020-06-16,BR_AC,-39,2,-33,-61,-21,13
2020-06-16,BR_AL,-49,-8,-54,-50,-29,13
2020-06-16,BR_AM,-23,11,-20,-18,-13,10
2020-06-16,BR_AP,-61,-4,-39,-58,-33,17
2020-06-16,BR_BA,-47,-9,-49,-52,-26,15
2020-06-16,BR_CE,-48,-4,-76,-46,-31,15
2020-06-16,BR_DF,-44,1,-46,-36,-32,18
2020-06-16,BR_ES,-46,-10,-71,-49,-20,16
2020-06-16,BR_GO,-35,3,-13,-23,-14,14
2020-06-16,BR_MA,-30,8,-11,-43,-18,12
2020-06-16,BR_MG,-35,2,-25,-29,-15,13
2020-06-16,BR_MS,-19,5,-21,-29,-4,9
2020-06-16,BR_MT,-25,1,-28,-35,-8,11
2020-06-16,BR_PA,-29,6,-18,-39,-17,13
2020-06-16,BR_PB,-58,-12,-58,-57,-30,15
2020-06-16,BR_PE,-49,-2,-45,-37,-28,14
2020-06-16,BR_PI,-56,-14,-29,-65,-29,19
2020-06-16,BR_PR,-31,-2,-37,-32,-12,12
2020-06-16,BR_RJ,-47,-8,-60,-45,-32,17
2020-06-16,BR_RN,-53,-10,-68,-48,-30,17
2020-06-16,BR_RO,-25,0,-15,-51,-11,12
2020-06-16,BR_RR,-41,-5,-45,-56,-20,15
2020-06-16,BR_RS,-33,-2,-36,-33,-13,13
2020-06-16,BR_SC,-35,-15,-73,-56,-12,11
2020-06-16,BR_SE,-46,-6,-50,-58,-32,15
2020-06-16,BR_SP,-46,-6,-40,-43,-26,16
2020-06-16,BR_TO,-22,-1,-21,-41,-10,12
2020-06-16,BS,-29,-11,-25,-49,-30,16
2020-06-16,BW,-5,0,2,-21,-8,15
2020-06-16,BY,2,12,58,-4,-22,1
2020-06-16,BZ,-23,-7,-25,-42,-29,13
2020-06-16,CA,-18,3,136,-47,-40,13
2020-06-16,CA_AB,-11,4,78,-49,-37,12
2020-06-16,CA_BC,-17,6,147,-43,-36,13
2020-06-16,CA_MB,-5,11,130,-40,-31,10
2020-06-16,CA_NB,2,2,219,-14,-29,7
2020-06-16,CA_NL,-1,4,158,-18,-35,7
2020-06-16,CA_NS,-8,-1,242,-41,-39,10
2020-06-16,CA_NT,-20,,,-35,-29,
2020-06-16,CA_NU,,,,,-10,
2020-06-16,CA_ON,-26,0,112,-51,-46,15
2020-06-16,CA_PE,-5,2,,,-28,5
2020-06-16,CA_QC,-15,2,188,-47,-37,12
2020-06-16,CA_SK,-7,7,145,-38,-31,9
2020-06-16,CA_YT,-30,,,,-27,
2020-06-16,CH,-12,2,29,-17,-19,6
2020-06-16,CH_AG,-6,8,25,-13,-18,6
2020-06-16,CH_AI,,,,,-2,
2020-06-16,CH_AR,,,,-2,-10,
2020-06-16,CH_BE,-12,3,31,-18,-16,6
2020-06-16,CH_BL,-5,5,,-6,-19,7
2020-06-16,CH_BS,-23,2,-36,-22,-23,8
2020-06-16,CH_FR,-6,6,47,-11,-19,6
2020-06-16,CH_GE,-17,-2,43,-32,-28,8
2020-06-16,CH_GL,,2,,5,-7,
2020-06-16,CH_GR,-32,-13,7,-27,-17,3
2020-06-16,CH_JU,-7,8,,-7,-17,5
2020-06-16,CH_LU,-8,5,8,-14,-16,5
2020-06-16,CH_NE,-7,-3,,-8,-20,6
2020-06-16,CH_NW,,,,-5,-17,
2020-06-16,CH_OW,,,,-14,-12,
2020-06-16,CH_SG,-6,3,38,-6,-12,4
2020-06-16,CH_SH,-10,,,-3,-16,
2020-06-16,CH_SO,-12,9,,-11,-14,5
2020-06-16,CH_SZ,4,7,,-4,-13,5
2020-06-16,CH_TG,-1,14,,-4,-12,4
2020-06-16,CH_TI,-5,6,79,-8,-21,6
2020-06-16,CH_UR,,,,-7,-10,
2020-06-16,CH_VD,-8,-2,19,-15,-23,7
2020-06-16,CH_VS,-17,-2,18,-13,-17,3
2020-06-16,CH_ZG,-14,2,,-24,-25,9
2020-06-16,CH_ZH,-16,2,39,-27,-28,10
2020-06-16,CI,-2,6,-3,-2,-5,6
2020-06-16,CL,-62,-40,-64,-63,-47,27
2020-06-16,CL_AI,-54,-32,-57,-73,-19,16
2020-06-16,CL_AN,-56,-44,-57,-49,-35,22
2020-06-16,CL_AP,-49,-29,-61,-53,-25,18
2020-06-16,CL_AR,-57,-45,-63,-60,-31,21
2020-06-16,CL_AT,-45,-29,-55,-58,-21,19
2020-06-16,CL_BI,-57,-35,-63,-55,-31,21
2020-06-16,CL_CO,-59,-39,-72,-54,-30,18
2020-06-16,CL_LI,-45,-30,-52,-44,-25,20
2020-06-16,CL_LL,-52,-40,-58,-53,-25,19
2020-06-16,CL_LR,-62,-44,-72,-63,-31,20
2020-06-16,CL_MA,-53,-38,-55,-74,-25,16
2020-06-16,CL_ML,-50,-37,-54,-53,-25,22
2020-06-16,CL_NB,-50,-42,-45,-75,-55,18
2020-06-16,CL_RM,-68,-39,-65,-67,-60,32
2020-06-16,CL_TA,-77,-55,-82,-57,-50,28
2020-06-16,CL_VS,-69,-49,-74,-63,-47,25
2020-06-16,CM,-9,-6,-12,-3,-8,6
2020-06-16,CO,-48,-25,-38,-49,-33,20
2020-06-16,CO_05,-42,-20,-30,-48,-31,17
2020-06-16,CO_08,-60,-35,-54,-68,-44,22
2020-06-16,CO_11,-54,-29,-39,-52,-44,27
2020-06-16,CO_13,-66,-46,-65,-78,-45,21
2020-06-16,CO_15,-47,-21,-40,-42,-25,19
2020-06-16,CO_17,-47,-25,-34,-73,-29,16
2020-06-16,CO_18,-41,-17,-23,,-19,14
2020-06-16,CO_19,-43,-18,-35,-20,-19,14
2020-06-16,CO_20,-44,-21,-30,-63,-22,14
2020-06-16,CO_23,-47,-24,-27,-39,-27,15
2020-06-16,CO_25,-43,-19,-32,-33,-25,21
2020-06-16,CO_27,-56,-40,-39,-68,-32,18
2020-06-16,CO_41,-38,-23,-34,,-23,14
2020-06-16,CO_44,-49,-29,-41,-46,-23,15
2020-06-16,CO_47,-54,-35,-59,-76,-30,15
2020-06-16,CO_50,-44,-24,-29,-36,-19,17
2020-06-16,CO_52,-52,-34,-40,-57,-28,18
2020-06-16,CO_54,-43,-20,-35,-72,-24,15
2020-06-16,CO_63,-48,-19,-45,-73,-24,15
2020-06-16,CO_66,-39,-8,-38,-57,-30,15
2020-06-16,CO_68,-44,-16,-38,-41,-29,16
2020-06-16,CO_70,-54,-32,-41,-82,-27,17
2020-06-16,CO_73,-42,-26,-30,-64,-26,16
2020-06-16,CO_76,-41,-20,-36,-41,-27,15
2020-06-16,CO_81,-35,-7,-38,-40,-17,14
2020-06-16,CO_85,-45,-25,-33,-54,-16,17
2020-06-16,CO_86,-35,-28,-23,,-9,14
2020-06-16,CO_88,-60,,-72,-70,-35,
2020-06-16,CO_91,,,-56,,-22,
2020-06-16,CO_95,,,-43,,-16,
2020-06-16,CO_99,,,-18,,,
2020-06-16,CR,-32,-18,-45,-44,-28,15
2020-06-16,CV,-41,-21,-47,-64,-31,14
2020-06-16,CZ,6,11,42,-1,-14,3
2020-06-16,CZ_10,-12,6,33,-10,-26,4
2020-06-16,CZ_20,23,9,71,21,-13,3
2020-06-16,CZ_31,19,13,83,12,-9,1
2020-06-16,CZ_32,8,6,68,9,-13,2
2020-06-16,CZ_41,5,17,6,-4,-12,2
2020-06-16,CZ_42,13,14,62,12,-10,1
2020-06-16,CZ_51,16,16,35,6,-9,2
2020-06-16,CZ_52,7,9,70,-10,-12,2
2020-06-16,CZ_53,13,12,40,-10,-10,2
2020-06-16,CZ_63,14,16,33,9,-10,2
2020-06-16,CZ_64,8,9,57,11,-16,3
2020-06-16,CZ_71,15,16,66,-10,-10,2
2020-06-16,CZ_72,12,10,53,-6,-11,4
2020-06-16,CZ_80,8,15,12,-6,-13,3
2020-06-16,DE,-11,0,75,-22,-21,6
2020-06-16,DE_BB,0,5,123,-12,-15,3
2020-06-16,DE_BE,-18,-4,46,-27,-27,6
2020-06-16,DE_BW,-13,-1,41,-24,-24,8
2020-06-16,DE_BY,-12,0,48,-26,-23,7
2020-06-16,DE_HB,-15,-3,74,-30,-22,5
2020-06-16,DE_HE,-17,-5,19,-37,-26,8
2020-06-16,DE_HH,-16,-1,160,-26,-29,7
2020-06-16,DE_MV,26,20,,18,-12,1
2020-06-16,DE_NI,-8,-2,120,-16,-21,6
2020-06-16,DE_NW,-12,-1,34,-27,-24,7
2020-06-16,DE_RP,-9,0,57,-30,-21,7
2020-06-16,DE_SH,12,12,353,-4,-20,4
2020-06-16,DE_SL,-9,-1,37,-34,-23,6
2020-06-16,DE_SN,-4,-2,118,-10,-15,2
2020-06-16,DE_ST,-8,-3,79,-10,-11,2
2020-06-16,DE_TH,-8,-5,62,-6,-15,4
2020-06-16,DK,11,8,237,-12,-17,2
2020-06-16,DO,-33,-18,-31,-49,-34,15
2020-06-16,DO_01,-41,-23,-29,-53,-43,19
2020-06-16,DO_02,-25,,-16,,-21,
2020-06-16,DO_03,,,-19,,-24,
2020-06-16,DO_04,-22,,-45,,-30,
2020-06-16,DO_05,,,,,-30,
2020-06-16,DO_06,-23,-16,-14,,-27,11
2020-06-16,DO_08,,,,,-33,
2020-06-16,DO_09,-18,-8,-30,-39,-22,11
2020-06-16,DO_10,,,,,-32,
2020-06-16,DO_11,-52,-30,-66,-80,-47,21
2020-06-16,DO_12,-25,-3,-35,-57,-31,15
2020-06-16,DO_13,-14,-9,-36,-27,-24,11
2020-06-16,DO_14,-25,-12,-33,-27,-20,
2020-06-16,DO_15,,-12,,,-15,
2020-06-16,DO_17,-27,-3,-24,,-23,
2020-06-16,DO_18,-38,-15,-47,-52,-32,13
2020-06-16,DO_19,,,,,-30,
2020-06-16,DO_20,-44,-27,-44,-27,-35,
2020-06-16,DO_21,-23,-14,-31,,-30,14
2020-06-16,DO_22,-25,-7,-19,,-25,
2020-06-16,DO_23,-22,-5,-40,-48,-30,15
2020-06-16,DO_24,,-4,-32,,-26,
2020-06-16,DO_25,-28,-19,-27,-46,-30,13
2020-06-16,DO_26,,,,,-20,
2020-06-16,DO_27,-22,-6,-38,,-26,
2020-06-16,DO_28,-26,-14,-29,,-23,10
2020-06-16,DO_29,-22,,-10,,-20,
2020-06-16,DO_30,,,-29,,-27,
2020-06-16,DO_31,,,-27,,-26,
2020-06-16,DO_32,-27,-19,-23,-43,-36,17
2020-06-16,EC,-36,-18,-37,-46,-44,22
2020-06-16,EC_A,-32,-26,-42,-54,-42,23
2020-06-16,EC_B,-34,,-34,,-48,
2020-06-16,EC_C,-25,-13,-22,,-37,
2020-06-16,EC_D,-35,-12,-34,-73,-35,
2020-06-16,EC_E,-38,-31,-30,-62,-45,20
2020-06-16,EC_F,-29,-18,-24,-59,-38,20
2020-06-16,EC_G,-32,-8,-31,-51,-38,19
2020-06-16,EC_H,-35,-26,-32,-27,-44,25
2020-06-16,EC_I,-30,-22,-35,-57,-41,23
2020-06-16,EC_L,-38,-22,-42,-50,-46,22
2020-06-16,EC_M,-42,-23,-43,-75,-43,20
2020-06-16,EC_N,-42,-40,-35,-62,-49,
