date,key,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall
2020-06-11,AU,94476099999,160.54279,14.444444,3.3888889,21.277778,0,
2020-06-11,AU_ACT,94925099999,11.430113,6.7222222,0.27777778,14.888889,0,
2020-06-11,AU_NSW,95710099999,89.639799,10.611111,4.7222222,18.611111,0,
2020-06-11,AU_NT,94595799999,130.31406,20.666667,15,27,0,
2020-06-11,AU_QLD,94341099999,78.998972,19.388889,10.277778,28,0,
2020-06-11,AU_SA,94655099999,89.23077,11.833333,1.6111111,20.5,0,
2020-06-11,AU_TAS,95959099999,29.70818,1.8888889,0.38888889,5,0.254,
2020-06-11,AU_VIC,94855099999,40.960272,6.0555556,-0.38888889,15.277778,0.254,
2020-06-11,AU_WA,95448099999,207.91455,20,13.611111,27.222222,0,
2020-06-11,AW,78982000411,4.805313,27.944444,25.388889,32.388889,0.508,
2020-06-11,AZ,37749099999,39.159632,28.5,20.111111,35.611111,0,
2020-06-11,BA,14549099999,25.423876,21.111111,9.2777778,26.888889,4.064,
2020-06-11,BB,78954000408,13.709015,28.333333,27,31,0,
2020-06-11,BD,41909099999,26.812804,28.722222,26.388889,30.5,19.812,
2020-06-11,BF,65503099999,61.037183,30.777778,25,36,0,
2020-06-11,BG,15525399999,47.855544,18.833333,16,24,0,
2020-06-11,BH,41150099999,24.10032,35.944444,29,41.222222,0,
2020-06-11,BI,63801099999,136.81771,23.166667,18,28,0,
2020-06-11,BJ,65330099999,74.641282,24.944444,21.888889,29.5,0,
2020-06-11,BM,78016013601,7.3252758,22.111111,19.888889,24.5,0,
2020-06-11,BN,96449099999,64.872682,28.777778,24.722222,33,0,
2020-06-11,BO,85223099999,132.3188,16.944444,4.2222222,29.611111,0,
2020-06-11,BO_B,85123099999,53.918117,28.111111,23,32,0,
2020-06-11,BO_C,85223099999,72.524231,16.944444,4.2222222,29.611111,0,
2020-06-11,BO_H,85364099999,175.58118,14.722222,5.2777778,20.222222,0,
2020-06-11,BO_L,85201099999,168.96942,7.1111111,-3,18,0,
2020-06-11,BO_N,85043099999,117.85033,27.555556,21.388889,32.777778,0,
2020-06-11,BO_O,85223099999,209.80241,16.944444,4.2222222,29.611111,0,
2020-06-11,BO_P,87007099999,199.91801,10.111111,-2,19.388889,0,
2020-06-11,BO_S,85207099999,122.39697,28.388889,25,31,0,
2020-06-11,BO_T,85365099999,45.994583,20.666667,18.111111,25.222222,0,
2020-06-11,BQ,78990000413,6.5506048,28.666667,27,31.5,0,
2020-06-11,BR,86686099999,84.523914,29.388889,16.5,33,0,
2020-06-11,BR_AC,81924099999,102.76095,26.166667,19.5,34,0,
2020-06-11,BR_AL,81995099999,18.537672,24.5,21,29.277778,0,
2020-06-11,BR_AM,82533099999,210.94519,26.666667,22,34,0,
2020-06-11,BR_AP,82098099999,172.74954,28,25,33,0,
2020-06-11,BR_BA,86654099999,33.73997,22.444444,19.222222,28,0,
2020-06-11,BR_CE,81830099999,113.83323,26.055556,21.722222,31.888889,0,
2020-06-11,BR_DF,83378099999,18.251604,20.666667,14,28,0,
2020-06-11,BR_ES,86805099999,58.973424,25,22.222222,30.388889,0,
2020-06-11,BR_GO,86712099999,0.76572911,23.944444,17,34.5,0,
2020-06-11,BR_MA,81823099999,73.460936,27.722222,23.5,32.888889,0,
2020-06-11,BR_MG,83583099999,3.820287,19.444444,13,28,0,
2020-06-11,BR_MS,86810099999,3.1105575,24,18.722222,30.222222,0,
2020-06-11,BR_MT,83362099999,11.01308,27.388889,21,35,0,
2020-06-11,BR_PA,81739099999,137.79674,25.055556,22,30.611111,0,
2020-06-11,BR_PB,81913099999,49.584637,26.555556,22.722222,31.277778,0,
2020-06-11,BR_PE,81954099999,22.188101,24,19.722222,29.111111,0,
2020-06-11,BR_PI,81988099999,119.16635,22.611111,17,29.611111,0,
2020-06-11,BR_PR,86919099999,43.902568,24,20.277778,26.277778,0,
2020-06-11,BR_RJ,86889099999,5.5356052,18.833333,13.388889,26.777778,0,
2020-06-11,BR_RN,81836099999,71.721089,27.5,23.777778,29.5,0,
2020-06-11,BR_RO,86622099999,162.29188,26.666667,20.5,34.888889,0,
2020-06-11,BR_RR,82022099999,108.89774,26.722222,23,32.611111,0,
2020-06-11,BR_RS,83937099999,51.286504,17.555556,15,22,0,
