date,key,new_confirmed_male,new_confirmed_female,total_confirmed_male,total_confirmed_female,new_deceased_male,new_deceased_female,total_deceased_male,total_deceased_female,new_recovered_male,new_recovered_female,total_recovered_male,total_recovered_female,new_tested_male,new_tested_female,total_tested_male,total_tested_female,new_hospitalized_male,new_hospitalized_female,total_hospitalized_male,total_hospitalized_female,current_hospitalized_male,current_hospitalized_female,new_intensive_care_male,new_intensive_care_female,total_intensive_care_male,total_intensive_care_female,current_intensive_care_male,current_intensive_care_female,new_ventilator_male,new_ventilator_female,total_ventilator_male,total_ventilator_female,current_ventilator_male,current_ventilator_female
2020-06-17,CO,878,633,31713,24721,34,27,1393,857,470,395,12559,10474,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05,60,31,1515,832,0,1,8,6,8,12,519,409,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05001,17,21,465,503,0,1,4,3,2,8,234,267,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05045,10,2,27,14,0,0,0,0,0,0,13,10,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05088,3,1,90,85,0,0,2,2,1,1,42,42,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05147,11,,287,21,0,,0,0,0,,41,3,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05172,3,2,5,8,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05212,,0,13,21,,0,0,0,,1,7,9,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05237,1,,3,1,0,,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05266,,0,22,29,,0,0,0,,1,12,20,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05360,2,0,39,34,0,0,0,0,0,1,11,10,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05361,9,,351,14,0,,0,0,5,,98,2,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05380,1,,13,18,0,,0,0,0,,4,6,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05631,1,1,17,14,0,0,0,0,0,0,7,11,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05642,1,3,7,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05837,1,,103,6,0,,1,0,0,,11,6,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_05_05873,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08,391,314,6890,5079,10,11,413,256,83,44,1815,1371,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08001,220,179,3752,2769,6,4,255,152,32,21,863,689,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08078,15,8,116,98,0,1,3,5,1,0,20,16,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08141,,1,3,2,,0,0,0,,0,0,1,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08296,17,19,242,158,0,1,13,4,6,2,29,21,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08433,22,18,478,284,1,1,29,20,10,5,134,88,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08520,4,1,65,33,0,0,1,0,4,2,30,18,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08558,7,6,41,25,0,0,1,0,1,0,9,3,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08560,,1,14,14,,0,0,0,,0,3,4,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08573,1,1,97,83,0,1,4,4,2,1,17,17,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08634,0,,111,82,0,,2,3,2,,51,43,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,CO_08_08638,7,3,81,61,0,0,4,0,0,0,36,23,,,,,,,,,,,,,,,,,,,,,,
