CountryCode,CountryName,RegionCode,RegionName,Latitude,Longitude,Population
AU,Australia,ACT,Australian Capital Territory,-35.282001,149.128998,428060
AU,Australia,NSW,New South Wales,-31.840233,145.612793,8117976
AU,Australia,NT,Northern Territory,-19.491411,132.550964,245869
AU,Australia,QLD,Queensland,-20.917574,142.702789,5095100
AU,Australia,SA,South Australia,-30.000233,136.209152,1751693
AU,Australia,TAS,Tasmania,-41.640079,146.315918,534281
AU,Australia,VIC,Victoria,-37.020100,144.964600,6594804
AU,Australia,WA,Western Australia,-25.760321,122.805176,2621680
