CountryCode,CountryName,RegionCode,RegionName,Latitude,Longitude,Population
DE,Germany,BW,Baden-Württemberg,48.537778,9.041111,11023424
DE,Germany,BY,Bavaria,48.7775,11.431111,13076721
DE,Germany,BE,Berlin,52.52,13.405,6144600
DE,Germany,BB,Brandenburg,52.361944,13.008056,2504040
DE,Germany,HB,Bremen,53.075833,8.8075,681032
DE,Germany,HH,Hamburg,53.565278,10.001389,5107429
DE,Germany,HE,Hesse,50.666111,8.591111,6243262
DE,Germany,MV,Mecklenburg-Vorpommern,53.616667,12.7,1609675
DE,Germany,NI,Lower Saxony,52.756111,9.393056,7962775
DE,Germany,NW,North Rhine-Westphalia,51.466667,7.55,17912134
DE,Germany,RP,Rhineland-Palatinate,49.913056,7.45,4084844
DE,Germany,SL,Saarland,49.383056,6.833056,990509
DE,Germany,SN,Saxony,51.026944,13.358889,4077937
DE,Germany,ST,Saxony-Anhalt,51.971111,11.47,2208321
DE,Germany,SH,Schleswig-Holstein,54.47,9.513889,2889821
DE,Germany,TH,Thuringia,50.861111,11.051944,2136752
