CountryCode,Region,Latitude,Longitude
CN,Hubei,30.9756,112.2707
CN,Guangdong,23.3417,113.4244
CN,Henan,33.882,113.614
CN,Zhejiang,29.1832,120.0934
CN,Hunan,27.6104,111.7088
CN,Anhui,31.8257,117.2264
CN,Jiangxi,27.614,115.7221
CN,Shandong,36.3427,118.1498
CN,Jiangsu,32.9711,119.455
CN,Chongqing,30.0572,107.874
CN,Sichuan,30.6171,102.7103
CN,Heilongjiang,47.862,127.7615
CN,Beijing,40.1824,116.4142
CN,Shanghai,31.202,121.4491
CN,Hebei,39.549,116.1306
CN,Fujian,26.0789,117.9874
CN,Guangxi,23.8298,108.7881
CN,Shaanxi,35.1917,108.8701
CN,Yunnan,24.974,101.487
CN,Hainan,19.1959,109.7453
CN,Guizhou,26.8154,106.8748
CN,Tianjin,39.3054,117.323
CN,Shanxi,37.5777,112.2922
CN,Gansu,37.8099,101.0583
CN,Hong Kong,22.3,114.2
CN,Liaoning,41.2956,122.6085
CN,Jilin,43.6661,126.1923
CN,Xinjiang,41.1129,85.2401
CN,Inner Mongolia,44.0935,113.9448
CN,Ningxia,37.2692,106.1655
CN,Qinghai,35.7452,95.9956
CN,Macau,22.1667,113.55
CN,Tibet,31.6927,88.0924
