CountryCode,CountryName,RegionLabel,Region,Latitude,Longitude
ES,Spain,Andalucía,Andalucía,37.3828,-5.9731
ES,Spain,Aragón,Aragón,41.6560,-0.8773
ES,Spain,Asturias,Asturias,43.3602,-5.8447
ES,Spain,Baleares,Baleares,39.5693,2.6502
ES,Spain,Canarias,Islas Canarias,28.4682,-16.2546
ES,Spain,Cantabria,Cantabria,43.4647,-3.8044
ES,Spain,Castilla-La Mancha,Castilla La Mancha,39.8628,-4.0273
ES,Spain,Castilla y León,Castilla y León,41.6523,-4.7245
ES,Spain,Cataluña,Cataluña,41.3887,2.1590
ES,Spain,Ceuta,Ceuta,35.8893,-5.3198
ES,Spain,C. Valenciana,Comunidad Valenciana,39.4697,-0.3774
ES,Spain,Extremadura,Extremadura,38.9161,-6.3436
ES,Spain,Galicia,Galicia,42.2328,-8.7226
ES,Spain,Madrid,Madrid,40.4165001,-3.7025599
ES,Spain,Melilla,Melilla,35.2937,-2.9383
ES,Spain,Murcia,Murcia,37.9870415,-1.13004
ES,Spain,Navarra,Navarra,42.8169,-1.6432
ES,Spain,País Vasco,País Vasco,43.2627,-2.9253
ES,Spain,La Rioja,La Rioja,42.4667,-2.4500
