CountryCode,CountryName,RegionCode,RegionName,_RegionLabel,Latitude,Longitude
ES,Spain,AN,Andalucía,Andalucía,37.3828,-5.9731
ES,Spain,AR,Aragón,Aragón,41.6560,-0.8773
ES,Spain,AS,Asturias,Asturias,43.3602,-5.8447
ES,Spain,CN,Islas Canarias,Canarias,28.4682,-16.2546
ES,Spain,CB,Cantabria,Cantabria,43.4647,-3.8044
ES,Spain,CL,Castilla y León,Castilla y León,41.6523,-4.7245
ES,Spain,CM,Castilla La Mancha,Castilla-La Mancha,39.8628,-4.0273
ES,Spain,CT,Cataluña,Cataluña,41.3887,2.1590
ES,Spain,CE,Ceuta,Ceuta,35.8893,-5.3198
ES,Spain,EX,Extremadura,Extremadura,38.9161,-6.3436
ES,Spain,GA,Galicia,Galicia,42.2328,-8.7226
ES,Spain,IB,Islas Baleares,Baleares,39.5693,2.6502
ES,Spain,RI,La Rioja,La Rioja,42.4667,-2.4500
ES,Spain,MD,Madrid,Madrid,40.4165001,-3.7025599
ES,Spain,ML,Melilla,Melilla,35.2937,-2.9383
ES,Spain,MC,Murcia,Murcia,37.9870415,-1.13004
ES,Spain,NC,Navarra,Navarra,42.8169,-1.6432
ES,Spain,PV,País Vasco,País Vasco,43.2627,-2.9253
ES,Spain,VC,Comunidad Valenciana,C. Valenciana,39.4697,-0.3774
