CountryCode,CountryName,RegionCode,RegionName,_RegionLabel,Latitude,Longitude,Population
IT,Italy,65,Abruzzo,Abruzzo,42.35122196,13.39843823,1307919
IT,Italy,77,Basilicata,Basilicata,40.63947052,15.80514834,575902
IT,Italy,BZ,South Tyrol,P.A. Bolzano,46.49933453,11.35662422,530009
IT,Italy,78,Calabria,Calabria,38.90597598,16.59440194,1980533
IT,Italy,72,Campania,Campania,40.83956555,14.25084984,5869029
IT,Italy,45,Emilia-Romagna,Emilia Romagna,44.49436681,11.3417208,4446220
IT,Italy,36,Friuli Venezia Giulia,Friuli Venezia Giulia,45.6494354,13.76813649,1216524
IT,Italy,62,Lazio,Lazio,41.89277044,12.48366722,5897635
IT,Italy,42,Liguria,Liguria,44.41149315,8.9326992,1557533
IT,Italy,25,Lombardy,Lombardia,45.46679409,9.190347404,10078012
IT,Italy,57,Marche,Marche,43.61675973,13.5188753,1541692
IT,Italy,67,Molise,Molise,41.55774754,14.65916051,308493
IT,Italy,21,Piemont,Piemonte,45.0732745,7.680687483,4377941
IT,Italy,75,Apulia,Puglia,41.12559576,16.86736689,4063888
IT,Italy,88,Sardinia,Sardegna,39.21531192,9.110616306,1651793
IT,Italy,82,Sicily,Sicilia,38.11569725,13.3623567,5029615
IT,Italy,52,Tuscany,Toscana,43.76923077,11.25588885,3742437
IT,Italy,TN,Trentino-Alto Adige,P.A. Trento,46.06893511,11.12123097,1070340
IT,Italy,55,Umbria,Umbria,43.10675841,12.38824698,889001
IT,Italy,23,Aosta Valley,Valle d'Aosta,45.73750286,7.320149366,126933
IT,Italy,34,Veneto,Veneto,45.43490485,12.33845213,4865380
