key,population,life_expectancy,human_development_index
AD,13414,,0.819
AE,89608,73.987,0.726
AF,31822848,54.959,0.295
AG,54681,73.327,0.773
AI,16086,,
AL,3020209,73.588,0.635
AM,1867396,70.944,0.632
AN,197041,,
AO,4965988,46.105,0.382
AQ,1100,,
AR,43417000,73.618,0.705
AR_A,1333365,,
AR_B,921168,,
AR_C,3063728,,
AR_D,489255,,
AR_E,1235994,,
AR_F,387728,,
AR_G,896461,,
AR_H,1055259,,
AR_J,738959,,
AR_K,396895,,
AR_L,349299,,
AR_M,1886000,,
AR_N,1189446,,
AR_P,527895,,
AR_Q,637913,,
AR_R,638645,,
AR_S,3194537,,
AR_T,1448188,,
AR_U,618994,,
AR_V,160720,,
AR_W,992595,,
AR_X,3567654,,
AR_Y,727780,,
AR_Z,273964,,
AS,20012,,
AT,8572895,77.87561,0.747
AT_11,291023,,
AT_12,1653419,,
AT_13,1794770,,
AT_21,560300,,
AT_22,1231865,,
AT_31,1453733,,
AT_32,545742,,
AT_33,739002,,
AT_34,388711,,
AU,23130931,78.93171,0.865
AU_ACT,385600,,
AU_NSW,7500600,,
AU_NT,211945,,
AU_QLD,4708500,,
AU_SA,1682600,,
AU_TAS,514700,,
AU_VIC,5821300,,
AU_WA,2565600,,
AW,54208,73.738,
AZ,3897889,66.491,0.609
BA,3531159,74.057,0.697
BB,230858,73.213,0.67
BD,49537147,64.702,0.338
BE,11150516,77.61951,0.755
BF,4829291,50.168,0.324
BG,7867374,71.4122,0.665
BH,162501,74.239,0.679
BI,2786740,51.213,0.23
BJ,2431620,55.218,0.286
BM,44400,77.88537,
BN,81817,74.985,0.755
BO,3353125,60.122,0.536
BO_B,421196,,
BO_C,1930143,,
BO_H,581347,,
BO_L,2719344,,
BO_N,110436,,
BO_O,494587,,
BO_P,823517,,
BO_S,2655084,,
BO_T,482196,,
BQ,25019,,
BR,202656788,69.599,0.547
BR_AC,758786,,
BR_AL,3322820,,
BR_AM,4001667,,
BR_AP,797722,,
BR_BA,15203934,,
BR_CE,9020460,,
BR_DF,2570160,,
BR_ES,3885049,,
BR_GO,6730848,,
BR_MA,7000229,,
BR_MG,20869101,,
BR_MS,2713147,,
BR_MT,3344544,,
BR_PA,8272724,,
BR_PB,4025558,,
BR_PE,9473266,,
BR_PI,3219257,,
BR_PR,11320892,,
BR_RJ,16635996,,0.761
BR_RN,3507003,,
BR_RO,1380952,,
BR_RR,1805788,,
BR_RS,11322895,,
BR_SC,7001161,,
BR_SE,2288116,,
BR_SP,44035304,,
BR_TO,1550194,,
BS,109526,72.093,0.778
BT,224155,59.899,0.573
BV,0,,
BW,524173,49.712,0.453
BY,9475100,67.90732,0.683
BZ,324528,68.4,0.644
CA,35158300,80,0.827
CA_AB,4067175,,
CA_BC,4659272,,
CA_MB,1289792,,
CA_NB,754260,,
CA_NL,526329,,
CA_NS,943575,,
CA_NT,43595,,
CA_NU,38243,,
CA_ON,13733544,,
CA_PE,146455,,
CA_QC,7903001,,
CA_SK,1132640,,
CA_YT,36589,,
CC,596,,
CD,15248246,49.557,0.346
CF,1503501,44.254,0.302
CG,1013581,51.473,0.527
CH,8211700,79.58049,0.809
CH_AG,678207,,
CH_AI,16145,,
CH_AR,55234,,
CH_BE,1034977,,
CH_BL,288132,,
CH_BS,188581,,
CH_FR,318714,,
CH_GE,499480,,
CH_GL,40403,,
CH_GR,198379,,
CH_JU,73419,,
CH_LU,409557,,
CH_NE,176850,,
CH_NW,43223,,
CH_OW,37841,,
CH_SG,507697,,
CH_SH,81991,,
CH_SO,273194,,
CH_SZ,159165,,
CH_TG,276472,,
CH_TI,353343,,
CH_UR,36433,,
CH_VD,799145,,
CH_VS,343955,,
CH_ZG,126837,,
CH_ZH,1520968,,
CI,3474724,46.969,0.376
CK,14974,,
CL,7649026,76.533,0.636
CL_AI,103158,,
CL_AN,607534,,
CL_AP,226068,,
CL_AR,957224,,
CL_AT,286168,,
CL_BI,1556805,,
CL_CO,757586,,
CL_LI,914555,,
CL_LL,828708,,
CL_LR,384837,,
CL_MA,166533,,
CL_ML,1044950,,
CL_NB,480609,,
CL_RM,6061185,,
CL_TA,238950,,
CL_VS,1815902,,
CM,5361367,49.7,0.405
CN,1375198619,71.521,0.43
CN_AH,60300000,,
CN_BJ,21516000,,
CN_CQ,7990000,,
CN_FJ,36894216,,
CN_GD,106440000,,
CN_GS,25575254,,
CN_GX,46026629,,
CN_GZ,35800000,,
CN_HA,94130000,,
CN_HB,58160000,,
CN_HE,71854202,,
CN_HI,9171300,,
CN_HK,7071576,80.38293,0.7
CN_HL,38312224,,
CN_HN,65683722,,
CN_JL,27462297,,
CN_JS,78659903,,
CN_JX,44567475,,
CN_LN,43746323,,
CN_MO,171456,80.15,
CN_NM,24706321,,
CN_NX,6301350,,
CN_QH,5930000,,
CN_SC,81100000,,
CN_SD,95793065,,
CN_SH,23390000,,
CN_SN,37327378,,
CN_SX,36500000,,
CN_TJ,13245000,,
CN_TW,23140000,,
CN_XJ,21813334,,
CN_XZ,3180000,,
CN_YN,47420000,,
CN_ZJ,56570000,,
CO,16006395,70.727,0.557
CO_05,6690980,,
CO_05_05001,2529403,,
CO_05_05002,,,
CO_05_05004,,,
CO_05_05021,,,
CO_05_05030,30376,,
CO_05_05031,22714,,
CO_05_05034,47384,,
CO_05_05036,,,
CO_05_05038,,,
CO_05_05040,,,
CO_05_05042,22764,,
CO_05_05044,,,
CO_05_05045,131405,,
CO_05_05051,44560,,
CO_05_05055,,,
CO_05_05059,,,
CO_05_05079,53167,,
CO_05_05086,,,
CO_05_05088,371591,,
CO_05_05091,,,
CO_05_05093,,,
CO_05_05101,27458,,
CO_05_05107,,,
CO_05_05113,,,
CO_05_05120,42112,,
CO_05_05125,,,
CO_05_05129,81381,,
CO_05_05134,,,
CO_05_05138,,,
CO_05_05142,,,
CO_05_05145,,,
CO_05_05147,61641,,
CO_05_05148,49076,,
CO_05_05150,,,
CO_05_05154,87532,,
CO_05_05172,84183,,
CO_05_05190,9247,,
CO_05_05197,,,
CO_05_05206,3463,,
CO_05_05209,20271,,
CO_05_05212,73574,,
CO_05_05234,22954,,
CO_05_05237,24201,,
CO_05_05240,,,
CO_05_05250,50863,,
CO_05_05264,,,
CO_05_05266,228848,,
CO_05_05282,20997,,
CO_05_05284,,,
CO_05_05306,,,
CO_05_05308,59319,,
CO_05_05310,,,
CO_05_05313,,,
CO_05_05315,,,
CO_05_05318,51265,,
CO_05_05321,8,,
CO_05_05347,6138,,
CO_05_05353,,,
CO_05_05360,235016,,
CO_05_05361,,,
CO_05_05364,13748,,
CO_05_05368,,,
CO_05_05376,55246,,
CO_05_05380,66281,,
CO_05_05390,,,
CO_05_05400,19119,,
CO_05_05411,,,
CO_05_05425,,,
CO_05_05440,64645,,
CO_05_05467,,,
CO_05_05475,,,
CO_05_05480,22505,,
CO_05_05483,,,
CO_05_05490,69090,,
CO_05_05495,25790,,
CO_05_05501,,,
CO_05_05541,,,
CO_05_05543,,,
CO_05_05576,,,
CO_05_05579,50232,,
CO_05_05585,,,
CO_05_05591,21745,,
CO_05_05604,32057,,
CO_05_05607,16974,,
CO_05_05615,114299,,
CO_05_05628,,,
CO_05_05631,54573,,
CO_05_05642,17804,,
CO_05_05647,,,
CO_05_05649,,,
CO_05_05652,,,
CO_05_05656,,,
CO_05_05658,,,
CO_05_05659,27149,,
CO_05_05660,,,
CO_05_05664,28438,,
CO_05_05665,32328,,
CO_05_05667,,,
CO_05_05670,,,
CO_05_05674,,,
CO_05_05679,21413,,
CO_05_05686,37435,,
CO_05_05690,10759,,
CO_05_05697,27316,,
CO_05_05736,38661,,
CO_05_05756,36445,,
CO_05_05761,14453,,
CO_05_05789,15218,,
CO_05_05790,39257,,
CO_05_05792,7542,,
CO_05_05809,14092,,
CO_05_05819,6144,,
CO_05_05837,181000,,
CO_05_05842,8253,,
CO_05_05847,47128,,
CO_05_05854,24538,,
CO_05_05856,,,
CO_05_05858,,,
CO_05_05861,,,
CO_05_05873,,,
CO_05_05885,,,
CO_05_05887,48556,,
CO_05_05890,25647,,
CO_05_05893,,,
CO_05_05895,29614,,
CO_08,2546138,,
CO_08_08001,1232766,,
CO_08_08078,50261,,
CO_08_08137,18354,,
CO_08_08141,12576,,
CO_08_08296,43896,,
CO_08_08372,14184,,
CO_08_08421,28246,,
CO_08_08433,99058,,
CO_08_08436,13456,,
CO_08_08520,25886,,
CO_08_08549,4874,,
CO_08_08558,13518,,
CO_08_08560,23243,,
CO_08_08573,26595,,
CO_08_08606,27445,,
CO_08_08634,34369,,
CO_08_08638,84410,,
CO_08_08675,11947,,
CO_08_08685,25775,,
CO_08_08758,455796,,
CO_08_08770,9344,,
CO_08_08832,10602,,
CO_08_08849,8561,,
CO_11,7200000,,
CO_11_11001,7200000,,
CO_13,2122021,,
CO_13_13001,1036412,,
CO_13_13006,23051,,
CO_13_13030,13669,,
CO_13_13042,18876,,
CO_13_13052,78070,,
CO_13_13062,,,
CO_13_13074,,,
CO_13_13140,24573,,
CO_13_13160,,,
CO_13_13188,,,
CO_13_13212,12266,,
CO_13_13222,,,
CO_13_13244,78729,,
CO_13_13248,,,
CO_13_13268,,,
CO_13_13300,12270,,
CO_13_13430,123906,,
CO_13_13433,27127,,
CO_13_13440,9876,,
CO_13_13442,49462,,
CO_13_13458,21229,,
CO_13_13468,45417,,
CO_13_13473,21182,,
CO_13_13490,9850,,
CO_13_13549,24923,,
CO_13_13580,10489,,
CO_13_13600,,,
CO_13_13620,,,
CO_13_13647,,,
CO_13_13650,,,
CO_13_13654,21644,,
CO_13_13655,13426,,
CO_13_13657,34012,,
CO_13_13667,,,
CO_13_13670,36341,,
CO_13_13673,,,
CO_13_13683,24694,,
CO_13_13688,46017,,
CO_13_13744,20271,,
CO_13_13760,,,
CO_13_13780,11350,,
CO_13_13810,22041,,
CO_13_13836,76218,,
CO_13_13838,,,
CO_13_13873,20624,,
CO_13_13894,,,
CO_15,1242731,,
CO_15_15001,162419,,
CO_15_15022,2171,,
CO_15_15047,16087,,
CO_15_15051,5240,,
CO_15_15087,,,
CO_15_15090,,,
CO_15_15092,,,
CO_15_15097,7079,,
CO_15_15104,,,
CO_15_15106,2584,,
CO_15_15109,,,
CO_15_15114,,,
CO_15_15131,3638,,
CO_15_15135,,,
CO_15_15162,,,
CO_15_15172,3528,,
CO_15_15176,65274,,
CO_15_15180,4291,,
CO_15_15183,9542,,
CO_15_15185,5687,,
CO_15_15187,,,
CO_15_15189,,,
CO_15_15204,,,
CO_15_15212,,,
CO_15_15215,,,
CO_15_15218,2861,,
CO_15_15223,6725,,
CO_15_15224,,,
CO_15_15226,,,
CO_15_15232,5484,,
CO_15_15236,,,
CO_15_15238,126670,,
CO_15_15244,5241,,
CO_15_15248,4195,,
CO_15_15272,,,
CO_15_15276,,,
CO_15_15293,2654,,
CO_15_15296,,,
CO_15_15299,,,
CO_15_15317,1693,,
CO_15_15322,,,
CO_15_15325,,,
CO_15_15332,6909,,
CO_15_15362,,,
CO_15_15367,,,
CO_15_15368,,,
CO_15_15377,5099,,
CO_15_15380,,,
CO_15_15401,,,
CO_15_15403,2523,,
CO_15_15407,18598,,
CO_15_15425,,,
CO_15_15442,7480,,
CO_15_15455,,,
CO_15_15464,,,
CO_15_15466,,,
CO_15_15469,21402,,
CO_15_15476,8067,,
CO_15_15480,8548,,
CO_15_15491,,,
CO_15_15494,,,
CO_15_15500,,,
CO_15_15507,,,
CO_15_15511,,,
CO_15_15514,,,
CO_15_15516,31868,,
CO_15_15518,1719,,
CO_15_15522,1487,,
CO_15_15531,,,
CO_15_15533,,,
CO_15_15537,,,
CO_15_15542,9322,,
CO_15_15550,,,
CO_15_15572,56930,,
CO_15_15580,,,
CO_15_15599,,,
CO_15_15600,,,
CO_15_15621,,,
CO_15_15632,12372,,
CO_15_15638,3791,,
CO_15_15646,20767,,
CO_15_15660,,,
CO_15_15664,5221,,
CO_15_15667,,,
