Date,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population
2020-03-04,US,United States of America,AZ,Arizona,2,,33.7298,-111.4312,
2020-03-04,US,United States of America,CA,California,53,,36.1162,-119.6816,
2020-03-04,US,United States of America,FL,Florida,2,,27.7663,-81.6868,
2020-03-04,US,United States of America,GA,Georgia,2,,33.0406,-83.6431,
2020-03-04,US,United States of America,IL,Illinois,4,,40.3495,-88.9861,
2020-03-04,US,United States of America,MA,Massachusetts,2,,42.2302,-71.5301,
2020-03-04,US,United States of America,NC,North Carolina,1,,35.6301,-79.8064,
2020-03-04,US,United States of America,NH,New Hampshire,2,,42.9931,-71.0498,
2020-03-04,US,United States of America,NY,New York,6,,42.1657,-74.9481,
2020-03-04,US,United States of America,OR,Oregon,3,,43.1261,-123.2492,
2020-03-04,US,United States of America,SC,South Caroline,0,,33.8569,-80.945,
2020-03-04,US,United States of America,TX,Texas,1,,31.0545,-97.5635,
2020-03-04,US,United States of America,WA,Washington,39,,47.4009,-121.4905,
2020-03-04,US,United States of America,WI,Wisconsin,1,,43.0186,-89.5498,
2020-03-05,US,United States of America,AZ,Arizona,2,,33.7298,-111.4312,
2020-03-05,US,United States of America,CA,California,53,,36.1162,-119.6816,
2020-03-05,US,United States of America,CO,Colorado,0,,39.0598,-105.3111,
2020-03-05,US,United States of America,DC,District of Columbia,0,,38.8974,-77.0268,
2020-03-05,US,United States of America,FL,Florida,9,,27.7663,-81.6868,
2020-03-05,US,United States of America,GA,Georgia,2,,33.0406,-83.6431,
2020-03-05,US,United States of America,IL,Illinois,5,,40.3495,-88.9861,
2020-03-05,US,United States of America,MA,Massachusetts,2,,42.2302,-71.5301,
2020-03-05,US,United States of America,MD,Maryland,0,,39.0639,-76.8021,
2020-03-05,US,United States of America,MI,Michigan,0,,43.3266,-84.5361,
2020-03-05,US,United States of America,NC,North Carolina,1,,35.6301,-79.8064,
2020-03-05,US,United States of America,NE,Nebraska,0,,41.3148,-96.1951,
2020-03-05,US,United States of America,NH,New Hampshire,2,,42.9931,-71.0498,
2020-03-05,US,United States of America,NJ,New Jersey,1,,40.2989,-74.521,
2020-03-05,US,United States of America,NV,Nevada,1,,38.3135,-117.0554,
2020-03-05,US,United States of America,NY,New York,22,,42.1657,-74.9481,
2020-03-05,US,United States of America,OH,Ohio,0,,40.3888,-82.7649,
2020-03-05,US,United States of America,OR,Oregon,3,,43.1261,-123.2492,
2020-03-05,US,United States of America,SC,South Caroline,0,,33.8569,-80.945,
2020-03-05,US,United States of America,TN,Tennessee,1,,35.7478,-86.6923,
2020-03-05,US,United States of America,TX,Texas,1,,31.0545,-97.5635,
2020-03-05,US,United States of America,VA,Virginia,0,,37.7693,-78.17,
2020-03-05,US,United States of America,WA,Washington,70,,47.4009,-121.4905,
2020-03-05,US,United States of America,WI,Wisconsin,1,,43.0186,-89.5498,
2020-03-06,US,United States of America,AK,Alaska,0,,61.3707,-152.4044,
2020-03-06,US,United States of America,AR,Arkansas,0,,34.9697,-92.3731,
2020-03-06,US,United States of America,AZ,Arizona,3,,33.7298,-111.4312,
2020-03-06,US,United States of America,CA,California,60,,36.1162,-119.6816,
2020-03-06,US,United States of America,CO,Colorado,2,,39.0598,-105.3111,
2020-03-06,US,United States of America,DC,District of Columbia,0,,38.8974,-77.0268,
2020-03-06,US,United States of America,DE,Delaware,0,,39.3185,-75.5071,
2020-03-06,US,United States of America,FL,Florida,9,,27.7663,-81.6868,
2020-03-06,US,United States of America,GA,Georgia,2,,33.0406,-83.6431,
2020-03-06,US,United States of America,IA,Iowa,0,,42.0115,-93.2105,
2020-03-06,US,United States of America,IL,Illinois,5,,40.3495,-88.9861,
2020-03-06,US,United States of America,IN,Indiana,1,,39.8494,-86.2583,
2020-03-06,US,United States of America,KS,Kansas,0,,38.5266,-96.7265,
2020-03-06,US,United States of America,KY,Kentucky,0,,37.6681,-84.6701,
2020-03-06,US,United States of America,MA,Massachusetts,8,,42.2302,-71.5301,
2020-03-06,US,United States of America,MD,Maryland,3,,39.0639,-76.8021,
2020-03-06,US,United States of America,MI,Michigan,0,,43.3266,-84.5361,
2020-03-06,US,United States of America,MN,Minnesota,0,,44.8254,-93.7842,
2020-03-06,US,United States of America,NC,North Carolina,2,,35.6301,-79.8064,
2020-03-06,US,United States of America,NE,Nebraska,0,,41.3148,-96.1951,
2020-03-06,US,United States of America,NH,New Hampshire,2,,42.9931,-71.0498,
2020-03-06,US,United States of America,NJ,New Jersey,1,,40.2989,-74.521,
2020-03-06,US,United States of America,NM,New Mexico,0,,34.8405,-106.2485,
2020-03-06,US,United States of America,NV,Nevada,1,,38.3135,-117.0554,
2020-03-06,US,United States of America,NY,New York,33,,42.1657,-74.9481,
2020-03-06,US,United States of America,OH,Ohio,0,,40.3888,-82.7649,
2020-03-06,US,United States of America,OR,Oregon,3,,43.1261,-123.2492,
2020-03-06,US,United States of America,PA,Pennsylvania,2,,40.5908,-77.2098,
2020-03-06,US,United States of America,SC,South Caroline,0,,33.8569,-80.945,
2020-03-06,US,United States of America,TN,Tennessee,1,,35.7478,-86.6923,
2020-03-06,US,United States of America,TX,Texas,5,,31.0545,-97.5635,
2020-03-06,US,United States of America,VA,Virginia,0,,37.7693,-78.17,
2020-03-06,US,United States of America,VT,Vermont,0,,44.0459,-72.7107,
2020-03-06,US,United States of America,WA,Washington,79,,47.4009,-121.4905,
2020-03-06,US,United States of America,WI,Wisconsin,1,,43.0186,-89.5498,
