Date,RegionCode,RegionName,CountryCode,CountryName,Confirmed,Deaths,Latitude,Longitude
2020-01-22,AH,Anhui,CN,China,1,0,31.8257,117.2264
2020-01-22,BJ,Beijing,CN,China,10,0,40.1824,116.4142
2020-01-22,CQ,Chongqing,CN,China,5,0,30.0572,107.874
2020-01-22,GD,Guangdong,CN,China,26,0,23.3417,113.4244
2020-01-22,GX,Guangxi,CN,China,0,0,23.8298,108.7881
2020-01-22,GZ,Guizhou,CN,China,0,0,26.8154,106.8748
2020-01-22,HI,Hainan,CN,China,4,0,19.1959,109.7453
2020-01-22,HL,Heilongjiang,CN,China,0,0,47.862,127.7615
2020-01-22,HA,Henan,CN,China,4,0,33.882,113.614
2020-01-22,HB,Hubei,CN,China,375,9,30.9756,112.2707
2020-01-22,HN,Hunan,CN,China,1,0,27.6104,111.7088
2020-01-22,JX,Jiangxi,CN,China,2,0,27.614,115.7221
2020-01-22,JL,Jilin,CN,China,0,0,43.6661,126.1923
2020-01-22,LN,Liaoning,CN,China,2,0,41.2956,122.6085
2020-01-22,NX,Ningxia,CN,China,0,0,37.2692,106.1655
2020-01-22,SD,Shandong,CN,China,1,0,36.3427,118.1498
2020-01-22,SH,Shanghai,CN,China,9,0,31.202,121.4491
2020-01-22,SN,Shanxi,CN,China,0,0,37.5777,112.2922
2020-01-22,SC,Sichuan,CN,China,2,0,30.6171,102.7103
2020-01-22,TJ,Tianjin,CN,China,4,0,39.3054,117.323
2020-01-22,YN,Yunnan,CN,China,1,0,24.974,101.487
2020-01-22,ZJ,Zhejiang,CN,China,10,0,29.1832,120.0934
2020-01-23,AH,Anhui,CN,China,9,0,31.8257,117.2264
2020-01-23,BJ,Beijing,CN,China,14,0,40.1824,116.4142
2020-01-23,CQ,Chongqing,CN,China,9,0,30.0572,107.874
2020-01-23,FJ,Fujian,CN,China,5,0,26.0789,117.9874
2020-01-23,GS,Gansu,CN,China,0,0,37.8099,101.0583
2020-01-23,GD,Guangdong,CN,China,32,0,23.3417,113.4244
2020-01-23,GX,Guangxi,CN,China,5,0,23.8298,108.7881
2020-01-23,GZ,Guizhou,CN,China,3,0,26.8154,106.8748
2020-01-23,HI,Hainan,CN,China,5,0,19.1959,109.7453
2020-01-23,HE,Hebei,CN,China,1,0,39.549,116.1306
2020-01-23,HL,Heilongjiang,CN,China,1,0,47.862,127.7615
2020-01-23,HA,Henan,CN,China,5,0,33.882,113.614
2020-01-23,HB,Hubei,CN,China,444,17,30.9756,112.2707
2020-01-23,HN,Hunan,CN,China,9,0,27.6104,111.7088
2020-01-23,JS,Jiangsu,CN,China,1,0,32.9711,119.455
2020-01-23,JX,Jiangxi,CN,China,3,0,27.614,115.7221
2020-01-23,JL,Jilin,CN,China,1,0,43.6661,126.1923
2020-01-23,LN,Liaoning,CN,China,3,0,41.2956,122.6085
2020-01-23,NX,Ningxia,CN,China,1,0,37.2692,106.1655
2020-01-23,SN,Shaanxi,CN,China,0,0,35.1917,108.8701
2020-01-23,SD,Shandong,CN,China,6,0,36.3427,118.1498
2020-01-23,SH,Shanghai,CN,China,16,0,31.202,121.4491
2020-01-23,SN,Shanxi,CN,China,1,0,37.5777,112.2922
2020-01-23,SC,Sichuan,CN,China,8,0,30.6171,102.7103
2020-01-23,ZJ,Zhejiang,CN,China,27,0,29.1832,120.0934
2020-01-24,AH,Anhui,CN,China,15,0,31.8257,117.2264
2020-01-24,BJ,Beijing,CN,China,29,0,40.1824,116.4142
2020-01-24,CQ,Chongqing,CN,China,27,0,30.0572,107.874
2020-01-24,FJ,Fujian,CN,China,10,0,26.0789,117.9874
2020-01-24,GS,Gansu,CN,China,2,0,37.8099,101.0583
2020-01-24,GD,Guangdong,CN,China,53,0,23.3417,113.4244
2020-01-24,GX,Guangxi,CN,China,13,0,23.8298,108.7881
2020-01-24,GZ,Guizhou,CN,China,3,0,26.8154,106.8748
2020-01-24,HI,Hainan,CN,China,8,0,19.1959,109.7453
2020-01-24,HE,Hebei,CN,China,2,1,39.549,116.1306
2020-01-24,HL,Heilongjiang,CN,China,4,1,47.862,127.7615
2020-01-24,HA,Henan,CN,China,9,0,33.882,113.614
2020-01-24,HB,Hubei,CN,China,549,24,30.9756,112.2707
2020-01-24,HN,Hunan,CN,China,24,0,27.6104,111.7088
2020-01-24,JS,Jiangsu,CN,China,9,0,32.9711,119.455
2020-01-24,JX,Jiangxi,CN,China,7,0,27.614,115.7221
2020-01-24,JL,Jilin,CN,China,3,0,43.6661,126.1923
2020-01-24,LN,Liaoning,CN,China,4,0,41.2956,122.6085
2020-01-24,NX,Ningxia,CN,China,2,0,37.2692,106.1655
2020-01-24,SN,Shaanxi,CN,China,3,0,35.1917,108.8701
2020-01-24,SD,Shandong,CN,China,15,0,36.3427,118.1498
2020-01-24,SH,Shanghai,CN,China,20,0,31.202,121.4491
2020-01-24,SN,Shanxi,CN,China,1,0,37.5777,112.2922
2020-01-24,SC,Sichuan,CN,China,15,0,30.6171,102.7103
2020-01-24,TJ,Tianjin,CN,China,7,0,39.3054,117.323
2020-01-24,XJ,Xinjiang,CN,China,2,0,41.1129,85.2401
2020-01-24,YN,Yunnan,CN,China,2,0,24.974,101.487
2020-01-24,ZJ,Zhejiang,CN,China,43,0,29.1832,120.0934
2020-01-25,AH,Anhui,CN,China,39,0,31.8257,117.2264
2020-01-25,BJ,Beijing,CN,China,36,0,40.1824,116.4142
2020-01-25,CQ,Chongqing,CN,China,57,0,30.0572,107.874
2020-01-25,FJ,Fujian,CN,China,18,0,26.0789,117.9874
