Date,RegionCode,RegionName,CountryCode,CountryName,Confirmed,Deaths,Latitude,Longitude
2020-03-20,AN,Andalucía,ES,Spain,1287,30,37.3828,-5.9731
2020-03-20,AR,Aragón,ES,Spain,360,17,41.6560,-0.8773
2020-03-20,AS,Asturias,ES,Spain,344,2,43.3602,-5.8447
2020-03-20,CB,Cantabria,ES,Spain,144,1,43.4647,-3.8044
2020-03-20,CE,Ceuta,ES,Spain,5,0,35.8893,-5.3198
2020-03-20,CL,Castilla y León,ES,Spain,1147,43,41.6523,-4.7245
2020-03-20,CM,Castilla La Mancha,ES,Spain,1044,62,39.8628,-4.0273
2020-03-20,CN,Islas Canarias,ES,Spain,287,4,28.4682,-16.2546
2020-03-20,CT,Cataluña,ES,Spain,3270,82,41.3887,2.1590
2020-03-20,EX,Extremadura,ES,Spain,297,10,38.9161,-6.3436
2020-03-20,GA,Galicia,ES,Spain,578,5,42.2328,-8.7226
2020-03-20,IB,Islas Baleares,ES,Spain,203,2,39.5693,2.6502
2020-03-20,MC,Murcia,ES,Spain,204,0,37.9870415,-1.13004
2020-03-20,MD,Madrid,ES,Spain,7165,628,40.4165001,-3.7025599
2020-03-20,ML,Melilla,ES,Spain,24,0,35.2937,-2.9383
2020-03-20,NC,Navarra,ES,Spain,554,5,42.8169,-1.6432
2020-03-20,PV,País Vasco,ES,Spain,1465,71,43.2627,-2.9253
2020-03-20,RI,La Rioja,ES,Spain,497,7,42.4667,-2.4500
2020-03-20,VC,Comunidad Valenciana,ES,Spain,1105,33,39.4697,-0.3774
