Date,RegionCode,RegionName,CountryCode,CountryName,Confirmed,Deaths,Latitude,Longitude
2020-03-20,AK,Alaska,US,United States of America,12,,61.3707,-152.4044
2020-03-20,AL,Alabama,US,United States of America,81,0,32.3182,-86.9023
2020-03-20,AR,Arkansas,US,United States of America,96,,34.9697,-92.3731
2020-03-20,AZ,Arizona,US,United States of America,65,0,33.7298,-111.4312
2020-03-20,CA,California,US,United States of America,1063,20,36.1162,-119.6816
2020-03-20,CO,Colorado,US,United States of America,277,3,39.0598,-105.3111
2020-03-20,CT,Connecticut,US,United States of America,194,3,41.5978,-72.7554
2020-03-20,DC,District of Columbia,US,United States of America,71,1,38.8974,-77.0268
2020-03-20,DE,Delaware,US,United States of America,38,0,39.3185,-75.5071
2020-03-20,FL,Florida,US,United States of America,520,10,27.7663,-81.6868
2020-03-20,GA,Georgia,US,United States of America,420,13,33.0406,-83.6431
2020-03-20,HI,Hawaii,US,United States of America,26,,21.0943,-157.4983
2020-03-20,IA,Iowa,US,United States of America,45,,42.0115,-93.2105
2020-03-20,ID,Idaho,US,United States of America,23,,44.2405,-114.4788
2020-03-20,IL,Illinois,US,United States of America,590,5,40.3495,-88.9861
2020-03-20,IN,Indiana,US,United States of America,79,2,39.8494,-86.2583
2020-03-20,KS,Kansas,US,United States of America,44,1,38.5266,-96.7265
2020-03-20,KY,Kentucky,US,United States of America,47,1,37.6681,-84.6701
2020-03-20,LA,Louisiana,US,United States of America,479,12,31.1695,-91.8678
2020-03-20,MA,Massachusetts,US,United States of America,413,1,42.2302,-71.5301
2020-03-20,MD,Maryland,US,United States of America,149,1,39.0639,-76.8021
2020-03-20,ME,Maine,US,United States of America,57,,44.6939,-69.3819
2020-03-20,MI,Michigan,US,United States of America,549,3,43.3266,-84.5361
2020-03-20,MN,Minnesota,US,United States of America,115,,44.8254,-93.7842
2020-03-20,MO,Missouri,US,United States of America,47,1,38.4561,-92.2884
2020-03-20,MS,Mississippi,US,United States of America,80,1,32.7416,-89.6787
2020-03-20,MT,Montana,US,United States of America,16,,46.9219,-110.4544
2020-03-20,NC,North Carolina,US,United States of America,137,0,35.6301,-79.8064
2020-03-20,ND,North Dakota,US,United States of America,20,0,47.5289,-99.784
2020-03-20,NE,Nebraska,US,United States of America,32,0,41.3148,-96.1951
2020-03-20,NH,New Hampshire,US,United States of America,44,,42.9931,-71.0498
2020-03-20,NJ,New Jersey,US,United States of America,890,11,40.2989,-74.521
2020-03-20,NM,New Mexico,US,United States of America,43,,34.8405,-106.2485
2020-03-20,NV,Nevada,US,United States of America,109,1,38.3135,-117.0554
2020-03-20,NY,New York,US,United States of America,7102,35,42.1657,-74.9481
2020-03-20,OH,Ohio,US,United States of America,169,1,40.3888,-82.7649
2020-03-20,OK,Oklahoma,US,United States of America,49,1,35.5653,-96.9289
2020-03-20,OR,Oregon,US,United States of America,114,3,43.1261,-123.2492
2020-03-20,PA,Pennsylvania,US,United States of America,268,1,40.5908,-77.2098
2020-03-20,RI,Rhode Island,US,United States of America,54,,41.8882,-71.4774
2020-03-20,SC,South Caroline,US,United States of America,81,1,33.8569,-80.945
2020-03-20,SD,South Dakota,US,United States of America,14,1,43.8901,-102.2548
2020-03-20,TN,Tennessee,US,United States of America,228,,35.7478,-86.6923
2020-03-20,TX,Texas,US,United States of America,194,5,31.0545,-97.5635
2020-03-20,UT,Utah,US,United States of America,112,0,40.15,-111.8624
2020-03-20,VA,Virginia,US,United States of America,114,2,37.7693,-78.17
2020-03-20,VT,Vermont,US,United States of America,29,2,44.0459,-72.7107
2020-03-20,WA,Washington,US,United States of America,1376,74,47.4009,-121.4905
2020-03-20,WI,Wisconsin,US,United States of America,206,3,43.0186,-89.5498
2020-03-20,WV,West Virginia,US,United States of America,7,0,38.4912,-80.9545
2020-03-20,WY,Wyoming,US,United States of America,19,,42.756,-107.3025
