Date,RegionCode,RegionName,CountryCode,CountryName,Confirmed,Deaths,Latitude,Longitude
2020-03-05,AN,Andalucía,ES,Spain,12,0,37.3828,-5.9731
2020-03-05,AR,Aragón,ES,Spain,1,0,41.6560,-0.8773
2020-03-05,AS,Asturias,ES,Spain,5,0,43.3602,-5.8447
2020-03-05,CB,Cantabria,ES,Spain,10,0,43.4647,-3.8044
2020-03-05,CE,Ceuta,ES,Spain,0,0,35.8893,-5.3198
2020-03-05,CL,Castilla y León,ES,Spain,11,0,41.6523,-4.7245
2020-03-05,CN,Islas Canarias,ES,Spain,8,0,28.4682,-16.2546
2020-03-05,CT,Cataluña,ES,Spain,24,0,41.3887,2.1590
2020-03-05,EX,Extremadura,ES,Spain,6,0,38.9161,-6.3436
2020-03-05,GA,Galicia,ES,Spain,1,0,42.2328,-8.7226
2020-03-05,IB,Islas Baleares,ES,Spain,6,0,39.5693,2.6502
2020-03-05,MC,Murcia,ES,Spain,0,0,37.9870415,-1.13004
2020-03-05,MD,Madrid,ES,Spain,90,1,40.4165001,-3.7025599
2020-03-05,ML,Melilla,ES,Spain,0,0,35.2937,-2.9383
2020-03-05,NC,Navarra,ES,Spain,3,0,42.8169,-1.6432
2020-03-05,PV,País Vasco,ES,Spain,17,1,43.2627,-2.9253
2020-03-05,RI,La Rioja,ES,Spain,11,0,42.4667,-2.4500
2020-03-05,VC,Comunidad Valenciana,ES,Spain,19,1,39.4697,-0.3774
2020-03-06,AN,Andalucía,ES,Spain,21,0,37.3828,-5.9731
2020-03-06,AR,Aragón,ES,Spain,6,1,41.6560,-0.8773
2020-03-06,AS,Asturias,ES,Spain,5,0,43.3602,-5.8447
2020-03-06,CB,Cantabria,ES,Spain,10,0,43.4647,-3.8044
2020-03-06,CE,Ceuta,ES,Spain,0,0,35.8893,-5.3198
2020-03-06,CL,Castilla y León,ES,Spain,14,0,41.6523,-4.7245
2020-03-06,CN,Islas Canarias,ES,Spain,11,0,28.4682,-16.2546
2020-03-06,CT,Cataluña,ES,Spain,24,0,41.3887,2.1590
2020-03-06,EX,Extremadura,ES,Spain,6,0,38.9161,-6.3436
2020-03-06,GA,Galicia,ES,Spain,3,0,42.2328,-8.7226
2020-03-06,IB,Islas Baleares,ES,Spain,6,0,39.5693,2.6502
2020-03-06,MC,Murcia,ES,Spain,0,0,37.9870415,-1.13004
2020-03-06,MD,Madrid,ES,Spain,137,2,40.4165001,-3.7025599
2020-03-06,ML,Melilla,ES,Spain,0,0,35.2937,-2.9383
2020-03-06,NC,Navarra,ES,Spain,3,0,42.8169,-1.6432
2020-03-06,PV,País Vasco,ES,Spain,45,1,43.2627,-2.9253
2020-03-06,RI,La Rioja,ES,Spain,29,0,42.4667,-2.4500
2020-03-06,VC,Comunidad Valenciana,ES,Spain,30,1,39.4697,-0.3774
2020-03-09,AN,Andalucía,ES,Spain,54,0,37.3828,-5.9731
2020-03-09,AR,Aragón,ES,Spain,13,1,41.6560,-0.8773
2020-03-09,AS,Asturias,ES,Spain,7,0,43.3602,-5.8447
2020-03-09,CB,Cantabria,ES,Spain,12,0,43.4647,-3.8044
2020-03-09,CE,Ceuta,ES,Spain,0,0,35.8893,-5.3198
2020-03-09,CL,Castilla y León,ES,Spain,23,0,41.6523,-4.7245
2020-03-09,CN,Islas Canarias,ES,Spain,22,0,28.4682,-16.2546
2020-03-09,CT,Cataluña,ES,Spain,75,1,41.3887,2.1590
2020-03-09,EX,Extremadura,ES,Spain,7,0,38.9161,-6.3436
2020-03-09,GA,Galicia,ES,Spain,6,0,42.2328,-8.7226
2020-03-09,IB,Islas Baleares,ES,Spain,11,0,39.5693,2.6502
2020-03-09,MC,Murcia,ES,Spain,4,0,37.9870415,-1.13004
2020-03-09,MD,Madrid,ES,Spain,469,8,40.4165001,-3.7025599
2020-03-09,ML,Melilla,ES,Spain,0,0,35.2937,-2.9383
2020-03-09,NC,Navarra,ES,Spain,3,0,42.8169,-1.6432
2020-03-09,PV,País Vasco,ES,Spain,149,5,43.2627,-2.9253
