key,wikidata,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level
AD,Q228,AD,Andorra,,,,,AD,AND,0
AE,Q878,AE,United Arab Emirates,,,,,AE,ARE,0
AF,Q889,AF,Afghanistan,,,,,AF,AFG,0
AG,Q781,AG,Antigua and Barbuda,,,,,AG,ATG,0
AI,Q25228,AI,Anguilla,,,,,AI,AIA,0
AL,Q222,AL,Albania,,,,,AL,ALB,0
AM,Q399,AM,Armenia,,,,,AM,ARM,0
AN,Q25227,AN,Netherlands Antilles,,,,,,,0
AO,Q916,AO,Angola,,,,,AO,AGO,0
AQ,Q51,AQ,Antarctica,,,,,AQ,ATA,0
AR,Q414,AR,Argentina,,,,,AR,ARG,0
AR_A,Q44803,AR,Argentina,A,Salta,,,AR,ARG,1
AR_B,Q44754,AR,Argentina,B,Buenos Aires Province,,,AR,ARG,1
AR_C,Q1486,AR,Argentina,C,City of Buenos Aires,,,AR,ARG,1
AR_D,Q44818,AR,Argentina,D,San Luis,,,AR,ARG,1
AR_E,Q44762,AR,Argentina,E,Entre Ríos,,,AR,ARG,1
AR_F,Q44796,AR,Argentina,F,La Rioja,,,AR,ARG,1
AR_G,Q44827,AR,Argentina,G,Santiago del Estero,,,AR,ARG,1
AR_H,Q44757,AR,Argentina,H,Chaco,,,AR,ARG,1
AR_J,Q44805,AR,Argentina,J,San Juan,,,AR,ARG,1
AR_K,Q44756,AR,Argentina,K,Catamarca,,,AR,ARG,1
AR_L,Q44795,AR,Argentina,L,La Pampa,,,AR,ARG,1
AR_M,Q44797,AR,Argentina,M,Mendoza,,,AR,ARG,1
AR_N,Q44798,AR,Argentina,N,Misiones,,,AR,ARG,1
AR_P,Q44761,AR,Argentina,P,Formosa,,,AR,ARG,1
AR_Q,Q44800,AR,Argentina,Q,Neuquén,,,AR,ARG,1
AR_R,Q44802,AR,Argentina,R,Río Negro,,,AR,ARG,1
AR_S,Q44823,AR,Argentina,S,Santa Fe,,,AR,ARG,1
AR_T,Q44829,AR,Argentina,T,Tucumán,,,AR,ARG,1
AR_U,Q45007,AR,Argentina,U,Chubut,,,AR,ARG,1
AR_V,Q44832,AR,Argentina,V,Tierra del Fuego,,,AR,ARG,1
AR_W,Q44758,AR,Argentina,W,Corrientes,,,AR,ARG,1
AR_X,Q44759,AR,Argentina,X,Córdoba,,,AR,ARG,1
AR_Y,Q44764,AR,Argentina,Y,Jujuy,,,AR,ARG,1
AR_Z,Q44821,AR,Argentina,Z,Santa Cruz,,,AR,ARG,1
