Date,Region,CountryCode,CountryName,Confirmed,Deaths,Latitude,Longitude
2020-03-05,Andalucía,ES,Spain,12,0,37.3828,-5.9731
2020-03-05,Aragón,ES,Spain,1,0,41.6560,-0.8773
2020-03-05,Asturias,ES,Spain,5,0,43.3602,-5.8447
2020-03-05,Baleares,ES,Spain,6,0,39.5693,2.6502
2020-03-05,Cantabria,ES,Spain,10,0,43.4647,-3.8044
2020-03-05,Castilla y León,ES,Spain,11,0,41.6523,-4.7245
2020-03-05,Cataluña,ES,Spain,24,0,41.3887,2.1590
2020-03-05,Ceuta,ES,Spain,0,0,35.8893,-5.3198
2020-03-05,Comunidad Valenciana,ES,Spain,19,1,39.4697,-0.3774
2020-03-05,Extremadura,ES,Spain,6,0,38.9161,-6.3436
2020-03-05,Galicia,ES,Spain,1,0,42.2328,-8.7226
2020-03-05,Islas Canarias,ES,Spain,8,0,28.4682,-16.2546
2020-03-05,La Rioja,ES,Spain,11,0,42.4667,-2.4500
2020-03-05,Madrid,ES,Spain,90,1,40.4165001,-3.7025599
2020-03-05,Melilla,ES,Spain,0,0,35.2937,-2.9383
2020-03-05,Murcia,ES,Spain,0,0,37.9870415,-1.13004
2020-03-05,Navarra,ES,Spain,3,0,42.8169,-1.6432
2020-03-05,País Vasco,ES,Spain,17,1,43.2627,-2.9253
2020-03-06,Andalucía,ES,Spain,21,0,37.3828,-5.9731
2020-03-06,Aragón,ES,Spain,6,1,41.6560,-0.8773
2020-03-06,Asturias,ES,Spain,5,0,43.3602,-5.8447
2020-03-06,Baleares,ES,Spain,6,0,39.5693,2.6502
2020-03-06,Cantabria,ES,Spain,10,0,43.4647,-3.8044
2020-03-06,Castilla y León,ES,Spain,14,0,41.6523,-4.7245
2020-03-06,Cataluña,ES,Spain,24,0,41.3887,2.1590
2020-03-06,Ceuta,ES,Spain,0,0,35.8893,-5.3198
2020-03-06,Comunidad Valenciana,ES,Spain,30,1,39.4697,-0.3774
2020-03-06,Extremadura,ES,Spain,6,0,38.9161,-6.3436
2020-03-06,Galicia,ES,Spain,3,0,42.2328,-8.7226
