key,population,male_population,female_population,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index
AD,77006,,,9193,67813,,,163.84255,0.858
AE,9630959,6680352,2950607,1298061,8332898,2785376,5775924,135.60911,0.863
AF,37172386,19093281,18079105,27695286,9477100,4011770,4011770,56.93776,0.498
AF_BAM,492400,,,,,,,,
AF_BDG,500000,,,,,,,,
AF_BDS,823000,,,,,,,,
AF_DAY,417300,,,,,,,,
AF_GHO,680200,,,,,,,,
AF_HEL,859600,,,,,,,,
AF_HER,1762157,,,,,,,,
AF_KAB,4012000,,,,,,,,
AF_KAP,399500,,,,,,,,
AF_KDZ,820000,,,,,,,,
AF_KNR,578500,,,,,,,,
AF_LAG,4035000,,,,,,,,
AF_NIM,149000,,,,,,,,
AF_PAR,664502,,,,,,,,
AF_PIA,4992000,,,,,,,,
AF_PKA,393800,,,,,,,,
AF_SAR,532000,,,,,,,,
AF_WAR,540100,,,,,,,,
AG,96286,46421,49865,72601,23685,,,218.83182,0.78
AI,16086,,,,,,,,
AL,2866376,1460043,1406333,1137407,1728969,475577,,104.61226,0.785
AM,2951776,1388616,1563160,1087759,1864017,1080324,1080324,103.68022,0.755
AN,197041,,,,,,,,
AO,30809762,15241447,15568315,10625055,20184707,7774200,7774200,24.713052,0.581
AQ,4400,,,,,,,,
AR,44494502,21696699,22797803,3617403,40877099,14966530,19136241,16.25851,0.825
AR_A,1333365,,,,,,,,
AR_B,1796320,,,,,,,,
AR_C,3063728,,,,,,,,
AR_D,489255,,,,,,,,
AR_E,1235994,,,,,,,,
AR_F,387728,,,,,,,,
AR_G,896461,,,,,,,,
AR_H,1055259,,,,,,,,
AR_J,738959,,,,,,,,
AR_K,396895,,,,,,,,
AR_L,349299,,,,,,,,
AR_M,2086000,,,,,,,,
AR_N,1189446,,,,,,,,
AR_P,527895,,,,,,,,
AR_Q,637913,,,,,,,,
AR_R,638645,,,,,,,,
AR_S,3397532,,,,,,,,
AR_T,1448188,,,,,,,,
AR_U,618994,,,,,,,,
AR_V,160720,,,,,,,,
AR_W,992595,,,,,,,,
AR_X,3567654,,,,,,,,
AR_Y,727780,,,,,,,,
AR_Z,273964,,,,,,,,
AS,55465,,,7126,48339,,,277.325,
AT,8840521,4346935,4493586,3686762,5153759,1900547,1900547,107.12797,0.908
AT_11,291023,,,,,,,,
AT_12,1653419,,,,,,,,
AT_13,1888776,,,,,,,,
AT_21,560300,,,,,,,,
AT_22,1231865,,,,,,,,
