date,key,new_confirmed_male,new_confirmed_female,total_confirmed_male,total_confirmed_female,new_deceased_male,new_deceased_female,total_deceased_male,total_deceased_female,new_recovered_male,new_recovered_female,total_recovered_male,total_recovered_female,new_tested_male,new_tested_female,total_tested_male,total_tested_female,new_hospitalized_male,new_hospitalized_female,total_hospitalized_male,total_hospitalized_female,current_hospitalized_male,current_hospitalized_female,new_intensive_care_male,new_intensive_care_female,total_intensive_care_male,total_intensive_care_female,current_intensive_care_male,current_intensive_care_female,new_ventilator_male,new_ventilator_female,total_ventilator_male,total_ventilator_female,current_ventilator_male,current_ventilator_female
2020-01-23,PH_07_BOH,,1,0,1,,0,0,0,,0,0,0,,,,,,1,0,1,,,,,,,,,,,,,,
2020-01-30,PH_00,1,,1,0,0,,0,0,0,,0,0,,,,,0,,0,0,,,,,,,,,,,,,,
2020-01-31,PH_07_BOH,,0,0,1,,0,0,0,,1,0,1,,,,,,0,0,1,,,,,,,,,,,,,,
2020-02-01,PH_07_NER,0,,0,0,1,,1,0,0,,0,0,,,,,0,,0,0,,,,,,,,,,,,,,
2020-02-03,PH_00,0,,1,0,1,,1,0,0,,0,0,,,,,0,,0,0,,,,,,,,,,,,,,
2020-02-08,PH_07_NER,,0,0,0,,0,1,0,,1,0,1,,,,,,0,0,0,,,,,,,,,,,,,,
2020-02-25,PH_00,,1,1,1,,0,1,0,,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,
2020-02-27,PH_03_BUL,1,,1,0,0,,0,0,0,,0,0,,,,,0,,0,0,,,,,,,,,,,,,,
2020-03-02,PH_00,,1,1,2,,0,1,0,,0,0,0,,,,,,0,0,0,,,,,,,,,,,,,,
2020-03-03,PH_00,,1,1,3,,0,1,0,,0,0,0,,,,,,1,0,1,,,,,,,,,,,,,,
2020-03-03,PH_03_BUL,,1,1,1,,0,0,0,,0,0,0,,,,,,1,0,1,,,,,,,,,,,,,,
2020-03-03,PH_40_BTG,1,,1,0,0,,0,0,0,,0,0,,,,,0,,0,0,,,,,,,,,,,,,,
2020-03-04,PH_00,1,,2,3,0,,1,0,0,,0,0,,,,,1,,1,1,,,,,,,,,,,,,,
2020-03-05,PH_00,1,,3,3,0,,1,0,1,,1,0,,,,,0,,1,1,,,,,,,,,,,,,,
2020-03-05,PH_40_RIZ,1,,1,0,0,,0,0,0,,0,0,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-06,CO,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CO_11,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,CO_11_11001,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,PH_00,5,,8,3,0,,1,0,1,,2,0,,,,,5,,6,1,,,,,,,,,,,,,,
2020-03-06,PH_40_RIZ,,1,1,1,,0,0,0,,0,0,0,,,,,,1,1,1,,,,,,,,,,,,,,
2020-03-07,PH_00,4,2,12,5,0,0,1,0,0,0,2,0,,,,,4,2,10,3,,,,,,,,,,,,,,
2020-03-07,PH_05_ALB,1,,1,0,0,,0,0,0,,0,0,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-08,PH_00,5,3,17,8,0,0,1,0,0,0,2,0,,,,,5,3,15,6,,,,,,,,,,,,,,
2020-03-08,PH_03_BUL,,1,1,2,,0,0,0,,0,0,0,,,,,,1,0,2,,,,,,,,,,,,,,
2020-03-08,PH_07_NER,1,,1,0,0,,1,0,0,,0,1,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-08,PH_40_CAV,1,,1,0,0,,0,0,0,,0,0,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-08,PH_40_RIZ,1,,2,1,0,,0,0,0,,0,0,,,,,1,,2,1,,,,,,,,,,,,,,
2020-03-09,CO,1,1,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,CO_05,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,CO_05_05001,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,CO_76,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,CO_76_76111,1,,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,PH_00,7,4,24,12,0,0,1,0,0,0,2,0,,,,,7,4,22,10,,,,,,,,,,,,,,
2020-03-09,PH_03_PAM,1,,1,0,0,,0,0,0,,0,0,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-09,PH_07_NER,1,,2,0,0,,1,0,0,,0,1,,,,,1,,2,0,,,,,,,,,,,,,,
2020-03-09,PH_40_BTG,,1,1,1,,0,0,0,,0,0,0,,,,,,1,0,1,,,,,,,,,,,,,,
2020-03-10,PH_00,8,7,32,19,0,0,1,0,0,1,2,1,,,,,7,6,29,16,,,,,,,,,,,,,,
2020-03-10,PH_03_BAN,1,,1,0,0,,0,0,0,,0,0,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-10,PH_03_PAM,1,,2,0,0,,0,0,0,,0,0,,,,,1,,2,0,,,,,,,,,,,,,,
2020-03-10,PH_12_NCO,1,,1,0,0,,0,0,0,,0,0,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-10,PH_14_LAS,1,,1,0,0,,0,0,0,,0,0,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-10,PH_15_ABR,1,,1,0,0,,0,0,0,,0,0,,,,,1,,1,0,,,,,,,,,,,,,,
2020-03-10,PH_40_CAV,1,1,2,1,0,0,0,0,0,0,0,0,,,,,1,1,2,1,,,,,,,,,,,,,,
2020-03-10,PH_40_RIZ,1,,3,1,0,,0,0,0,,0,0,,,,,1,,3,1,,,,,,,,,,,,,,
2020-03-11,CO,2,4,3,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,CO_05,2,1,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,CO_05_05001,2,,2,1,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,CO_05_05360,,1,0,1,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
