key,latitude,longitude,elevation,area
AD,42.558333,1.5552778,,468
AE,24.4,54.3,,83600
AF,34,66,,652230
AG,17.116667,-61.85,,440
AI,18.227222,-63.048889,,91
AL,41,20,,28748
AM,40.383333,44.95,,29743
AN,15,-66,,800
AO,-12.35,17.35,,1246700
AQ,-90,0,,14000000
AR,-34,-64,,2780400
AR_A,-24.783333,-65.416667,1246,155488
AR_B,-36.157222,-60.569722,54,307571
AR_C,-34.599722,-58.381944,25,203
AR_D,-33.3,-66.35,592,76748
AR_E,-32.0477,-60.281,57,78781
AR_F,-29.433333,-66.85,,89680
AR_G,-27.783333,-64.266667,135,136351
AR_H,-27.451389,-58.986667,102,99633
AR_J,-30.87,-68.98,2269,89651
AR_K,-28.466667,-65.783333,3347,102602
AR_L,-36.616667,-64.283333,279,143440
AR_M,-32.890278,-68.847222,875,148827
AR_N,-26.92,-54.52,190,29801
AR_P,-26.183333,-58.175,115,72066
AR_Q,-38.951667,-68.074444,1086,94078
AR_R,-40.8,-63,,203013
AR_S,-33.722778,-62.246111,53,133007
AR_T,-27,-65.5,551,22524
AR_U,-43.3,-65.1,447,224686
AR_V,-54.362,-67.638,144,21571
AR_W,-28.66,-57.63,96,88199
AR_X,-32,-64,373,165321
AR_Y,-23.75,-65.5,3433,53219
AR_Z,-48.823889,-69.815,,243943
AS,-14.295833,-170.7075,765,199
AT,48,14,,83879
AT_11,47.5,16.416667,333,3962
AT_12,48.333333,15.75,279,19186
AT_13,48.20833,16.373064,542,415
AT_21,46.761111,13.818889,1449,9536
AT_22,47.25,15.166667,2995,16401
AT_31,48.2,14,343,11982
AT_32,47.766944,13.364167,827,7156
AT_33,47.266667,11.4,605,12648
AT_34,47.243611,9.8938889,1063,2601
AU,-28,137,,410977
AU_ACT,-35.45,148.98056,892,2358
AU_NSW,-32,147,160,801150
AU_NT,-20,133,326,1347791
AU_QLD,-20,143,744,1729742
AU_SA,-30,135,162,984321
AU_TAS,-42,147,1009,68401
AU_VIC,-37,144,236,227444
AU_WA,-26,121,536,2527013
AW,12.511063,-69.974224,31,179
AZ,40.3,47.7,,86600
BA,44,18,,51197
BB,13.17,-59.5525,,439
BD,24.016667,89.866667,,147570
BE,50.641111,4.6680556,,30528
BF,12.266667,-2.066667,,274200
BG,42.75,25.5,,110994
BH,26.0675,50.551111,,765
BI,-3.666667,29.816667,,27834
BJ,8.8333333,2.1833333,,114763
BM,32.333333,-64.75,,53
BN,4.4,114.56667,,5765
BO,-17.05687,-64.991229,,1098581
BO_B,-14,-65,146,213564
BO_C,-17.333333,-65.5,2574,55631
BO_H,-20,-64.416667,2554,51524
BO_L,-15,-68.333333,,133985
BO_N,-11.183333,-67.183333,235,63827
BO_O,-18.666667,-67.666667,3729,53588
BO_P,-20.666667,-66.666667,,118218
BO_S,-17.333333,-61.5,253,370621
BO_T,-21.583333,-63.833333,1129,37623
BQ,12.183333,-68.233333,,322
BR,-14,-53,,8515767
BR_AC,-9.04787,-70.5265,234,152581
BR_AL,-9.57,-36.55,246,27767
BR_AM,-5,-63,70,1559159
BR_AP,1.3546,-51.9163,142,142815
BR_BA,-12.52,-41.69,838,564692
BR_CE,-5.08,-39.65,279,146348
BR_DF,-15.795,-47.757778,1124,5802
BR_ES,-19.71,-40.48,756,46078
BR_GO,-15.934444,-50.14,607,340086
BR_MA,-6.184167,-45.615,134,331983
BR_MG,-19.816667,-43.95,1193,586528
BR_MS,-20.442778,-54.645833,293,358159
BR_MT,-15.566667,-56.066667,408,903357
BR_PA,-4.754,-52.8992,175,1247690
BR_PB,-7.1627778,-36.825,496,56585
BR_PE,-8.34,-37.81,504,98938
BR_PI,-8.2333333,-43.1,252,251529
BR_PR,-24.67,-51.62,672,199315
BR_RJ,-22.362222,-42.720556,1109,43696
BR_RN,-5.74,-36.55,142,53307
BR_RO,-10.943,-62.8277,277,238512
BR_RR,2.1353,-61.364,104,224299
BR_RS,-29.76,-53.16,121,281738
BR_SC,-27.27,-50.49,627,95346
BR_SE,-10.59,-37.38,223,22050
BR_SP,-21.829722,-49.2075,514,248209
BR_TO,-10.8863,-48.3714,525,278421
BS,23.7,-76.4,,13878
BT,27.45,90.5,,38394
BV,-54.42222,3.35833,576,49
BW,-22.2,23.7,,581737
BY,53.528333,28.046667,,207600
BZ,17.066667,-88.7,,22966
CA,56,-109,,9984670
CA_AB,55,-115,,661848
CA_BC,54.5,-124.5,,944735
CA_MB,55,-97,,647797
CA_NB,46.6,-66,,72908
CA_NL,53,-60,,405212
CA_NS,45,-63,,55283
CA_NT,66,-119,,1346106
CA_NU,70,-90,,2038722
CA_ON,50,-85,,1076395
CA_PE,46.25,-63,,5620
CA_QC,52,-72,,1542056
CA_SK,55,-106,,651900
CA_YT,60.72086,-135.05323,,482443
CC,-12.116667,96.9,,14
CD,-2.88,23.656,,2344858
CF,6.7,20.9,,622984
CG,-0.75,15.383331,,342000
CH,46.798562,8.231973,,41285
CH_AG,47.418,8.11,382,1404
CH_AI,47.3,9.4,780,172
CH_AR,47.3784,9.3128,771,243
CH_BE,46.833333,7.6166667,542,5959
CH_BL,47.463056,7.7558333,327,518
CH_BS,47.566667,7.6,260,37
CH_FR,46.716667,7.0833333,643,1671
CH_GE,46.218,6.166,375,282
CH_GL,46.983333,9.0666667,472,685
CH_GR,46.75,9.5,585,7105
CH_JU,47.366667,7.15,435,839
CH_LU,47.083333,8.1166667,436,1494
CH_NE,46.983333,6.7833333,430,802
CH_NW,46.95,8.4,454,276
CH_OW,46.866667,8.0333333,473,491
CH_SG,47.333333,9.1666667,668,2031
CH_SH,47.716667,8.5666667,392,298
CH_SO,47.15,7.6333333,432,790
CH_SZ,47.066667,8.75,516,908
CH_TG,47.583333,9.0666667,417,992
CH_TI,46.316667,8.8166667,238,2812
CH_UR,46.783333,8.6166667,447,1077
CH_VD,46.616667,6.55,495,3212
CH_VS,46.066667,7.6,512,5224
CH_ZG,47.1648,8.548,425,239
CH_ZH,47.413056,8.6563889,408,1729
CI,8,-6,,322463
CK,-15,-161,,240
CL,-33,-71,,756102
CL_AI,-45.57,-72.066111,916,108494
CL_AN,-23.644167,-70.410833,2552,126049
