key,life_expectancy,smoking_prevalence,diabetes_prevalence,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians
AD,,33.5,7.7,,,,4.0128,3.3333
AE,77.814,28.9,16.3,54.7,16.8,,5.7271,2.5278
AF,64.486,,9.2,211.1,29.8,0.5,0.1755,0.2782
AG,76.885,,13.1,29.9,22.6,,4.5171,2.956
AL,78.458,28.7,9,68,17,,3.6495,1.2164
AM,74.945,24.1,6.1,54.8,22.3,4.2,6.107,4.4023
AO,60.782,,4.5,118.5,16.5,,0.4075,0.2146
AR,76.52,21.8,5.9,26.6,15.8,,2.5996,3.9901
AT,81.643902,29.6,6.6,15.3,11.4,,7.0899,5.1697
AU,82.74878,14.7,5.6,8.4,9.1,,12.5508,3.6778
AW,76.152,,11.6,,,,,
AZ,72.864,20.8,6.1,63.9,22.2,,,
BA,77.262,38.9,9,79.8,17.8,,5.7333,2.1616
BB,79.081,7.8,13.4,31.1,16.2,,3.06,2.4843
BD,72.32,23,9.2,149,21.6,0.8,0.4124,0.5809
BE,81.595122,28.2,4.6,15.7,11.4,,19.4614,3.0709
BF,61.174,12.5,7.3,206.2,21.7,,0.8829,0.0847
BG,74.865854,37,6,61.8,23.6,,4.8156,4.0332
BH,77.163,26.4,15.6,40.1,11.3,,2.4944,0.9257
BI,61.247,,5.1,179.9,22.9,,0.8526,0.1001
BJ,61.47,6.4,1,205,19.6,,0.3888,0.0791
BM,81.651707,,6.7,,,,,
BN,75.722,16.9,13.3,13.3,16.6,2.7,5.8974,1.609
BO,71.239,,6.8,63.7,17.2,,1.5589,1.5901
BR,75.672,13.9,10.4,29.9,16.6,,10.119,2.1643
BS,73.752,11.5,8.8,19.9,15.5,,4.5669,2.0068
BT,71.46,,10.3,124.5,23.3,,1.8518,0.4242
BW,69.275,20,5.8,101.3,20.3,,5.403,0.5269
BY,74.17561,26.7,5,60.7,23.7,,11.0027,5.1905
BZ,74.496,,17.1,68.6,22.1,,2.3414,1.1229
CA,81.94878,14.3,7.6,7,9.8,,9.9438,2.6102
CD,60.368,,6,163.9,19.4,,1.1101,0.074
CF,52.805,,6,211.9,23.1,,0.2063,0.0721
CG,64.29,26.9,6,130.7,16.7,,0.6271,
CH,83.55122,25.7,5.7,10.1,8.6,,17.5357,4.2957
CI,57.422,,2.4,269.1,29.1,,0.6048,
CL,80.042,37.8,8.6,25.3,12.4,,13.3248,2.5912
CM,58.921,,6,208.1,21.6,,,
CN,76.704,25.6,9.2,112.7,17,,2.6621,1.9798
CN_HK,84.22683,,,,,,,
CN_MO,83.849,,,,,,,
CO,77.109,9,7.4,37,15.8,,1.3309,2.1848
CR,80.095,11.9,9.1,23.3,11.5,1.2,3.4144,2.8939
CU,78.726,35.2,9.6,49.5,16.4,,7.5614,8.4218
CV,72.782,9.1,2.4,99.5,17.2,,1.2983,0.7814
CW,78.017073,,11.6,,,,,
CY,80.828,36.4,9,20.1,11.3,,5.2512,1.9509
CZ,78.978049,34.3,7,29.6,15,6.5,8.3955,4.1208
DE,80.992683,30.6,10.4,16,12.1,,13.2352,4.2488
DJ,66.582,13.1,5.1,159,19.6,,,
DK,81.35122,19.1,8.3,13.2,11.3,2.5,10.3195,4.0099
DM,76.59756,,11.6,,,,6.4385,1.1189
DO,73.892,13.7,8.6,43,19,,1.3802,1.56
DZ,76.693,15.6,6.7,49.7,14.2,1.9,1.5477,1.7193
EC,76.8,7.1,5.5,24.5,13,,2.5059,2.0368
EE,78.543902,31.3,4.2,25,17,5,11.1558,4.4833
EG,71.825,25.2,17.2,108.9,27.7,,1.9262,0.4521
ER,65.941,5.7,5.1,173.7,23.9,,1.4397,0.0628
ES,83.334146,29.3,6.9,9.9,9.9,,5.7295,3.8723
ES_CT,83.63,,,,,,,
ET,66.24,4.4,4.3,144.4,18.3,0.3,0.7135,0.0769
FI,81.834146,20.4,5.6,7.2,10.2,4.4,14.7374,3.8118
FJ,67.341,22.6,14.7,99,30.6,,3.3752,0.86
FM,67.755,,11.9,151.8,26.1,,2.0426,
FO,82.54878,,4.7,,,,,
FR,82.526829,32.7,4.8,9.7,10.6,,11.4707,3.2672
FR_MF,79.870732,,,,,,,
GA,66.187,,6,76,14.4,,2.946,0.6819
GB,81.356098,22.3,3.9,13.8,10.9,,8.1723,2.8117
GD,72.384,,10.7,45.3,21.4,,6.2837,1.4067
GE,73.6,28.8,5.8,101.8,24.9,,4.7293,7.1201
GH,63.78,3.9,2.5,203.8,20.8,,4.2001,0.1359
GL,70.84878,,2.1,,,,,
GM,61.735,15.5,1.9,237,20.4,,1.5447,0.1021
GN,61.185,,2.4,243.3,22.4,,0.1238,0.0832
GQ,58.402,,6,177.7,22,,0.5024,0.4017
GR,81.287805,43.4,4.7,27.6,12.4,4.3,3.6331,5.4789
GT,74.063,,10,73.8,14.9,,0.0737,0.3549
GU,79.859,,18.7,,,,,
GW,58.003,,2.4,214.7,20,,0.6851,0.1274
GY,69.774,,11.6,107.8,30.5,,1.0398,0.8023
HK,84.934146,,4.5,,,,,
HN,75.088,2,7.3,60.7,14,,0.7357,0.3089
HR,78.070732,37,5.4,35.5,16.7,5.6,8.1224,2.9996
