Region,Borough_Census_Area,Community,All_Cases,Community_Cases,Secondary_Cases,Travel_Cases,UI_Cases,Hospitalizations,Deaths,Recovered,Active,ObjectId,Residency,All_Cases__New_
Anchorage,Anchorage Municipality,Anchorage,686,159,198,80,248,43,8,269,409,1,Alaska Resident,18
Anchorage,Anchorage Municipality,Chugiak,16,4,3,2,7,3,0,8,8,2,Alaska Resident,0
Anchorage,Anchorage Municipality,Eagle River,48,6,16,8,18,2,0,19,29,3,Alaska Resident,0
Anchorage,Anchorage Municipality,Girdwood,8,3,2,2,1,0,0,6,2,4,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Anchor Point,9,3,5,1,0,2,2,5,2,5,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Fritz Creek,3,1,2,0,0,0,0,2,1,6,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Homer,45,10,21,2,12,4,0,24,21,7,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Kenai,34,4,6,4,20,1,0,14,20,8,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Nikiski,5,2,3,0,0,1,0,4,1,9,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Other North,3,0,1,0,2,0,0,1,2,10,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Other South,28,4,22,0,2,0,0,18,10,11,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Seward,38,0,10,2,26,0,0,11,27,12,Alaska Resident,0
Gulf Coast,Kenai Peninsula Borough,Soldotna,38,8,7,1,22,0,0,13,25,13,Alaska Resident,5
Gulf Coast,Kenai Peninsula Borough,Sterling,6,1,1,1,3,0,0,3,3,14,Alaska Resident,1
Gulf Coast,Kodiak Island Borough,Kodiak,6,2,0,0,4,0,0,1,5,15,Alaska Resident,0
Gulf Coast,Valdez-Cordova Census Area,Cordova,6,0,0,1,5,0,0,0,6,16,Alaska Resident,0
Gulf Coast,Valdez-Cordova Census Area,Other,4,0,0,0,4,0,0,0,4,17,Alaska Resident,2
Gulf Coast,Valdez-Cordova Census Area,Valdez,2,1,0,0,1,0,0,1,1,18,Alaska Resident,0
Interior,Fairbanks North Star Borough,Fairbanks,208,26,70,9,103,12,1,76,131,19,Alaska Resident,5
Interior,Fairbanks North Star Borough,North Pole,51,6,18,7,20,3,1,19,31,20,Alaska Resident,0
Interior,Fairbanks North Star Borough,Other,1,0,0,1,0,0,0,1,0,21,Alaska Resident,0
Interior,Southeast Fairbanks Census Area,Delta Junction,3,0,1,1,1,0,0,2,1,22,Alaska Resident,0
Interior,Southeast Fairbanks Census Area,Tok,7,0,1,1,5,1,0,2,5,23,Alaska Resident,0
Interior,Yukon-Koyukuk Census Area,Other,14,4,3,0,7,1,0,1,13,24,Alaska Resident,1
Matanuska-Susitna,Matanuska-Susitna Borough,Big Lake,6,2,2,0,1,0,0,2,4,25,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Houston,2,0,1,0,1,0,0,1,1,26,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Other,4,0,0,1,3,0,0,1,3,27,Alaska Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Palmer,52,14,7,3,28,2,0,16,36,28,Alaska Resident,1
Matanuska-Susitna,Matanuska-Susitna Borough,Wasilla,84,17,19,3,45,3,2,28,54,29,Alaska Resident,6
Matanuska-Susitna,Matanuska-Susitna Borough,Willow,10,3,1,0,6,1,0,2,8,30,Alaska Resident,0
Northern,Nome Census Area,Nome,10,3,0,2,5,0,0,5,5,31,Alaska Resident,0
Northern,Nome Census Area,Other,5,1,0,0,4,0,0,0,5,32,Alaska Resident,0
Northern,North Slope Borough,Other,4,2,0,0,2,1,0,1,3,33,Alaska Resident,0
Northern,North Slope Borough,Utqiagvik,1,0,0,0,1,0,0,0,1,34,Alaska Resident,0
Northern,Northwest Arctic Borough,Kotzebue,1,1,0,0,0,0,0,1,0,35,Alaska Resident,0
Northern,Northwest Arctic Borough,Other,6,3,1,1,1,0,0,3,3,36,Alaska Resident,0
Southeast,Haines Borough,Haines,2,2,0,0,0,0,0,1,1,37,Alaska Resident,0
Southeast,Juneau City and Borough,Douglas,2,2,0,0,0,0,0,2,0,38,Alaska Resident,0
Southeast,Juneau City and Borough,Juneau,50,8,26,6,10,8,2,37,11,39,Alaska Resident,1
Southeast,Ketchikan Gateway Borough,Ketchikan,22,0,14,6,2,2,0,17,5,40,Alaska Resident,0
Southeast,Ketchikan Gateway Borough,Other,1,0,0,0,1,0,0,1,0,41,Alaska Resident,0
Southeast,Petersburg Borough,Petersburg,6,2,0,2,2,1,1,3,2,42,Alaska Resident,0
Southeast,Prince of Wales-Hyder Census Area,Craig,2,1,0,1,0,0,0,2,0,43,Alaska Resident,0
Southeast,Sitka City and Borough,Sitka,13,6,4,2,1,0,0,11,2,44,Alaska Resident,0
Southeast,Wrangell City and Borough,Wrangell,3,1,1,1,0,0,0,1,2,45,Alaska Resident,0
Southwest,Aleutians West Census Area,Unalaska,1,0,0,0,1,0,0,0,1,46,Alaska Resident,0
Southwest,Bethel Census Area,Bethel,8,4,1,1,2,0,0,2,6,47,Alaska Resident,0
Southwest,Bethel Census Area,Other,8,3,1,0,4,0,0,3,5,48,Alaska Resident,0
Southwest,Bristol Bay plus Lake and Peninsula,Other,5,2,1,0,2,1,0,2,3,49,Alaska Resident,0
Southwest,Kusilvak Census Area,Other,2,0,0,0,2,0,0,0,2,50,Alaska Resident,0
Anchorage,Anchorage Municipality,Anchorage,81,1,3,46,29,0,0,26,55,51,Non-Resident,7
Anchorage,Anchorage Municipality,Eagle River,1,0,0,0,1,0,0,0,1,52,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Homer,2,1,0,1,0,0,0,2,0,53,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Kenai,5,0,2,2,1,0,0,4,1,54,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Nikiski,2,0,2,0,0,0,0,2,0,55,Non-Resident,0
Gulf Coast,Kenai Peninsula Borough,Other North,1,0,0,0,1,0,0,0,1,56,Non-Resident,1
Gulf Coast,Kenai Peninsula Borough,Seward,14,3,0,1,10,0,0,2,12,57,Non-Resident,0
Gulf Coast,Kodiak Island Borough,Kodiak,6,1,0,3,2,0,0,0,6,58,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Cordova,5,0,0,3,2,0,0,1,4,59,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Other,12,0,0,2,10,0,0,1,11,60,Non-Resident,0
Gulf Coast,Valdez-Cordova Census Area,Valdez,15,1,2,0,12,0,0,1,14,61,Non-Resident,0
Interior,Denali Borough,Healy,1,0,0,0,1,0,0,0,1,62,Non-Resident,0
Interior,Fairbanks North Star Borough,Fairbanks,22,0,7,4,11,0,0,5,17,63,Non-Resident,0
Interior,Southeast Fairbanks Census Area,Delta Junction,12,0,7,0,5,0,0,5,7,64,Non-Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Other,1,0,0,0,1,0,0,0,1,65,Non-Resident,0
Matanuska-Susitna,Matanuska-Susitna Borough,Wasilla,2,0,0,1,1,0,0,1,1,66,Non-Resident,0
Northern,Nome Census Area,Nome,3,1,0,1,1,0,0,1,2,67,Non-Resident,0
Northern,North Slope Borough,Prudhoe Bay,1,0,0,0,1,0,0,0,1,68,Non-Resident,0
Southeast,Haines Borough,Haines,1,0,0,1,0,0,0,0,1,69,Non-Resident,0
Southeast,Haines Borough,Other,3,0,0,0,3,0,0,0,3,70,Non-Resident,0
Southeast,Juneau City and Borough,Juneau,6,2,0,2,2,0,0,3,3,71,Non-Resident,0
Southeast,Ketchikan Gateway Borough,Ketchikan,9,1,0,7,1,0,0,7,2,72,Non-Resident,0
Southeast,Petersburg Borough,Petersburg,4,1,0,1,2,0,0,1,3,73,Non-Resident,1
Southeast,Prince of Wales-Hyder Census Area,Craig,1,1,0,0,0,0,0,1,0,74,Non-Resident,0
Southeast,Sitka City and Borough,Sitka,5,0,1,2,2,0,0,3,2,75,Non-Resident,0
Southeast,Wrangell City and Borough,Wrangell,5,0,0,4,1,0,0,4,1,76,Non-Resident,0
Southeast,Yakutat plus Hoonah-Angoon,Other,1,0,0,1,0,0,0,1,0,77,Non-Resident,0
Southwest,Aleutians East Borough,Other,2,0,0,1,1,0,0,1,1,78,Non-Resident,0
Southwest,Aleutians West Census Area,Unalaska,5,0,0,3,2,0,0,3,2,79,Non-Resident,0
Southwest,Bethel Census Area,Bethel,2,0,0,2,0,0,0,2,0,80,Non-Resident,0
Southwest,Bristol Bay plus Lake and Peninsula,Other,56,4,4,16,32,0,0,8,48,81,Non-Resident,2
Southwest,Dillingham Census Area,Dillingham,21,0,1,1,19,0,0,2,19,82,Non-Resident,0
Unknown,Unknown,Unknown,13,0,0,1,12,0,0,0,13,83,Non-Resident,3
