date,total_tested,new_tested,total_confirmed,new_confirmed,current_hospitalized,current_intensive_care,new_recovered,total_deceased,new_deceased,country_code,total_recovered,key
2020-03-12,3863,1045,131,49,17,2,0,0,0,SI,0,SI
2020-03-13,5060,1197,179,48,21,4,0,0,0,SI,0,SI
2020-03-14,5976,916,215,36,28,3,0,1,1,SI,0,SI
2020-03-15,6566,590,250,35,31,3,0,1,0,SI,0,SI
2020-03-16,7437,871,277,27,32,3,0,1,0,SI,0,SI
2020-03-17,8558,1121,287,10,34,5,3,1,0,SI,3,SI
2020-03-18,9584,1026,319,32,43,6,3,1,0,SI,6,SI
2020-03-19,10768,1184,342,23,45,6,12,1,0,SI,18,SI
2020-03-20,12010,1242,368,26,55,9,8,1,0,SI,26,SI
2020-03-21,12882,872,406,38,56,9,2,1,0,SI,28,SI
2020-03-22,13613,731,440,34,55,10,4,1,0,SI,32,SI
2020-03-23,14870,1257,476,36,64,10,3,3,2,SI,35,SI
2020-03-24,16113,1243,526,50,72,14,2,4,1,SI,37,SI
2020-03-25,17294,1181,562,36,98,17,5,5,1,SI,42,SI
2020-03-26,18369,1075,632,70,90,22,6,7,2,SI,48,SI
2020-03-27,19756,1387,684,52,90,25,6,9,2,SI,54,SI
2020-03-28,20753,997,730,46,101,23,0,11,2,SI,54,SI
2020-03-29,21349,569,756,26,115,28,3,11,0,SI,57,SI
2020-03-30,22474,1125,802,46,119,28,7,13,2,SI,64,SI
2020-03-31,23762,1288,841,39,119,31,8,15,2,SI,72,SI
2020-04-01,24857,1095,897,56,112,29,4,16,1,SI,76,SI
2020-04-02,25921,1064,934,37,112,30,5,20,4,SI,81,SI
2020-04-03,27109,1188,977,43,109,31,10,10,2,SI,91,SI
2020-04-04,27764,655,997,20,108,31,5,28,6,SI,96,SI
2020-04-05,28253,1021,1021,24,114,30,4,30,2,SI,100,SI
2020-04-06,29455,1055,1055,35,111,31,13,36,6,SI,113,SI
2020-04-07,30669,1214,1091,36,111,35,5,40,4,SI,118,SI
2020-04-08,31813,1144,1124,33,108,34,8,43,3,SI,126,SI
2020-04-09,33047,1234,1160,36,106,36,9,45,2,SI,135,SI
2020-04-10,34279,1232,1188,28,94,37,11,50,5,SI,146,SI
2020-04-11,34851,572,1205,17,95,35,2,53,3,SI,148,SI
2020-04-12,35405,554,1212,7,95,34,2,55,2,SI,150,SI
2020-04-13,35946,541,1220,8,103,35,0,56,1,SI,150,SI
2020-04-14,37114,1168,1247,28,96,34,13,61,5,SI,163,SI
2020-04-15,38137,1023,1268,21,99,31,9,61,0,SI,172,SI
2020-04-16,39330,1193,1304,36,95,28,8,66,5,SI,180,SI
