area,rural_area,urban_area,key
652860,,,AF
28750,26686.711,1689.4038,AL
2381740,2285675.8,30195.797,DZ
200,87.642265,116.16687,AS
470,,,AD
1246700,1248198.6,1427.0295,AO
440,167.86006,266.27756,AG
2780400,2690269.5,55032.203,AR
29740,,,AM
180,9.0083218,172.84775,AW
7741220,7641564.5,36745.703,AU
83879.004,,,AT
86600,,,AZ
13880,12245.517,425.89636,BS
778.00003,115.14436,549.27795,BH
147630,123889.62,11125.392,BD
430,14.807392,420.37543,BB
207600,198055.78,7783.0317,BY
30530,18091.891,12349.229,BE
22970,21296.045,508.05646,BZ
114760,113916.96,1447.1849,BJ
4290,22.784029,38.615192,BM
38393.999,,,BT
1098580,,,BO
51210,49338.418,1723.1467,BA
581730,,,BW
8515770,8241430,134981.38,BR
150,106.78659,51.470776,VG
5770,4743.6221,1017.0686,BN
111000,103838.01,6678.9404,BG
274220,,,BF
27830,,,BI
4030,3913.5691,180.38188,CV
181040,176298.19,1152.0629,KH
475440,459153.19,3680.4058,CM
9984670,9084045,126511.16,CA
260,64.616211,160.9671,KY
622980,,,CF
1284000,,,TD
756700,709418.75,12027.517,CL
9562910,8868577,380679.3,CN
1141749,1090598.1,36132.137,CO
1861.0001,1478.7883,196.4072,KM
2344860,2278811.8,9061.7227,CD
342000,338427.12,1087.1619,CG
51100,46479.984,4051.563,CR
322460,314812.34,3466.1616,CI
56590,51019.57,5302.7959,HR
109880,100440.8,9572.4473,CU
444,,,CW
9250,6949.834,2280.4004,CY
78870,,,CZ
42920,33044.117,9295.1748,DK
23200,21411.553,149.82884,DJ
750,503.70938,251.30295,DM
48670,42784.18,5089.376,DO
256370,244458.23,10905.651,EC
1001450,951268.88,24270.232,EG
21040,16349.951,3598.2693,SV
28050,26800.918,97.470894,GQ
117600,122239.83,366.61493,ER
45340,40498.621,2614.6814,EE
17360,16551.387,802.27112,SZ
1104300,1117893.4,5166.7158,ET
1396.0001,1379.9314,335.47583,FO
18270,17199.444,1746.5867,FJ
338450,289666.28,20052.174,FI
549086.99,457993.59,86463.062,FR
4000,3787.2253,238.14998,PF
267670,261381.75,836.48291,GA
11300,10461.873,446.18292,GM
69700,64912.715,3602.7629,GE
357580,291859.22,62374.199,DE
238540,224697.48,6239.4395,GH
10,2.2646439,4.4735956,GI
131960,112653.58,18519.164,GR
410450,242639.59,33.348392,GL
340,153.50992,169.51561,GD
540,33.102375,515.9566,GU
108890,103568.34,4132.3511,GT
245860,243431.19,1473.5957,GN
36130,33629.699,306.34177,GW
214970,207343.42,626.75696,GY
27750,26163.416,764.34509,HT
112490,108150.58,3702.3594,HN
1110,231.17134,901.54285,HK
93030,,,HU
103000,88593.219,1023.837,IS
3287259.1,2980489.2,222688.23,IN
1913580,1838682.6,42076.828,ID
1745150,1545056.1,69242.766,IR
435051.99,415377.66,12429.915,IQ
70280,63249.215,5638.356,IE
570,333.47104,241.86453,IM
22070,15621.783,6399.0195,IL
301340,223236.44,73540.883,IT
10990,8015.4243,3000.6316,JM
377970,260649.59,108678.24,JP
89320,86229.242,3383.9739,JO
2724901.9,,,KZ
580370,576333.75,4187.6147,KE
810,985.04453,3.6432309,KI
120540,119243.45,2343.6138,KP
100339,77155.289,21922.016,KR
17820,13422.942,3942.2988,KW
199950,,,KG
236800,227855.53,1018.7541,LA
64490,60137.242,3278.5168,LV
10450,8081.9976,2317.4238,LB
30360,,,LS
111370,95634.383,434.2753,LR
1759540,1606874.8,10082.893,LY
160,,,LI
65286.001,59360.137,4610.8564,LT
2590,1782.7655,801.08337,LU
30.4,11.181121,17.724371,MO
587295,587832.94,2272.4148,MG
118480,92909.461,1815.1034,MW
330345,312833.03,15564.952,MY
300,291.7807,0,MV
1240190,1243208.2,2910.4275,ML
320,30.626509,293.34091,MT
180,284.82959,0,MH
1030700,1041101.9,771.60144,MR
2040,727.65149,1276.0159,MU
1964375,1831423.5,102418.11,MX
700,517.30945,243.11206,FM
33850,31217.152,2607.5222,MD
2,0.48329323,1.9205781,MC
1564120,,,MN
13810,,,ME
446550,659759.44,12057.441,MA
786380,769595.12,2739.145,MZ
676590,657996.31,6960.0234,MM
824290,822303.12,2467.7791,NA
20,10.049192,11.987003,NR
147180,,,NP
41540,21411.863,12802.993,NL
18580,18564.041,208.43346,NC
267710,253834.7,8116.2998,NZ
130370,115694.29,2882.3787,NI
1267000,,,NE
923770,880103.31,17196.234,NG
25710,21962.623,2667.3511,MK
460,379.38889,108.51256,MP
625217.11,292187.81,20282.205,NO
309500,307667.53,5651.354,OM
796100,751709.5,35871.941,PK
460,448.2706,30.74202,PW
75420,71714.312,2892.144,PA
462840,459445.5,2003.6106,PG
406751.99,,,PY
1285220,1256339.9,16425.768,PE
300000,282759.12,10817.373,PH
312680,277840.5,30501.342,PL
92225.596,78286.852,12764.677,PT
8870,459.91953,8511.4014,PR
11610,9779.2471,1495.1493,QA
238400,219047.94,15594.789,RO
17098250,16305829,187538.14,RU
26340,,,RW
2840,2748.2759,108.13276,WS
60,3.7358727,57.78162,SM
960,933.31519,68.236832,ST
2149690,1912311.9,41223.738,SA
196710,193255.55,1796.1926,SN
88360,,,RS
460,187.96561,122.51048,SC
72300,71494.836,710.48328,SL
719.00002,103.59809,565.55975,SG
34,,,SX
49030,,,SK
20675,17680.895,2509.1562,SI
28900,28264.578,72.109329,SB
637660,634302.56,398.71606,SO
1219090,53460.312,53460.312,ZA
,,,SS
505935,432138.34,69794.586,ES
65610,61106.809,4016.1465,LK
260,36.291698,230.66464,KN
620,263.57938,351.21039,LC
54.4,,,FR_MF
390,322.58542,111.68115,VC
,2489483.5,6517.5137,SD
163820,139976.17,692.70349,SR
447430,390507.28,31152.32,SE
41290.4,30190.084,7898.1489,CH
185180,173463.23,11955.197,SY
141380,,,TJ
947300,886549.56,3405.8054,TZ
513120,474183.44,36597.016,TH
14870,14569.639,359.41907,TL
56790,55426.641,1663.0736,TG
750,552.35004,181.82703,TO
5130,2879.2856,2286.748,TT
163610,144635.91,9897.8818,TN
785350,723511.5,44090.156,TR
488100,,,TM
950,965.75787,17.492144,TC
30,38.763599,0,TV
241550,,,UG
603550,553950.88,32160.158,UA
83600,70575.109,8568.1582,AE
243610,183648.92,58698.75,GB
9831510,8549545.5,802053.59,US
176220,168731.92,4689.6797,UY
447400,,,UZ
12190,12210.135,97.805458,VU
912050,868222.75,34403.926,VE
331230,318130.09,7589.0415,VN
350,63.462013,302.01321,VI
6020,3505.0601,2496.4583,PS
527970,411287.59,4703.3999,YE
752610,,,ZM
390760,,,ZW
