date,match_string,total_confirmed,new_confirmed,country_code,key
2020-04-16,Amazonas,0,,VE,VE_Z
2020-04-17,Amazonas,0,0,VE,VE_Z
2020-04-18,Amazonas,0,0,VE,VE_Z
2020-04-19,Amazonas,0,0,VE,VE_Z
2020-04-20,Amazonas,0,0,VE,VE_Z
2020-04-21,Amazonas,0,0,VE,VE_Z
2020-04-22,Amazonas,0,0,VE,VE_Z
2020-04-23,Amazonas,0,0,VE,VE_Z
2020-04-24,Amazonas,0,0,VE,VE_Z
2020-04-25,Amazonas,0,0,VE,VE_Z
2020-04-26,Amazonas,0,0,VE,VE_Z
2020-04-27,Amazonas,0,0,VE,VE_Z
2020-04-28,Amazonas,0,0,VE,VE_Z
2020-04-29,Amazonas,0,0,VE,VE_Z
2020-04-30,Amazonas,0,0,VE,VE_Z
2020-05-01,Amazonas,0,0,VE,VE_Z
2020-05-02,Amazonas,0,0,VE,VE_Z
2020-05-03,Amazonas,0,0,VE,VE_Z
2020-05-04,Amazonas,0,0,VE,VE_Z
2020-05-05,Amazonas,0,0,VE,VE_Z
2020-05-06,Amazonas,0,0,VE,VE_Z
2020-05-07,Amazonas,0,0,VE,VE_Z
2020-05-08,Amazonas,0,0,VE,VE_Z
2020-05-09,Amazonas,0,0,VE,VE_Z
2020-05-09,Amazonas,0,0,VE,VE_Z
2020-05-10,Amazonas,0,0,VE,VE_Z
2020-05-11,Amazonas,4,4,VE,VE_Z
2020-05-12,Amazonas,4,0,VE,VE_Z
2020-05-13,Amazonas,4,0,VE,VE_Z
2020-05-14,Amazonas,4,0,VE,VE_Z
2020-05-15,Amazonas,7,3,VE,VE_Z
2020-05-16,Amazonas,7,0,VE,VE_Z
2020-05-17,Amazonas,8,1,VE,VE_Z
2020-05-18,Amazonas,8,0,VE,VE_Z
2020-05-19,Amazonas,9,1,VE,VE_Z
2020-05-20,Amazonas,9,0,VE,VE_Z
2020-05-21,Amazonas,13,4,VE,VE_Z
2020-05-22,Amazonas,13,0,VE,VE_Z
2020-05-23,Amazonas,14,1,VE,VE_Z
2020-05-24,Amazonas,14,0,VE,VE_Z
2020-05-25,Amazonas,14,0,VE,VE_Z
2020-05-26,Amazonas,14,0,VE,VE_Z
2020-05-27,Amazonas,14,0,VE,VE_Z
2020-05-28,Amazonas,14,0,VE,VE_Z
2020-05-29,Amazonas,14,0,VE,VE_Z
2020-05-30,Amazonas,14,0,VE,VE_Z
2020-05-31,Amazonas,14,0,VE,VE_Z
2020-06-01,Amazonas,14,0,VE,VE_Z
2020-06-02,Amazonas,14,0,VE,VE_Z
2020-06-03,Amazonas,14,0,VE,VE_Z
2020-06-04,Amazonas,14,0,VE,VE_Z
2020-06-05,Amazonas,14,0,VE,VE_Z
2020-06-06,Amazonas,14,0,VE,VE_Z
2020-06-07,Amazonas,14,0,VE,VE_Z
2020-06-08,Amazonas,14,0,VE,VE_Z
2020-06-09,Amazonas,14,0,VE,VE_Z
2020-06-10,Amazonas,14,0,VE,VE_Z
2020-06-11,Amazonas,14,0,VE,VE_Z
2020-06-12,Amazonas,14,0,VE,VE_Z
2020-06-13,Amazonas,14,0,VE,VE_Z
2020-06-14,Amazonas,15,1,VE,VE_Z
2020-06-15,Amazonas,15,0,VE,VE_Z
2020-06-16,Amazonas,15,0,VE,VE_Z
2020-06-17,Amazonas,15,0,VE,VE_Z
2020-06-18,Amazonas,15,0,VE,VE_Z
2020-06-19,Amazonas,16,1,VE,VE_Z
2020-06-20,Amazonas,16,0,VE,VE_Z
2020-06-21,Amazonas,16,0,VE,VE_Z
2020-04-16,Anzoátegui,2,,VE,VE_B
2020-04-17,Anzoátegui,2,0,VE,VE_B
