date,subregion1_code,total_confirmed,total_deceased,total_hospitalized,total_intensive_care,new_confirmed,new_deceased,new_hospitalized,new_intensive_care,country_code,key
2020-02-20,AN,0,,,,,,,,ES,ES_AN
2020-02-21,AN,0,,,,0,,,,ES,ES_AN
2020-02-22,AN,0,,,,0,,,,ES,ES_AN
2020-02-23,AN,0,,,,0,,,,ES,ES_AN
2020-02-24,AN,0,,,,0,,,,ES,ES_AN
2020-02-25,AN,0,,,,0,,,,ES,ES_AN
2020-02-26,AN,1,,,,1,,,,ES,ES_AN
2020-02-27,AN,6,,,,5,,,,ES,ES_AN
2020-02-28,AN,8,,,,2,,,,ES,ES_AN
2020-02-29,AN,12,,,,4,,,,ES,ES_AN
2020-03-01,AN,12,,,,0,,,,ES,ES_AN
2020-03-02,AN,12,,,,0,,,,ES,ES_AN
2020-03-03,AN,12,,,,0,,,,ES,ES_AN
2020-03-04,AN,12,,,,0,,,,ES,ES_AN
2020-03-05,AN,21,,,,9,,,,ES,ES_AN
2020-03-06,AN,27,,,,6,,,,ES,ES_AN
2020-03-07,AN,34,,,,7,,,,ES,ES_AN
2020-03-08,AN,54,0,,1,20,,,,ES,ES_AN
2020-03-09,AN,71,0,,1,17,0,,0,ES,ES_AN
2020-03-10,AN,90,0,32,3,19,0,,2,ES,ES_AN
2020-03-11,AN,115,0,50,4,25,0,18,1,ES,ES_AN
2020-03-12,AN,219,0,92,8,104,0,42,4,ES,ES_AN
2020-03-13,AN,269,2,92,8,50,2,0,0,ES,ES_AN
2020-03-14,AN,437,6,92,8,168,4,0,0,ES,ES_AN
2020-03-15,AN,554,7,197,11,117,1,105,3,ES,ES_AN
2020-03-16,AN,683,11,229,13,129,4,32,2,ES,ES_AN
2020-03-17,AN,859,19,319,21,176,8,90,8,ES,ES_AN
2020-03-18,AN,1008,23,384,25,149,4,65,4,ES,ES_AN
2020-03-19,AN,1287,30,501,38,279,7,117,13,ES,ES_AN
2020-03-20,AN,1515,40,605,53,228,10,104,15,ES,ES_AN
2020-03-21,AN,1725,47,724,55,210,7,119,2,ES,ES_AN
2020-03-22,AN,1961,58,865,77,236,11,141,22,ES,ES_AN
2020-03-23,AN,2470,87,1132,102,509,29,267,25,ES,ES_AN
2020-03-24,AN,3008,113,1433,116,538,26,301,14,ES,ES_AN
2020-03-25,AN,3404,134,1626,134,396,21,193,18,ES,ES_AN
2020-03-26,AN,3790,144,1843,148,386,10,217,14,ES,ES_AN
2020-03-27,AN,4271,175,2106,172,481,31,263,24,ES,ES_AN
2020-03-28,AN,4676,207,2294,201,405,32,188,29,ES,ES_AN
2020-03-29,AN,5398,236,2671,216,722,29,377,15,ES,ES_AN
2020-03-30,AN,5809,248,2867,235,411,12,196,19,ES,ES_AN
2020-03-31,AN,6379,308,3147,260,570,60,280,25,ES,ES_AN
2020-04-01,AN,6957,343,3444,280,578,35,297,20,ES,ES_AN
2020-04-02,AN,7353,376,3673,338,396,33,229,58,ES,ES_AN
2020-04-03,AN,7847,426,3896,364,494,50,223,26,ES,ES_AN
2020-04-04,AN,8279,470,4107,474,432,44,211,110,ES,ES_AN
2020-04-05,AN,8559,491,4227,489,280,21,120,15,ES,ES_AN
2020-04-06,AN,8743,528,4335,499,184,37,108,10,ES,ES_AN
2020-04-07,AN,8973,605,4463,520,230,77,128,21,ES,ES_AN
2020-04-08,AN,9234,652,4599,538,261,47,136,18,ES,ES_AN
2020-04-09,AN,9482,691,4715,582,248,39,116,44,ES,ES_AN
2020-04-10,AN,9682,737,4808,602,200,46,93,20,ES,ES_AN
2020-04-11,AN,9976,799,4950,619,294,62,142,17,ES,ES_AN
2020-04-12,AN,10062,815,4993,621,86,16,43,2,ES,ES_AN
2020-04-13,AN,10169,836,5054,631,107,21,61,10,ES,ES_AN
2020-04-14,AN,10392,865,5147,665,223,29,93,34,ES,ES_AN
2020-04-15,AN,10557,912,5226,671,165,47,79,6,ES,ES_AN
2020-04-16,AN,10635,940,5298,675,78,28,72,4,ES,ES_AN
2020-04-17,AN,10734,967,5341,677,99,27,43,2,ES,ES_AN
2020-04-18,AN,10898,993,5424,687,164,26,83,10,ES,ES_AN
2020-04-19,AN,10991,1013,5473,690,93,20,49,3,ES,ES_AN
2020-04-20,AN,11095,1017,5509,692,104,4,36,2,ES,ES_AN
2020-04-21,AN,11225,1050,5565,696,130,33,56,4,ES,ES_AN
2020-04-22,AN,11358,1079,5616,702,133,29,51,6,ES,ES_AN
2020-04-23,AN,11486,1107,5675,714,128,28,59,12,ES,ES_AN
2020-04-24,AN,11645,1131,5715,716,159,24,40,2,ES,ES_AN
2020-04-25,AN,11712,1145,5747,716,67,14,32,0,ES,ES_AN
2020-04-26,AN,11787,1157,5767,720,75,12,20,4,ES,ES_AN
2020-04-27,AN,11836,1168,5792,721,49,11,25,1,ES,ES_AN
2020-04-28,AN,11917,1188,5831,721,81,20,39,0,ES,ES_AN
2020-04-29,AN,11949,1207,5873,721,32,19,42,0,ES,ES_AN
2020-04-30,AN,12061,1238,5935,729,112,31,62,8,ES,ES_AN
2020-05-01,AN,12105,1253,5961,735,44,15,26,6,ES,ES_AN
2020-05-02,AN,12139,1256,5961,736,34,3,0,1,ES,ES_AN
2020-05-03,AN,12156,1263,5973,738,17,7,12,2,ES,ES_AN
2020-05-04,AN,12167,1267,5983,738,11,4,10,0,ES,ES_AN
2020-05-05,AN,12190,1281,6012,740,23,14,29,2,ES,ES_AN
2020-05-06,AN,12222,1294,6027,742,32,13,15,2,ES,ES_AN
2020-05-07,AN,12239,1301,6038,742,17,7,11,0,ES,ES_AN
2020-05-08,AN,12250,1317,6069,745,11,16,31,3,ES,ES_AN
2020-05-09,AN,12267,1320,6080,745,17,3,11,0,ES,ES_AN
2020-05-10,AN,12285,1322,6092,745,18,2,12,0,ES,ES_AN
2020-05-11,AN,12293,1326,6101,745,8,4,9,0,ES,ES_AN
2020-05-12,AN,12317,1332,6114,750,24,6,13,5,ES,ES_AN
2020-05-13,AN,12359,1336,6128,751,42,4,14,1,ES,ES_AN
2020-05-14,AN,12401,1344,6146,754,42,8,18,3,ES,ES_AN
2020-05-15,AN,12420,1355,6161,758,19,11,15,4,ES,ES_AN
2020-05-16,AN,12450,1358,6174,760,30,3,13,2,ES,ES_AN
2020-05-17,AN,12458,1358,6178,760,8,0,4,0,ES,ES_AN
2020-05-18,AN,12489,1367,6182,760,31,9,4,0,ES,ES_AN
2020-05-19,AN,12502,1371,6196,764,13,4,14,4,ES,ES_AN
2020-05-20,AN,12547,1375,6210,766,45,4,14,2,ES,ES_AN
2020-02-20,AR,0,,,,,,,,ES,ES_AR
2020-02-21,AR,0,,,,0,,,,ES,ES_AR
2020-02-22,AR,0,,,,0,,,,ES,ES_AR
2020-02-23,AR,0,,,,0,,,,ES,ES_AR
2020-02-24,AR,0,,,,0,,,,ES,ES_AR
2020-02-25,AR,0,,,,0,,,,ES,ES_AR
2020-02-26,AR,0,,,,0,,,,ES,ES_AR
2020-02-27,AR,0,,,,0,,,,ES,ES_AR
