population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,key
38041754,19529725,18512029,28244481,9797273,4114030,4114030,56.93776,AF
2854191,1453180,1401011,1106598,1747593,484624,,104.61226,AL
43053054,21749666,21303388,11542954,31510100,2729325,2729325,17.730075,DZ
55312,,,7109,48203,,,277.325,AS
77142,,,9269,67873,,,163.84255,AD
31825295,15744777,16080518,10764270,21061025,8044735,8044735,24.713052,AO
97118,46852,50266,73318,23800,,,218.83182,AG
44938712,21918496,23020216,3599141,41339571,15057273,19280518,16.25851,AR
2957731,1391270,1566461,1087883,1869848,1083323,1083323,103.68022,AM
106314,50445,55869,60019,46295,,,588.02778,AW
25364307,12631543,12732764,3519551,21844756,4870388,15446689,3.2478709,AU
8877067,4370954,4506113,3682651,5194416,1915338,1915338,107.12797,AT
10023318,5003653,5019665,4407153,5616165,2313138,2313138,120.23432,AZ
389482,189228,200254,65698,323784,,,38.525475,BS
1641172,1054802,586370,174063,1467109,600433,,2017.2737,BH
163046161,82473785,80572376,102058744,60987417,20283552,25198185,1239.5793,BD
287025,138815,148210,197594,89431,,,666.60698,BB
9466856,4406638,5060218,1983874,7482982,2016677,2016677,46.719504,BY
11484055,5684122,5799933,224973,11259082,2065284,3102595,377.37959,BE
390353,194282,196071,211314,179039,,,16.793994,BZ
11801151,5891256,5909895,6153002,5648149,991000,,101.85392,BJ
63918,,,0,63918,,,1183.7037,BM
763092,405031,358061,445554,317538,,,19.777528,BT
11513100,5779610,5733490,3480065,8033035,1835355,4782916,10.480146,BO
3301000,1616800,1684200,1695856,1605144,342743,,64.920488,BA
2303697,1114113,1189584,687147,1616550,,,3.9774249,BW
211049527,103733164,107316363,27807886,183241641,21846507,88861474,25.061716,BR
30030,,,15581,14449,,,198.68,VG
433285,224976,208309,95574,337711,,,81.396964,BN
6975761,3388224,3587537,1719734,5256027,1276937,1276937,64.7111,BG
20321378,10147772,10173606,14229029,6092349,2652720,2652720,72.191283,BF
11530580,5718989,5811591,9989403,1541177,954424,,435.17827,BI
549935,276035,273900,185906,364029,,,134.92978,CV
16486542,8047364,8439178,12561921,3924621,2014015,2014015,92.056413,KH
25876380,12939924,12936456,11135124,14741256,3822425,7358544,53.343989,CM
37589262,18651974,18937288,6960780,30628482,6139404,17211244,4.0751882,CA
64948,,,0,64948,,,267.39167,KY
4745185,2351976,2393209,2763121,1982064,869599,,7.4904122,CF
15946876,7960519,7986357,12234603,3712273,1371524,1371524,12.291734,TD
18952038,9341775,9610263,2341903,16610135,6723516,6723516,25.189446,CL
1397715000,717118675,680596325,554781038,842933962,26317104,398976116,148.34883,CN
50339443,24713193,25626250,9512141,40827302,10779376,22114342,44.748702,CO
850886,429207,421679,602734,248152,,,447.24448,KM
86790567,43319103,43471464,47694888,39095679,13743278,21141723,37.082592,CD
5380508,2687360,2693148,1755498,3625010,2308076,3483589,15.356846,CG
5047561,2522539,2525022,1005676,4041885,1378546,1378546,97.913063,CR
25716544,12974201,12742343,12539644,13176900,5058550,5058550,78.834053,CI
4067500,1959758,2107742,1739182,2328318,685233,,73.049375,HR
11333483,5627928,5705555,2594348,8739135,2138419,2138419,108.9996,CU
157538,72380,85158,17175,140363,,,360.7545,CW
1198575,599298,599277,397867,800708,,,128.70833,CY
10669709,5251029,5418680,2782553,7887156,1298804,1298804,137.65771,CZ
5818553,2892878,2925675,698575,5119978,1333888,1333888,137.97657,DK
973560,511949,461611,215011,758549,568804,,41.368421,DJ
71808,,,20978,50830,,,95.5,DM
10738958,5366198,5372760,1951483,8787475,3245021,3245021,219.97858,DO
17373662,8690490,8683172,6256951,11116711,2946158,4793906,68.788682,EC
100388073,50722597,49665476,57492249,42895824,20484965,25667415,98.873469,EG
6453553,3023354,3430199,1758851,4694702,1105662,1105662,309.88147,SV
1355986,753825,602161,371174,984812,395403,,46.66574,GQ
,,,,,,,,ER
1326590,627071,699519,410566,916024,441321,,30.411249,EE
1148130,562789,585341,872797,275333,,,66.057616,SZ
112078730,56069010,56009720,88290020,23788710,4591983,4591983,109.22456,ET
48678,,,28124,20554,,,34.73997,FO
889953,450958,438995,384905,505048,,,48.357033,FJ
5520314,2721371,2798943,803426,4716888,1292232,1292232,18.148547,FI
67059887,32458740,34601147,12936523,54123364,10958187,15324817,122.29944,FR
279287,141493,137794,106417,172870,,,75.868579,PF
2172579,1106193,1066386,222885,1949694,823870,,8.2247642,GA
2347706,1164369,1183337,893748,1453958,443428,,225.30652,GM
3720382,1773959,1946423,1523906,2196476,1077346,1077346,65.047762,GE
83132799,41059335,42073464,18807964,64324835,3556792,7977060,237.3076,DE
30417856,15416085,15001771,13168802,17249054,3205586,5680794,130.82143,GH
33701,,,0,33701,,,3371.8,GI
10716322,5259724,5456598,2208848,8507474,3154152,3154152,83.265182,GR
56225,,,7280,48945,,,0.13649166,GL
112003,56427,55576,71238,40765,,,327.80588,GD
167294,84436,82858,8601,158693,,,306.97778,GU
16604026,8178496,8425530,8063081,8540945,2891230,2891230,152.54713,GT
12771246,6166075,6605171,8109741,4661505,1889233,1889233,50.522212,GN
1920922,938865,982057,1080000,840922,578829,,66.653947,GW
782766,393266,389500,573854,208912,,,3.9573482,GY
11263077,5557595,5705482,4934129,6328948,2704187,2704187,403.59855,HT
9746117,4868995,4877122,4119684,5626433,1403162,1403162,85.687032,HN
7507400,3451238,4056162,0,7507400,7490776,7490776,7096.1905,HK
9769949,4648823,5121126,2770367,6999582,1763913,1763913,107.98149,HU
361313,181415,179898,22203,339110,,,3.518414,IS
1366417754,710129571,656288183,895386226,471031528,29399141,214179435,454.93807,IN
270625568,136269762,134355806,119115844,151509724,10638689,36532764,147.75219,ID
82913906,41889897,41024009,20404283,62509623,9013663,21550514,50.22242,IR
39309783,19891811,19417972,11526415,27783368,6974439,9877181,88.53057,IQ
4941444,2451664,2489780,1808321,3133123,1214666,1214666,70.653448,IE
84584,,,39979,44605,,,147.50351,IM
9053300,4502889,4550411,678907,8374393,4096963,5237807,410.48059,IL
60297396,29338084,30959312,17645430,42651966,4234019,11351117,205.41837,IT
2948279,1463721,1484558,1297685,1650594,589849,,270.99307,JM
126264931,61659571,64605360,10482515,115782416,37435191,81716514,347.07346,JP
10101694,5113213,4988481,888646,9213048,2108509,2108509,112.1425,JO
18513930,8981563,9532367,7861015,10652915,1862809,2980430,6.7698257,KZ
52573973,26122385,26451588,38112450,14461523,4556381,5810192,90.299417,KE
117606,57821,59785,53117,64489,,,143.02099,KI
25666161,12552763,13113398,9718749,15947412,3060864,3060864,212.19018,KP
51709098,25891693,25817405,9602379,42106719,9962393,25963874,529.3585,KR
4207083,2563059,1644024,0,4207083,3052493,3052493,232.17239,KW
6456900,3194209,3262691,4094256,2362644,1017166,,32.965589,KG
7169455,3599027,3570428,4613903,2555552,673061,,30.595784,LA
1912789,880733,1032056,607846,1304943,633820,,30.993471,LV
6855713,3449248,3406465,770719,6084994,2406875,2406875,669.49413,LB
2125268,1047944,1077324,1517760,607508,,,69.437813,LS
4937374,2481116,2456258,2388948,2548426,1467026,1467026,50.030907,LR
38019,,,32555,5464,,,236.9375,LI
2786844,1289064,1497780,895831,1891013,537563,,44.723076,LT
619896,313215,306681,54408,565488,,,250.18519,LU
640445,307706,332739,0,640445,642090,,20777.5,MO
26969307,13452929,13516378,16758458,10210849,3210386,3210386,45.139856,MG
18628747,9185277,9443470,15429446,3199301,1074695,1074695,192.44076,MW
31949777,16423158,15526619,7474011,24475766,7780301,7780301,95.962821,MY
530953,336067,194886,317308,213645,,,1718.9867,MV
19658031,9844541,9813490,11178343,8479688,2529328,2529328,15.635016,ML
502653,252005,250648,26751,475902,,,1514.4688,MT
58791,,,13277,45514,,,324.51667,MH
4525696,2271842,2253854,2058875,2466821,1258973,1258973,4.2721636,MR
1265711,625016,640695,749731,515980,,,623.30197,MU
127575529,62403393,65172136,24948670,102626859,21671908,52010061,64.914626,MX
113815,57869,55946,87852,25963,,,160.91429,FM
2657637,1273749,1383888,1522135,1135502,504342,,94.01888,MD
38964,,,0,38964,,,19196,MC
3225167,1589932,1635235,1014541,2210626,1552654,1552654,2.0406087,MN
622137,307613,314524,204372,417765,,,46.26223,ME
36471769,18093064,18378705,13496743,22975026,3716093,7941338,80.728519,MA
30366036,14745848,15620188,19273930,11092106,1668740,2773054,37.508535,MZ
54045420,26044665,28000755,37371327,16674093,5243989,6649810,82.238615,MM
2494530,1208865,1285665,1221272,1273258,417380,,2.9737456,NA
12581,,,0,12581,,,635.2,NR
28608710,13046951,15561759,22843197,5765513,1376108,1376108,195.93911,NP
17332850,8632233,8700617,1408121,15924729,1140339,2149006,511.47593,NL
287800,144763,143037,83163,204637,,,15.539387,NC
4917000,2417001,2499999,658140,4258860,1582028,1582028,18.385173,NZ
6545502,3225984,3319518,2699365,3846137,1055472,1055472,53.727048,NI
23310715,11714459,11596256,19460484,3850231,1251511,1251511,17.717651,NE
200963599,101831872,99131727,98156651,102806948,13903620,33486829,215.06499,NG
2083459,1042306,1041153,870719,1212740,589751,,82.591515,MK
57216,,,4744,52472,,,123.65652,MP
5347896,2701173,2646723,929678,4418218,1026758,1026758,14.548292,NO
4974986,3284444,1690542,724209,4250777,1501635,1501635,15.604145,OM
216565318,111447582,105117736,136637556,79927762,15741406,43765501,275.28932,PK
18008,,,3517,14491,,,38.928261,PW
4246439,2126433,2120006,1356355,2890084,1821693,1821693,56.186077,PA
8776109,4480006,4296103,7613275,1162834,374517,,19.004363,PG
7044636,3580886,3463750,2685486,4359150,3279160,3279160,17.508359,PY
32510453,16148237,16362216,7120114,25390339,10554712,10554712,24.991606,PE
108116615,54316068,53800547,57140712,50975903,13698889,15483831,357.68831,PH
37970874,18400811,19570063,15174300,22796574,1775933,1775933,124.02348,PL
10269417,4857125,5412292,3515838,6753579,2942097,4251902,112.26194,PT
3193694,1515479,1678215,205163,2988531,2451375,2451375,360.01736,PR
2832067,2133518,698549,22996,2809071,715997,,239.5932,QA
19356544,9414389,9942155,8887751,10468793,1812290,1812290,84.633801,RO
