key,date,total_deceased,total_deceased_age_00,total_deceased_age_01,total_deceased_age_03,total_deceased_age_04,total_deceased_age_05,total_deceased_age_06,total_deceased_age_07,total_deceased_age_08,total_deceased_age_09,total_deceased_age_10,total_deceased_age_02,total_deceased_age_11,total_deceased_male,total_deceased_female,age_bin_00,age_bin_01,age_bin_02,age_bin_03,age_bin_04,age_bin_05,age_bin_06,age_bin_07,age_bin_08,age_bin_09,age_bin_10,age_bin_11,new_deceased,new_deceased_age_00,new_deceased_age_01,new_deceased_age_03,new_deceased_age_04,new_deceased_age_05,new_deceased_age_06,new_deceased_age_07,new_deceased_age_08,new_deceased_age_09,new_deceased_age_10,new_deceased_age_02,new_deceased_age_11,new_deceased_male,new_deceased_female
ZA,2020-05-26,1048,2,1,4,31,57,130,140,100,49,10,0,0,281,243,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,,,,,,,,,,,,,,,
ZA,2020-05-27,1104,2,1,4,32,58,138,146,106,54,11,0,0,294,258,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,56,0,0,0,1,1,8,6,6,5,1,0,0,13,15
ZA,2020-05-28,1154,2,1,4,33,61,144,153,113,55,11,0,0,308,269,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,50,0,0,0,1,3,6,7,7,1,0,0,0,14,11
ZA,2020-05-29,1222,2,1,4,34,68,152,162,120,57,11,0,0,322,289,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,68,0,0,0,1,7,8,9,7,2,0,0,0,14,20
ZA,2020-05-30,1286,2,2,4,39,70,160,169,124,59,14,0,0,338,305,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,64,0,1,0,5,2,8,7,4,2,3,0,0,16,16
ZA,2020-05-31,1366,2,2,4,40,77,174,176,133,60,15,0,0,363,320,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,80,0,0,0,1,7,14,7,9,1,1,0,0,25,15
ZA,2020-06-02,1510,2,3,4,42,83,197,197,143,66,18,0,0,400,355,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,144,0,1,0,2,6,23,21,10,6,3,0,0,37,35
ZA,2020-06-03,1584,2,3,5,43,86,206,210,149,69,19,0,0,417,375,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,74,0,0,1,1,3,9,13,6,3,1,0,0,17,20
ZA,2020-06-04,1696,2,3,5,44,93,219,227,161,74,20,0,0,450,398,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,112,0,0,0,1,7,13,17,12,5,1,0,0,33,23
ZA,2020-06-05,1816,2,3,7,50,105,230,247,169,75,20,0,0,481,427,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,120,0,0,2,6,12,11,20,8,1,0,0,0,31,29
ZA,2020-06-06,1904,2,3,8,52,110,242,258,178,79,20,0,0,504,448,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,88,0,0,1,2,5,12,11,9,4,0,0,0,23,21
ZA,2020-06-07,1996,2,3,11,53,119,249,271,186,82,22,0,0,525,473,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,92,0,0,3,1,9,7,13,8,3,2,0,0,21,25
ZA,2020-06-08,2161,2,3,14,58,126,261,299,201,92,23,0,2,567,513,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,165,0,0,3,5,7,12,28,15,10,1,0,2,42,40
ZA,2020-06-09,2323,2,3,16,65,136,277,320,218,95,27,0,3,606,555,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,162,0,0,2,7,10,16,21,17,3,4,0,1,39,42
ZA,2020-06-10,2419,3,3,17,68,145,290,335,221,96,28,0,4,621,588,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,96,1,0,1,3,9,13,15,3,1,1,0,1,15,33
ZA,2020-06-11,2567,3,3,17,78,159,311,352,229,100,28,0,4,653,630,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,148,0,0,0,10,14,21,17,8,4,0,0,0,32,42
ZA,2020-06-12,2706,3,3,19,82,169,326,368,240,107,29,0,8,684,668,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,139,0,0,2,4,10,15,16,11,7,1,0,4,31,38
ZA,2020-06-13,2844,3,4,21,85,179,346,387,249,111,30,0,8,728,693,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,138,0,1,2,3,10,20,19,9,4,1,0,0,44,25
ZA,2020-06-14,2958,3,4,21,90,188,359,404,255,117,31,0,8,757,721,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,114,0,0,0,5,9,13,17,6,6,1,0,0,29,28
ZA,2020-06-15,3098,3,5,21,94,200,386,422,272,122,35,0,8,809,721,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,140,0,1,0,4,12,27,18,17,5,4,0,0,52,0
ZA,2020-06-17,3346,3,5,23,100,216,414,445,290,131,38,0,9,874,798,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,248,0,0,2,6,16,28,23,18,9,3,0,1,65,77
ZA,2020-06-18,3473,3,5,24,104,223,428,458,303,140,41,0,9,903,832,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,127,0,0,1,4,7,14,13,13,9,3,0,0,29,34
ZA,2020-06-19,3660,3,5,26,109,231,446,487,320,153,42,0,9,951,878,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,187,0,0,2,5,8,18,29,17,13,1,0,0,48,46
ZA,2020-06-20,3752,3,5,26,115,237,459,493,329,156,45,0,9,976,899,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,92,0,0,0,6,6,13,6,9,3,3,0,0,25,21
ZA,2020-06-21,3858,3,5,26,116,244,471,506,342,161,45,0,11,1003,925,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,106,0,0,0,1,7,12,13,13,5,0,0,2,27,26
ZA,2020-06-22,4091,3,5,27,118,255,487,522,352,165,46,0,11,1087,1013,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,233,0,0,1,2,11,16,16,10,4,1,0,0,84,88
ZA,2020-06-23,4202,3,5,28,123,268,509,550,376,179,49,1,11,1087,1013,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,111,0,0,1,5,13,22,28,24,14,3,1,0,0,0
ZA,2020-06-24,4408,3,5,30,127,280,529,581,392,190,55,1,12,1146,1057,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,206,0,0,2,4,12,20,31,16,11,6,0,1,59,44
ZA,2020-06-25,4582,3,5,33,133,289,552,603,407,197,55,1,14,1193,1097,0-9,10-19,100-109,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,unknown,174,0,0,3,6,9,23,22,15,7,0,0,2,47,40
