date,total_confirmed,total_confirmed_male,total_confirmed_female,total_confirmed_age_00,total_confirmed_age_01,total_confirmed_age_02,total_confirmed_age_03,total_confirmed_age_04,total_confirmed_age_05,total_confirmed_age_06,total_confirmed_age_07,total_confirmed_age_08,age_bin_00,age_bin_01,age_bin_02,age_bin_03,age_bin_04,age_bin_05,age_bin_06,age_bin_07,age_bin_08,key,new_confirmed,new_confirmed_male,new_confirmed_female,new_confirmed_age_00,new_confirmed_age_01,new_confirmed_age_02,new_confirmed_age_03,new_confirmed_age_04,new_confirmed_age_05,new_confirmed_age_06,new_confirmed_age_07,new_confirmed_age_08
2020-03-20,303,150,153,2,7,18,39,30,30,12,5,1,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,,,,,,,,,,,,
2020-03-25,810,447,363,10,26,119,168,180,170,80,48,9,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,507,297,210,8,19,101,129,150,140,68,43,8
2020-03-26,949,504,445,11,33,133,190,200,202,106,57,17,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,139,57,82,1,7,14,22,20,32,26,9,8
2020-03-27,1025,539,486,12,38,141,203,218,219,115,60,19,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,76,35,41,1,5,8,13,18,17,9,3,2
2020-03-28,1163,622,541,12,42,167,224,247,247,129,70,25,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,138,83,55,0,4,26,21,29,28,14,10,6
2020-03-29,1218,653,565,13,46,174,228,257,262,136,75,27,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,55,31,24,1,4,7,4,10,15,7,5,2
2020-03-30,1313,682,631,15,55,195,247,268,276,143,86,28,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,95,29,66,2,9,21,19,11,14,7,11,1
2020-03-31,1384,719,665,17,57,203,257,276,296,149,88,41,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,71,37,34,2,2,8,10,8,20,6,2,13
2020-04-01,1446,744,702,17,58,216,265,287,306,155,96,46,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,62,25,37,0,1,13,8,11,10,6,8,5
2020-04-02,1518,778,740,21,62,228,272,299,324,160,102,50,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,72,34,38,4,4,12,7,12,18,5,6,4
2020-04-03,1615,830,785,24,68,240,285,315,344,170,111,58,0-9,10-49,20-59,30-39,40-49,70-59,60-69,70-79,80-,FI,97,52,45,3,6,12,13,16,20,10,9,8
