date,yyyymmdd,total_tested,total_recovered,total_hospitalized,total_intensive_care,total_ventilator,total_deceased,contactsidentified,contactstraced,scannedtravellers,passengerselevatedtemperature,covidsuspectedcriteria,source,key,new_tested,new_recovered,new_hospitalized,new_intensive_care,new_ventilator,new_deceased
2020-02-11,20200211,61,0,,0,0,0,,,,,,,ZA,,,,,,
2020-02-13,20200213,67,0,,0,0,0,,,,,,,ZA,6,0,,0,0,0
2020-02-14,20200214,71,0,,0,0,0,,,,,,,ZA,4,0,,0,0,0
2020-02-19,20200219,95,0,,0,0,0,,,,,,,ZA,24,0,,0,0,0
2020-02-20,20200220,106,0,,0,0,0,,,,,,,ZA,11,0,,0,0,0
2020-02-24,20200224,116,0,,0,0,0,,,,,,,ZA,10,0,,0,0,0
2020-02-26,20200226,121,0,,0,0,0,,,,,,,ZA,5,0,,0,0,0
2020-03-02,20200302,160,0,,0,0,0,,,13731,0,0,,ZA,39,0,,0,0,0
2020-03-03,20200303,164,0,,0,0,0,,,11025,0,0,,ZA,4,0,,0,0,0
2020-03-06,20200306,200,0,,0,0,0,,,,,,,ZA,36,0,,0,0,0
2020-03-07,20200307,241,0,,0,0,0,,,,,,,ZA,41,0,,0,0,0
2020-03-11,20200311,645,0,,0,0,0,,,22061,0,0,,ZA,404,0,,0,0,0
2020-03-12,20200312,848,0,,0,0,0,,,28493,1,2,,ZA,203,0,,0,0,0
2020-03-13,20200313,924,0,,0,0,0,,,28633,1,2,,ZA,76,0,,0,0,0
2020-03-14,20200314,1017,0,,0,0,0,,,28087,0,0,,ZA,93,0,,0,0,0
2020-03-15,20200315,1476,0,,0,0,0,,,,,,,ZA,459,0,,0,0,0
2020-03-16,20200316,2405,0,,0,0,0,,,,,,,ZA,929,0,,0,0,0
2020-03-17,20200317,2911,0,,0,0,0,,,,,,,ZA,506,0,,0,0,0
2020-03-18,20200318,3070,0,,0,0,0,,,,,,,ZA,159,0,,0,0,0
2020-03-19,20200319,4832,0,,0,0,0,,,,,,,ZA,1762,0,,0,0,0
2020-03-20,20200320,6438,0,,0,0,0,,,,,,,ZA,1606,0,,0,0,0
2020-03-21,20200321,7425,0,,0,0,0,,,,,,,ZA,987,0,,0,0,0
2020-03-22,20200322,9315,1,,0,0,0,,,,,,,ZA,1890,1,,0,0,0
2020-03-23,20200323,12815,1,,0,0,0,,,,,,,ZA,3500,0,,0,0,0
