date,match_string,total_confirmed,total_deceased,total_recovered,new_confirmed,new_deceased,new_recovered,country_code,key
2020-02-26,acores,0,0,,,,,PT,PT_20
2020-02-27,acores,0,0,,0,0,,PT,PT_20
2020-02-28,acores,0,0,,0,0,,PT,PT_20
2020-02-29,acores,0,0,,0,0,,PT,PT_20
2020-03-01,acores,0,0,,0,0,,PT,PT_20
2020-03-02,acores,0,0,,0,0,,PT,PT_20
2020-03-03,acores,0,0,,0,0,,PT,PT_20
2020-03-04,acores,0,0,,0,0,,PT,PT_20
2020-03-05,acores,0,0,,0,0,,PT,PT_20
2020-03-06,acores,0,0,,0,0,,PT,PT_20
2020-03-07,acores,0,0,,0,0,,PT,PT_20
2020-03-08,acores,0,0,,0,0,,PT,PT_20
2020-03-09,acores,0,0,,0,0,,PT,PT_20
2020-03-10,acores,0,0,,0,0,,PT,PT_20
2020-03-11,acores,0,0,,0,0,,PT,PT_20
2020-03-12,acores,0,0,,0,0,,PT,PT_20
2020-03-13,acores,0,0,,0,0,,PT,PT_20
2020-03-14,acores,0,0,,0,0,,PT,PT_20
2020-03-15,acores,1,0,,1,0,,PT,PT_20
2020-03-16,acores,1,0,,0,0,,PT,PT_20
2020-03-17,acores,1,0,,0,0,,PT,PT_20
2020-03-18,acores,3,0,,2,0,,PT,PT_20
2020-03-19,acores,3,0,,0,0,,PT,PT_20
2020-03-20,acores,3,0,,0,0,,PT,PT_20
2020-03-21,acores,3,0,,0,0,,PT,PT_20
2020-03-22,acores,4,0,,1,0,,PT,PT_20
2020-03-23,acores,11,0,0,7,0,,PT,PT_20
2020-03-24,acores,12,0,0,1,0,0,PT,PT_20
2020-03-25,acores,17,0,0,5,0,0,PT,PT_20
2020-03-26,acores,24,0,0,7,0,0,PT,PT_20
2020-03-27,acores,24,0,0,0,0,0,PT,PT_20
2020-03-28,acores,30,0,0,6,0,0,PT,PT_20
2020-03-29,acores,33,0,0,3,0,0,PT,PT_20
2020-03-30,acores,41,0,0,8,0,0,PT,PT_20
2020-03-31,acores,48,0,0,7,0,0,PT,PT_20
2020-04-01,acores,52,0,0,4,0,0,PT,PT_20
2020-04-02,acores,57,0,,5,0,0,PT,PT_20
2020-04-03,acores,63,0,,6,0,0,PT,PT_20
2020-04-04,acores,63,0,,0,0,0,PT,PT_20
2020-04-05,acores,67,0,,4,0,0,PT,PT_20
2020-04-06,acores,68,0,,1,0,0,PT,PT_20
2020-04-07,acores,68,0,,0,0,0,PT,PT_20
