date,total_confirmed,total_recovered,total_deceased,key,new_confirmed,new_recovered,new_deceased
2020-03-01,1,0,0,CZ_10,,,
2020-03-02,1,0,0,CZ_10,0,0,0
2020-03-03,3,0,0,CZ_10,2,0,0
2020-03-04,4,0,0,CZ_10,1,0,0
2020-03-05,6,0,0,CZ_10,2,0,0
2020-03-06,8,0,0,CZ_10,2,0,0
2020-03-07,17,0,0,CZ_10,9,0,0
2020-03-08,21,0,0,CZ_10,4,0,0
2020-03-09,24,0,0,CZ_10,3,0,0
2020-03-10,35,0,0,CZ_10,11,0,0
2020-03-11,43,0,0,CZ_10,8,0,0
2020-03-12,48,0,0,CZ_10,5,0,0
2020-03-13,61,0,0,CZ_10,13,0,0
2020-03-14,85,0,0,CZ_10,24,0,0
2020-03-15,112,0,0,CZ_10,27,0,0
2020-03-16,143,0,0,CZ_10,31,0,0
2020-03-17,178,0,0,CZ_10,35,0,0
2020-03-18,201,0,0,CZ_10,23,0,0
2020-03-19,235,0,0,CZ_10,34,0,0
2020-03-20,267,2,0,CZ_10,32,2,0
2020-03-21,297,3,0,CZ_10,30,1,0
2020-03-22,320,3,1,CZ_10,23,0,1
2020-03-23,352,4,1,CZ_10,32,1,0
2020-03-24,437,5,2,CZ_10,85,1,1
2020-03-25,516,7,6,CZ_10,79,2,4
2020-03-26,591,9,6,CZ_10,75,2,0
2020-03-27,675,12,8,CZ_10,84,3,2
2020-03-28,713,13,11,CZ_10,38,1,3
2020-03-29,742,14,13,CZ_10,29,1,2
2020-03-30,812,20,17,CZ_10,70,6,4
2020-03-31,862,22,20,CZ_10,50,2,3
2020-04-01,953,30,23,CZ_10,91,8,3
2020-04-02,1042,39,25,CZ_10,89,9,2
2020-04-03,1131,55,29,CZ_10,89,16,4
2020-04-04,1157,72,34,CZ_10,26,17,5
2020-04-05,1177,80,37,CZ_10,20,8,3
2020-04-06,1229,113,40,CZ_10,52,33,3
2020-04-07,1266,143,43,CZ_10,37,30,3
2020-04-08,1316,173,49,CZ_10,50,30,6
2020-04-09,1356,227,50,CZ_10,40,54,1
