date,subregion1_name,total_confirmed,total_tested,total_deceased,new_confirmed,new_tested,new_deceased,subregion2_code,country_code,key
2020-01-30,England,2,,,,,,,GB,GB_ENG
2020-01-31,England,3,,,1,,,,GB,GB_ENG
2020-02-03,England,8,,,5,,,,GB,GB_ENG
2020-02-05,England,9,,,1,,,,GB,GB_ENG
2020-02-08,England,13,,,4,,,,GB,GB_ENG
2020-02-09,England,14,,,1,,,,GB,GB_ENG
2020-02-11,England,15,,,1,,,,GB,GB_ENG
2020-02-12,England,16,,,1,,,,GB,GB_ENG
2020-02-13,England,17,,,1,,,,GB,GB_ENG
2020-02-14,England,18,,,1,,,,GB,GB_ENG
2020-02-16,England,18,,,0,,,,GB,GB_ENG
2020-02-17,England,19,,,1,,,,GB,GB_ENG
2020-02-19,England,20,,,1,,,,GB,GB_ENG
2020-02-21,England,21,,,1,,,,GB,GB_ENG
2020-02-23,England,25,,,4,,,,GB,GB_ENG
2020-02-24,England,26,,,1,,,,GB,GB_ENG
2020-02-25,England,30,,,4,,,,GB,GB_ENG
2020-02-26,England,33,,,3,,,,GB,GB_ENG
2020-02-27,England,39,,,6,,,,GB,GB_ENG
2020-02-28,England,51,,,12,,,,GB,GB_ENG
2020-02-29,England,55,,,4,,,,GB,GB_ENG
2020-03-01,England,86,,,31,,,,GB,GB_ENG
2020-03-02,England,125,,,39,,,,GB,GB_ENG
2020-03-03,England,177,,,52,,,,GB,GB_ENG
2020-03-04,England,226,,,49,,,,GB,GB_ENG
2020-03-05,England,273,,0,47,,,,GB,GB_ENG
2020-03-06,England,346,,1,73,,1,,GB,GB_ENG
2020-03-07,England,393,,2,47,,1,,GB,GB_ENG
2020-03-08,England,443,,2,50,,0,,GB,GB_ENG
2020-03-09,England,567,,3,124,,1,,GB,GB_ENG
2020-03-10,England,790,,7,223,,4,,GB,GB_ENG
2020-03-11,England,1144,,7,354,,0,,GB,GB_ENG
2020-03-12,England,1557,,9,413,,2,,GB,GB_ENG
2020-03-13,England,1949,,10,392,,1,,GB,GB_ENG
2020-03-14,England,2266,,28,317,,18,,GB,GB_ENG
2020-03-15,England,2663,,42,397,,14,,GB,GB_ENG
2020-03-16,England,3209,,64,546,,22,,GB,GB_ENG
2020-03-17,England,3888,,79,679,,15,,GB,GB_ENG
2020-03-18,England,4798,,112,910,,33,,GB,GB_ENG
2020-03-19,England,5729,,154,931,,42,,GB,GB_ENG
2020-03-20,England,6812,,186,1083,,32,,GB,GB_ENG
2020-03-21,England,7846,,240,1034,,54,,GB,GB_ENG
2020-03-22,England,9055,,264,1209,,24,,GB,GB_ENG
2020-03-23,England,11071,,331,2016,,67,,GB,GB_ENG
2020-03-24,England,13092,,474,2021,,143,,GB,GB_ENG
2020-03-25,England,15355,,651,2263,,177,,GB,GB_ENG
2020-03-26,England,17965,,820,2610,,169,,GB,GB_ENG
2020-03-27,England,20623,,1092,2658,,272,,GB,GB_ENG
2020-03-28,England,22997,,1371,2374,,279,,GB,GB_ENG
2020-03-29,England,25430,,1566,2433,,195,,GB,GB_ENG
2020-03-30,England,28923,,1919,3493,,353,,GB,GB_ENG
2020-03-31,England,32686,,2287,3763,,368,,GB,GB_ENG
2020-04-01,England,36769,,2900,4083,,613,,GB,GB_ENG
2020-04-02,England,40778,,3503,4009,,603,,GB,GB_ENG
2020-04-03,England,44821,,4158,4043,,655,,GB,GB_ENG
2020-04-04,England,48141,,4847,3320,,689,,GB,GB_ENG
2020-04-05,England,51169,,5425,3028,,578,,GB,GB_ENG
2020-04-06,England,55497,,5957,4328,,532,,GB,GB_ENG
2020-04-07,England,59972,,6967,4475,,1010,,GB,GB_ENG
