date,total_confirmed,new_confirmed,total_deceased,new_deceased,total_recovered,new_recovered,current_hospitalized,current_intensive_care,key
2020-02-26,0,0,0,,0,,,,PT
2020-02-27,0,0,0,0,0,0,,,PT
2020-02-28,0,0,0,0,0,0,,,PT
2020-02-29,0,0,0,0,0,0,,,PT
2020-03-01,0,0,0,0,0,0,,,PT
2020-03-02,2,2,0,0,0,0,,,PT
2020-03-03,4,2,0,0,0,0,,,PT
2020-03-04,6,2,0,0,0,0,,,PT
2020-03-05,9,3,0,0,0,0,9,,PT
2020-03-06,13,4,0,0,0,0,13,,PT
2020-03-07,21,8,0,0,0,0,21,,PT
2020-03-08,30,9,0,0,0,0,30,,PT
2020-03-09,39,9,0,0,0,0,38,,PT
2020-03-10,41,2,0,0,0,0,40,,PT
2020-03-11,59,18,0,0,0,0,57,,PT
2020-03-12,78,19,0,0,0,0,69,,PT
2020-03-13,112,34,0,0,0,0,107,,PT
2020-03-14,169,57,0,0,1,1,114,10,PT
2020-03-15,245,76,0,0,2,1,139,9,PT
2020-03-16,331,86,0,0,3,1,139,18,PT
2020-03-17,448,117,1,1,3,0,206,17,PT
2020-03-18,642,194,1,0,3,0,89,20,PT
2020-03-19,785,143,3,2,3,0,89,20,PT
2020-03-20,1020,235,6,3,5,2,126,26,PT
2020-03-21,1280,260,12,6,5,0,156,35,PT
2020-03-22,1600,320,14,2,5,0,169,41,PT
2020-03-23,2060,460,23,9,14,9,201,47,PT
2020-03-24,2362,302,33,10,22,8,203,48,PT
2020-03-25,2995,633,43,10,22,0,276,61,PT
2020-03-26,3544,549,60,17,43,21,191,61,PT
2020-03-27,4268,724,76,16,43,0,354,71,PT
2020-03-28,5170,902,100,24,43,0,418,89,PT
2020-03-29,5962,792,119,19,43,0,486,138,PT
2020-03-30,6408,446,140,21,43,0,571,164,PT
2020-03-31,7443,1035,160,20,43,0,627,188,PT
2020-04-01,8251,808,187,27,43,0,726,230,PT
2020-04-02,9034,783,209,22,68,25,1042,240,PT
2020-04-03,9886,852,246,37,68,0,1058,245,PT
2020-04-04,10524,638,266,20,75,7,1075,251,PT
2020-04-05,11278,754,295,29,75,0,1084,267,PT
2020-04-06,11730,452,311,16,140,65,1099,270,PT
2020-04-07,12442,712,345,34,184,44,1180,271,PT
2020-04-08,13141,699,380,35,196,12,1211,245,PT
2020-04-09,13956,815,409,29,205,9,1173,241,PT
2020-04-10,15472,1516,435,26,233,28,1179,226,PT
2020-04-11,15987,515,470,35,266,33,1175,233,PT
2020-04-12,16585,598,504,34,277,11,1177,228,PT
2020-04-13,16934,349,535,31,277,0,1187,188,PT
2020-04-14,17448,514,567,32,347,70,1227,218,PT
2020-04-15,18091,643,599,32,383,36,1200,208,PT
2020-04-16,18841,750,629,30,493,110,1302,229,PT
2020-04-17,19022,181,657,28,519,26,1284,222,PT
2020-04-18,19685,663,687,30,610,91,1253,228,PT
2020-04-19,20206,521,714,27,610,0,1243,224,PT
2020-04-20,20863,657,735,21,610,0,1208,215,PT
2020-04-21,21379,516,762,27,917,307,1172,213,PT
2020-04-22,21982,603,785,23,1143,226,1146,207,PT
2020-04-23,22353,371,820,35,1201,58,1095,204,PT
2020-04-24,22797,444,854,34,1228,27,1068,188,PT
2020-04-25,23271,474,880,26,1277,49,1040,186,PT
2020-04-26,23683,412,903,23,1329,52,1005,182,PT
2020-04-27,23846,163,928,25,1357,28,995,176,PT
2020-04-28,24141,295,948,20,1389,32,936,172,PT
2020-04-29,24324,183,973,25,1470,81,980,169,PT
2020-04-30,24692,368,989,16,1519,49,968,172,PT
2020-05-01,24987,295,1007,18,1647,128,892,154,PT
2020-05-02,25190,203,1023,16,1671,24,855,150,PT
2020-05-03,25282,92,1043,20,1689,18,856,144,PT
2020-05-04,25524,242,1063,20,1712,23,813,143,PT
2020-05-05,25702,178,1074,11,1743,31,818,134,PT
2020-05-06,26182,480,1089,15,2076,333,838,136,PT
2020-05-07,26715,533,1105,16,2258,182,874,135,PT
2020-05-08,27268,553,1114,9,2422,164,842,127,PT
2020-05-09,27406,138,1126,12,2499,77,815,120,PT
2020-05-10,27581,175,1135,9,2549,50,797,112,PT
2020-05-11,27679,98,1144,9,2549,0,805,112,PT
2020-05-12,27913,234,1163,19,3013,464,709,113,PT
2020-05-13,28132,219,1175,12,3182,169,692,103,PT
2020-05-14,28319,187,1184,9,3198,16,680,108,PT
2020-05-15,28583,264,1190,6,3328,130,673,112,PT
2020-05-16,28810,227,1203,13,3822,494,657,115,PT
2020-05-17,29036,226,1218,15,4636,814,649,108,PT
2020-05-18,29209,173,1231,13,6430,1794,628,105,PT
2020-05-19,29432,223,1247,16,6431,1,629,101,PT
2020-05-20,29660,228,1263,16,6452,21,609,93,PT
2020-05-21,29912,252,1277,14,6452,0,608,92,PT
2020-05-22,30200,288,1289,12,7590,1138,576,84,PT
2020-05-23,30471,271,1302,13,7705,115,550,80,PT
2020-05-24,30623,152,1316,14,17549,9844,536,78,PT
2020-05-25,30788,165,1330,14,17822,273,531,72,PT
2020-05-26,31007,219,1342,12,18096,274,513,71,PT
2020-05-27,31292,285,1356,14,18349,253,510,66,PT
2020-05-28,31596,304,1369,13,18637,288,512,65,PT
2020-05-29,31946,350,1383,14,18911,274,529,66,PT
2020-05-30,32203,257,1396,13,19186,275,514,63,PT
2020-05-31,32500,297,1410,14,19409,223,474,64,PT
2020-06-01,32700,200,1424,14,19552,143,471,64,PT
2020-06-02,32895,195,1436,12,19869,317,432,58,PT
2020-06-03,33261,366,1447,11,20079,210,428,56,PT
2020-06-04,33592,331,1455,8,20323,244,445,58,PT
2020-06-05,33969,377,1465,10,20526,203,421,58,PT
2020-06-06,34351,382,1474,9,20807,281,414,57,PT
2020-06-07,34693,342,1479,5,20995,188,398,58,PT
2020-06-08,34885,192,1485,6,21156,161,366,55,PT
2020-06-09,35306,421,1492,7,21339,183,394,65,PT
2020-06-10,35600,294,1497,5,21742,403,417,70,PT
2020-06-11,35910,310,1504,7,22002,260,415,70,PT
2020-06-12,36180,270,1505,1,22200,198,440,73,PT
2020-06-13,36463,283,1512,7,22438,238,428,77,PT
2020-06-14,36690,227,1517,5,22669,231,419,73,PT
2020-06-15,37036,346,1520,3,22852,183,431,73,PT
2020-06-16,37336,300,1522,2,23212,360,423,71,PT
2020-06-17,37672,336,1523,1,23580,368,435,69,PT
2020-06-18,38089,417,1524,1,24010,430,416,67,PT
2020-06-19,38464,375,1527,3,24477,467,422,67,PT
2020-06-20,38841,377,1528,1,24906,429,422,70,PT
