date,country_name,match_string,total_confirmed,total_deceased,total_recovered,new_confirmed,new_deceased,new_recovered,key
2020-01-22,China,Anhui,1,0,0,,,,CN_AH
2020-01-23,China,Anhui,9,0,0,8,0,0,CN_AH
2020-01-24,China,Anhui,15,0,0,6,0,0,CN_AH
2020-01-25,China,Anhui,39,0,0,24,0,0,CN_AH
2020-01-26,China,Anhui,60,0,0,21,0,0,CN_AH
2020-01-27,China,Anhui,70,0,0,10,0,0,CN_AH
2020-01-28,China,Anhui,106,0,0,36,0,0,CN_AH
2020-01-29,China,Anhui,152,0,2,46,0,2,CN_AH
2020-01-30,China,Anhui,200,0,2,48,0,0,CN_AH
2020-01-31,China,Anhui,237,0,3,37,0,1,CN_AH
2020-02-01,China,Anhui,297,0,3,60,0,0,CN_AH
2020-02-02,China,Anhui,340,0,5,43,0,2,CN_AH
2020-02-03,China,Anhui,408,0,8,68,0,3,CN_AH
2020-02-04,China,Anhui,480,0,20,72,0,12,CN_AH
2020-02-05,China,Anhui,530,0,20,50,0,0,CN_AH
2020-02-06,China,Anhui,591,0,32,61,0,12,CN_AH
2020-02-07,China,Anhui,665,0,47,74,0,15,CN_AH
2020-02-08,China,Anhui,733,0,59,68,0,12,CN_AH
2020-02-09,China,Anhui,779,1,72,46,1,13,CN_AH
2020-02-10,China,Anhui,830,3,88,51,2,16,CN_AH
2020-02-11,China,Anhui,860,4,105,30,1,17,CN_AH
2020-02-12,China,Anhui,889,4,119,29,0,14,CN_AH
2020-02-13,China,Anhui,910,5,149,21,1,30,CN_AH
2020-02-14,China,Anhui,934,6,184,24,1,35,CN_AH
2020-02-15,China,Anhui,950,6,217,16,0,33,CN_AH
2020-02-16,China,Anhui,962,6,255,12,0,38,CN_AH
2020-02-17,China,Anhui,973,6,280,11,0,25,CN_AH
2020-02-18,China,Anhui,982,6,336,9,0,56,CN_AH
2020-02-19,China,Anhui,986,6,401,4,0,65,CN_AH
2020-02-20,China,Anhui,987,6,474,1,0,73,CN_AH
2020-02-21,China,Anhui,988,6,514,1,0,40,CN_AH
2020-02-22,China,Anhui,989,6,597,1,0,83,CN_AH
2020-02-23,China,Anhui,989,6,630,0,0,33,CN_AH
2020-02-24,China,Anhui,989,6,663,0,0,33,CN_AH
2020-02-25,China,Anhui,989,6,712,0,0,49,CN_AH
2020-02-26,China,Anhui,989,6,741,0,0,29,CN_AH
2020-02-27,China,Anhui,989,6,775,0,0,34,CN_AH
2020-02-28,China,Anhui,990,6,821,1,0,46,CN_AH
2020-02-29,China,Anhui,990,6,868,0,0,47,CN_AH
2020-03-01,China,Anhui,990,6,870,0,0,2,CN_AH
2020-03-02,China,Anhui,990,6,889,0,0,19,CN_AH
2020-03-03,China,Anhui,990,6,941,0,0,52,CN_AH
2020-03-04,China,Anhui,990,6,945,0,0,4,CN_AH
2020-03-05,China,Anhui,990,6,970,0,0,25,CN_AH
2020-03-06,China,Anhui,990,6,979,0,0,9,CN_AH
2020-03-08,China,Anhui,990,6,984,0,0,5,CN_AH
2020-04-09,China,Anhui,991,6,984,1,0,0,CN_AH
2020-04-25,China,Anhui,991,6,985,0,0,1,CN_AH
2020-01-22,China,Beijing,10,0,0,,,,CN_BJ
2020-01-23,China,Beijing,14,0,0,4,0,0,CN_BJ
2020-01-24,China,Beijing,29,0,1,15,0,1,CN_BJ
2020-01-25,China,Beijing,36,0,1,7,0,0,CN_BJ
2020-01-26,China,Beijing,54,0,2,18,0,1,CN_BJ
2020-01-27,China,Beijing,72,0,2,18,0,0,CN_BJ
2020-01-28,China,Beijing,91,1,2,19,1,0,CN_BJ
2020-01-29,China,Beijing,102,1,4,11,0,2,CN_BJ
2020-01-30,China,Beijing,114,1,4,12,0,0,CN_BJ
2020-01-31,China,Beijing,139,1,5,25,0,1,CN_BJ
2020-02-01,China,Beijing,168,1,9,29,0,4,CN_BJ
2020-02-02,China,Beijing,191,1,9,23,0,0,CN_BJ
2020-02-03,China,Beijing,212,1,12,21,0,3,CN_BJ
2020-02-04,China,Beijing,228,1,23,16,0,11,CN_BJ
2020-02-05,China,Beijing,253,1,24,25,0,1,CN_BJ
2020-02-06,China,Beijing,274,1,31,21,0,7,CN_BJ
2020-02-07,China,Beijing,297,1,33,23,0,2,CN_BJ
2020-02-08,China,Beijing,315,2,34,18,1,1,CN_BJ
2020-02-09,China,Beijing,326,2,37,11,0,3,CN_BJ
2020-02-10,China,Beijing,337,2,44,11,0,7,CN_BJ
2020-02-11,China,Beijing,342,3,48,5,1,4,CN_BJ
2020-02-12,China,Beijing,352,3,56,10,0,8,CN_BJ
2020-02-13,China,Beijing,366,3,68,14,0,12,CN_BJ
2020-02-14,China,Beijing,372,3,80,6,0,12,CN_BJ
2020-02-15,China,Beijing,375,4,98,3,1,18,CN_BJ
2020-02-16,China,Beijing,380,4,108,5,0,10,CN_BJ
2020-02-17,China,Beijing,381,4,114,1,0,6,CN_BJ
2020-02-18,China,Beijing,387,4,122,6,0,8,CN_BJ
2020-02-19,China,Beijing,393,4,147,6,0,25,CN_BJ
2020-02-20,China,Beijing,395,4,153,2,0,6,CN_BJ
2020-02-21,China,Beijing,396,4,169,1,0,16,CN_BJ
2020-02-22,China,Beijing,399,4,178,3,0,9,CN_BJ
2020-02-23,China,Beijing,399,4,189,0,0,11,CN_BJ
2020-02-24,China,Beijing,399,4,198,0,0,9,CN_BJ
2020-02-25,China,Beijing,400,4,215,1,0,17,CN_BJ
2020-02-26,China,Beijing,400,4,235,0,0,20,CN_BJ
2020-02-27,China,Beijing,410,5,248,10,1,13,CN_BJ
2020-02-28,China,Beijing,410,7,257,0,2,9,CN_BJ
2020-02-29,China,Beijing,411,8,271,1,1,14,CN_BJ
2020-03-01,China,Beijing,413,8,276,2,0,5,CN_BJ
2020-03-02,China,Beijing,414,8,282,1,0,6,CN_BJ
2020-03-03,China,Beijing,414,8,288,0,0,6,CN_BJ
2020-03-04,China,Beijing,417,8,294,3,0,6,CN_BJ
2020-03-05,China,Beijing,418,8,297,1,0,3,CN_BJ
2020-03-06,China,Beijing,422,8,298,4,0,1,CN_BJ
2020-03-07,China,Beijing,426,8,303,4,0,5,CN_BJ
2020-03-08,China,Beijing,428,8,308,2,0,5,CN_BJ
2020-03-09,China,Beijing,428,8,315,0,0,7,CN_BJ
2020-03-10,China,Beijing,429,8,320,1,0,5,CN_BJ
2020-03-11,China,Beijing,435,8,326,6,0,6,CN_BJ
2020-03-12,China,Beijing,435,8,334,0,0,8,CN_BJ
2020-03-13,China,Beijing,436,8,342,1,0,8,CN_BJ
2020-03-14,China,Beijing,437,8,349,1,0,7,CN_BJ
2020-03-15,China,Beijing,442,8,353,5,0,4,CN_BJ
2020-03-16,China,Beijing,452,8,360,10,0,7,CN_BJ
2020-03-17,China,Beijing,456,8,368,4,0,8,CN_BJ
2020-03-18,China,Beijing,469,8,378,13,0,10,CN_BJ
2020-03-19,China,Beijing,480,8,380,11,0,2,CN_BJ
2020-03-20,China,Beijing,491,8,390,11,0,10,CN_BJ
2020-03-21,China,Beijing,499,8,392,8,0,2,CN_BJ
2020-03-22,China,Beijing,514,8,400,15,0,8,CN_BJ
