date,country_code,match_string,new_confirmed,new_deceased,total_confirmed,total_deceased,key
2020-01-30,JP,三重,1,,1,0,JP_24
2020-03-10,JP,三重,1,,2,0,JP_24
2020-03-11,JP,三重,5,,7,0,JP_24
2020-03-18,JP,三重,1,,8,0,JP_24
2020-03-30,JP,三重,2,,10,0,JP_24
2020-04-02,JP,三重,1,,11,0,JP_24
2020-04-03,JP,三重,1,,12,0,JP_24
2020-04-09,JP,三重,2,,14,0,JP_24
2020-04-11,JP,三重,2,,16,0,JP_24
2020-04-14,JP,三重,2,,18,0,JP_24
2020-04-15,JP,三重,1,,19,0,JP_24
2020-04-16,JP,三重,6,1,25,1,JP_24
2020-04-17,JP,三重,6,,31,1,JP_24
2020-04-18,JP,三重,3,,34,1,JP_24
2020-04-19,JP,三重,1,,35,1,JP_24
2020-04-20,JP,三重,3,,38,1,JP_24
2020-04-21,JP,三重,2,,40,1,JP_24
2020-04-22,JP,三重,2,,42,1,JP_24
2020-04-24,JP,三重,2,,44,1,JP_24
2020-01-30,JP,京都,1,,1,0,JP_26
2020-02-05,JP,京都,1,,2,0,JP_26
2020-03-03,JP,京都,1,,3,0,JP_26
2020-03-04,JP,京都,2,,5,0,JP_26
2020-03-05,JP,京都,1,,6,0,JP_26
2020-03-06,JP,京都,1,,7,0,JP_26
2020-03-07,JP,京都,1,,8,0,JP_26
2020-03-09,JP,京都,4,,12,0,JP_26
2020-03-10,JP,京都,1,,13,0,JP_26
2020-03-11,JP,京都,2,,15,0,JP_26
2020-03-12,JP,京都,2,,17,0,JP_26
2020-03-17,JP,京都,2,,19,0,JP_26
2020-03-18,JP,京都,2,,21,0,JP_26
2020-03-20,JP,京都,1,,22,0,JP_26
2020-03-21,JP,京都,1,,23,0,JP_26
2020-03-22,JP,京都,1,,24,0,JP_26
2020-03-23,JP,京都,1,,25,0,JP_26
2020-03-24,JP,京都,2,,27,0,JP_26
2020-03-25,JP,京都,4,,31,0,JP_26
2020-03-26,JP,京都,3,,34,0,JP_26
2020-03-27,JP,京都,1,,35,0,JP_26
2020-03-28,JP,京都,5,,40,0,JP_26
2020-03-29,JP,京都,7,,47,0,JP_26
2020-03-30,JP,京都,9,,56,0,JP_26
2020-03-31,JP,京都,13,,69,0,JP_26
2020-04-01,JP,京都,7,,76,0,JP_26
2020-04-02,JP,京都,12,,88,0,JP_26
2020-04-03,JP,京都,18,,106,0,JP_26
2020-04-04,JP,京都,10,,116,0,JP_26
2020-04-05,JP,京都,9,,125,0,JP_26
2020-04-06,JP,京都,8,,133,0,JP_26
2020-04-07,JP,京都,12,,145,0,JP_26
2020-04-08,JP,京都,10,,155,0,JP_26
2020-04-09,JP,京都,10,1,165,1,JP_26
2020-04-10,JP,京都,9,,174,1,JP_26
2020-04-11,JP,京都,7,2,181,3,JP_26
2020-04-12,JP,京都,12,,193,3,JP_26
2020-04-13,JP,京都,12,,205,3,JP_26
2020-04-14,JP,京都,5,,210,3,JP_26
2020-04-15,JP,京都,5,,215,3,JP_26
2020-04-16,JP,京都,10,,225,3,JP_26
2020-04-17,JP,京都,10,,235,3,JP_26
2020-04-18,JP,京都,7,,242,3,JP_26
2020-04-19,JP,京都,9,,251,3,JP_26
2020-04-20,JP,京都,8,2,259,5,JP_26
2020-04-21,JP,京都,5,1,264,6,JP_26
2020-04-22,JP,京都,11,2,275,8,JP_26
2020-04-23,JP,京都,7,,282,8,JP_26
2020-04-24,JP,京都,4,,286,8,JP_26
2020-04-25,JP,京都,4,,290,8,JP_26
2020-04-26,JP,京都,4,,294,8,JP_26
