date,country_code,subregion1_code,total_confirmed,total_deceased,total_recovered,total_tested,new_confirmed,new_deceased,new_recovered,new_tested,key
2020-03-04,AU,ACT,0,,,,,,,,AU_ACT
2020-03-05,AU,ACT,0,,,,0,,,,AU_ACT
2020-03-06,AU,ACT,0,,,,0,,,,AU_ACT
2020-03-07,AU,ACT,0,,,,0,,,,AU_ACT
2020-03-08,AU,ACT,0,,,,0,,,,AU_ACT
2020-03-09,AU,ACT,0,,,,0,,,,AU_ACT
2020-03-10,AU,ACT,0,,,,0,,,,AU_ACT
2020-03-11,AU,ACT,0,,,,0,,,,AU_ACT
2020-03-12,AU,ACT,1,,,,1,,,,AU_ACT
2020-03-13,AU,ACT,1,,,,0,,,,AU_ACT
2020-03-14,AU,ACT,1,,,,0,,,,AU_ACT
2020-03-15,AU,ACT,1,,,,0,,,,AU_ACT
2020-03-16,AU,ACT,2,,,,1,,,,AU_ACT
2020-03-17,AU,ACT,2,,,,0,,,,AU_ACT
2020-03-18,AU,ACT,3,0,0,1857,1,,,,AU_ACT
2020-03-19,AU,ACT,4,0,0,1857,1,0,0,0,AU_ACT
2020-03-20,AU,ACT,6,0,0,2062,2,0,0,205,AU_ACT
2020-03-21,AU,ACT,9,0,0,2221,3,0,0,159,AU_ACT
2020-03-22,AU,ACT,19,0,0,2414,10,0,0,193,AU_ACT
2020-03-23,AU,ACT,32,0,0,2608,13,0,0,194,AU_ACT
2020-03-24,AU,ACT,39,0,0,2819,7,0,0,211,AU_ACT
2020-03-25,AU,ACT,44,0,0,3008,5,0,0,189,AU_ACT
2020-03-26,AU,ACT,53,0,1,3272,9,0,1,264,AU_ACT
2020-03-27,AU,ACT,62,0,2,3760,9,0,1,488,AU_ACT
2020-03-28,AU,ACT,71,0,2,4059,9,0,0,299,AU_ACT
2020-03-29,AU,ACT,77,0,2,4307,6,0,0,248,AU_ACT
2020-03-30,AU,ACT,78,1,2,4441,1,1,0,134,AU_ACT
2020-03-31,AU,ACT,80,1,3,4441,2,0,1,0,AU_ACT
2020-04-01,AU,ACT,84,1,3,4858,4,0,0,417,AU_ACT
2020-04-02,AU,ACT,87,1,11,5018,3,0,8,160,AU_ACT
2020-04-03,AU,ACT,91,1,18,5131,4,0,7,113,AU_ACT
2020-04-04,AU,ACT,93,2,18,5328,2,1,0,197,AU_ACT
2020-04-05,AU,ACT,96,2,18,5328,3,0,0,0,AU_ACT
2020-04-06,AU,ACT,96,2,40,5425,0,0,22,97,AU_ACT
2020-04-07,AU,ACT,97,2,42,5497,1,0,2,72,AU_ACT
2020-04-08,AU,ACT,99,2,47,5697,2,0,5,200,AU_ACT
2020-04-09,AU,ACT,100,2,54,5902,1,0,7,205,AU_ACT
2020-04-10,AU,ACT,103,2,59,6120,3,0,5,218,AU_ACT
2020-04-11,AU,ACT,103,2,62,6206,0,0,3,86,AU_ACT
2020-04-12,AU,ACT,102,2,67,6261,-1,0,5,55,AU_ACT
2020-04-13,AU,ACT,103,2,72,6294,1,0,5,33,AU_ACT
2020-04-14,AU,ACT,103,2,75,6294,0,0,3,0,AU_ACT
2020-04-15,AU,ACT,103,3,77,6490,0,1,2,196,AU_ACT
2020-04-16,AU,ACT,103,3,79,6619,0,0,2,129,AU_ACT
2020-04-17,AU,ACT,103,3,81,6754,0,0,2,135,AU_ACT
2020-04-18,AU,ACT,103,3,88,6856,0,0,7,102,AU_ACT
2020-04-19,AU,ACT,103,3,89,6996,0,0,1,140,AU_ACT
2020-04-20,AU,ACT,104,3,91,7063,1,0,2,67,AU_ACT
2020-04-21,AU,ACT,104,3,92,7126,0,0,1,63,AU_ACT
2020-04-22,AU,ACT,104,3,93,7256,0,0,1,130,AU_ACT
