date,match_string,new_hospitalized,total_hospitalized,country_code,subregion1_code,new_intensive_care,total_intensive_care,key
2020-03-26,Ayrshire & Arran,14,14,GB,SCT,,,GB_SCT_S08000015
2020-03-27,Ayrshire & Arran,19,33,GB,SCT,7,7,GB_SCT_S08000015
2020-03-28,Ayrshire & Arran,20,53,GB,SCT,7,14,GB_SCT_S08000015
2020-03-29,Ayrshire & Arran,28,81,GB,SCT,7,21,GB_SCT_S08000015
2020-03-30,Ayrshire & Arran,34,115,GB,SCT,9,30,GB_SCT_S08000015
2020-03-31,Ayrshire & Arran,37,152,GB,SCT,10,40,GB_SCT_S08000015
2020-04-01,Ayrshire & Arran,32,184,GB,SCT,11,51,GB_SCT_S08000015
2020-04-02,Ayrshire & Arran,39,223,GB,SCT,11,62,GB_SCT_S08000015
2020-04-03,Ayrshire & Arran,45,268,GB,SCT,14,76,GB_SCT_S08000015
2020-04-04,Ayrshire & Arran,47,315,GB,SCT,14,90,GB_SCT_S08000015
2020-04-05,Ayrshire & Arran,46,361,GB,SCT,14,104,GB_SCT_S08000015
2020-04-06,Ayrshire & Arran,49,410,GB,SCT,16,120,GB_SCT_S08000015
2020-04-07,Ayrshire & Arran,55,465,GB,SCT,14,134,GB_SCT_S08000015
2020-04-08,Ayrshire & Arran,63,528,GB,SCT,16,150,GB_SCT_S08000015
2020-04-09,Ayrshire & Arran,63,591,GB,SCT,15,165,GB_SCT_S08000015
2020-04-10,Ayrshire & Arran,62,653,GB,SCT,14,179,GB_SCT_S08000015
2020-04-11,Ayrshire & Arran,62,715,GB,SCT,15,194,GB_SCT_S08000015
2020-04-12,Ayrshire & Arran,62,777,GB,SCT,14,208,GB_SCT_S08000015
2020-04-13,Ayrshire & Arran,67,844,GB,SCT,14,222,GB_SCT_S08000015
2020-04-14,Ayrshire & Arran,72,916,GB,SCT,13,235,GB_SCT_S08000015
2020-04-15,Ayrshire & Arran,72,988,GB,SCT,13,248,GB_SCT_S08000015
2020-04-16,Ayrshire & Arran,79,1067,GB,SCT,13,261,GB_SCT_S08000015
2020-04-17,Ayrshire & Arran,82,1149,GB,SCT,11,272,GB_SCT_S08000015
2020-04-18,Ayrshire & Arran,81,1230,GB,SCT,12,284,GB_SCT_S08000015
2020-04-19,Ayrshire & Arran,91,1321,GB,SCT,10,294,GB_SCT_S08000015
2020-04-20,Ayrshire & Arran,95,1416,GB,SCT,11,305,GB_SCT_S08000015
2020-04-21,Ayrshire & Arran,87,1503,GB,SCT,10,315,GB_SCT_S08000015
2020-04-22,Ayrshire & Arran,79,1582,GB,SCT,8,323,GB_SCT_S08000015
2020-04-23,Ayrshire & Arran,78,1660,GB,SCT,10,333,GB_SCT_S08000015
2020-04-24,Ayrshire & Arran,69,1729,GB,SCT,7,340,GB_SCT_S08000015
2020-04-25,Ayrshire & Arran,69,1798,GB,SCT,7,347,GB_SCT_S08000015
2020-04-26,Ayrshire & Arran,66,1864,GB,SCT,8,355,GB_SCT_S08000015
2020-04-27,Ayrshire & Arran,68,1932,GB,SCT,7,362,GB_SCT_S08000015
2020-04-28,Ayrshire & Arran,66,1998,GB,SCT,5,367,GB_SCT_S08000015
2020-04-29,Ayrshire & Arran,61,2059,GB,SCT,6,373,GB_SCT_S08000015
2020-04-30,Ayrshire & Arran,62,2121,GB,SCT,5,378,GB_SCT_S08000015
2020-05-01,Ayrshire & Arran,62,2183,GB,SCT,6,384,GB_SCT_S08000015
2020-05-02,Ayrshire & Arran,61,2244,GB,SCT,8,392,GB_SCT_S08000015
2020-05-03,Ayrshire & Arran,61,2305,GB,SCT,8,400,GB_SCT_S08000015
2020-05-04,Ayrshire & Arran,59,2364,GB,SCT,6,406,GB_SCT_S08000015
2020-05-05,Ayrshire & Arran,57,2421,GB,SCT,8,414,GB_SCT_S08000015
2020-05-06,Ayrshire & Arran,56,2477,GB,SCT,7,421,GB_SCT_S08000015
2020-05-07,Ayrshire & Arran,54,2531,GB,SCT,7,428,GB_SCT_S08000015
2020-05-08,Ayrshire & Arran,52,2583,GB,SCT,6,434,GB_SCT_S08000015
2020-05-09,Ayrshire & Arran,55,2638,GB,SCT,9,443,GB_SCT_S08000015
2020-05-10,Ayrshire & Arran,43,2681,GB,SCT,7,450,GB_SCT_S08000015
2020-05-11,Ayrshire & Arran,41,2722,GB,SCT,8,458,GB_SCT_S08000015
2020-05-12,Ayrshire & Arran,39,2761,GB,SCT,7,465,GB_SCT_S08000015
2020-05-13,Ayrshire & Arran,39,2800,GB,SCT,7,472,GB_SCT_S08000015
2020-05-14,Ayrshire & Arran,41,2841,GB,SCT,5,477,GB_SCT_S08000015
2020-05-15,Ayrshire & Arran,42,2883,GB,SCT,5,482,GB_SCT_S08000015
2020-05-16,Ayrshire & Arran,33,2916,GB,SCT,5,487,GB_SCT_S08000015
2020-05-17,Ayrshire & Arran,32,2948,GB,SCT,5,492,GB_SCT_S08000015
2020-05-18,Ayrshire & Arran,32,2980,GB,SCT,5,497,GB_SCT_S08000015
2020-05-19,Ayrshire & Arran,32,3012,GB,SCT,5,502,GB_SCT_S08000015
2020-05-20,Ayrshire & Arran,29,3041,GB,SCT,5,507,GB_SCT_S08000015
2020-05-21,Ayrshire & Arran,29,3070,GB,SCT,5,512,GB_SCT_S08000015
2020-05-22,Ayrshire & Arran,26,3096,GB,SCT,5,517,GB_SCT_S08000015
2020-05-23,Ayrshire & Arran,21,3117,GB,SCT,5,522,GB_SCT_S08000015
2020-05-24,Ayrshire & Arran,25,3142,GB,SCT,5,527,GB_SCT_S08000015
2020-05-25,Ayrshire & Arran,21,3163,GB,SCT,5,532,GB_SCT_S08000015
2020-05-26,Ayrshire & Arran,19,3182,GB,SCT,5,537,GB_SCT_S08000015
2020-05-27,Ayrshire & Arran,16,3198,GB,SCT,5,542,GB_SCT_S08000015
2020-05-28,Ayrshire & Arran,16,3214,GB,SCT,5,547,GB_SCT_S08000015
2020-05-29,Ayrshire & Arran,13,3227,GB,SCT,5,552,GB_SCT_S08000015
2020-05-30,Ayrshire & Arran,11,3238,GB,SCT,5,557,GB_SCT_S08000015
2020-05-31,Ayrshire & Arran,11,3249,GB,SCT,5,562,GB_SCT_S08000015
2020-06-01,Ayrshire & Arran,13,3262,GB,SCT,5,567,GB_SCT_S08000015
2020-06-02,Ayrshire & Arran,11,3273,GB,SCT,5,572,GB_SCT_S08000015
2020-06-03,Ayrshire & Arran,10,3283,GB,SCT,5,577,GB_SCT_S08000015
2020-06-04,Ayrshire & Arran,8,3291,GB,SCT,5,582,GB_SCT_S08000015
2020-06-05,Ayrshire & Arran,8,3299,GB,SCT,5,587,GB_SCT_S08000015
2020-06-06,Ayrshire & Arran,8,3307,GB,SCT,5,592,GB_SCT_S08000015
2020-06-07,Ayrshire & Arran,10,3317,GB,SCT,5,597,GB_SCT_S08000015
2020-06-08,Ayrshire & Arran,10,3327,GB,SCT,5,602,GB_SCT_S08000015
2020-06-09,Ayrshire & Arran,11,3338,GB,SCT,5,607,GB_SCT_S08000015
2020-06-10,Ayrshire & Arran,8,3346,GB,SCT,5,612,GB_SCT_S08000015
2020-06-11,Ayrshire & Arran,7,3353,GB,SCT,5,617,GB_SCT_S08000015
2020-06-12,Ayrshire & Arran,6,3359,GB,SCT,5,622,GB_SCT_S08000015
2020-06-13,Ayrshire & Arran,6,3365,GB,SCT,5,627,GB_SCT_S08000015
2020-06-14,Ayrshire & Arran,5,3370,GB,SCT,5,632,GB_SCT_S08000015
2020-06-15,Ayrshire & Arran,5,3375,GB,SCT,5,637,GB_SCT_S08000015
2020-06-16,Ayrshire & Arran,5,3380,GB,SCT,5,642,GB_SCT_S08000015
2020-06-17,Ayrshire & Arran,5,3385,GB,SCT,5,647,GB_SCT_S08000015
2020-06-18,Ayrshire & Arran,5,3390,GB,SCT,5,652,GB_SCT_S08000015
2020-06-19,Ayrshire & Arran,5,3395,GB,SCT,5,657,GB_SCT_S08000015
2020-06-20,Ayrshire & Arran,5,3400,GB,SCT,5,662,GB_SCT_S08000015
2020-06-21,Ayrshire & Arran,5,3405,GB,SCT,5,667,GB_SCT_S08000015
2020-06-22,Ayrshire & Arran,5,3410,GB,SCT,5,672,GB_SCT_S08000015
