date,match_string,total_hospitalized_symptomatic,current_intensive_care,current_hospitalized,total_quarantined,current_confirmed,new_current_confirmed,new_confirmed,total_recovered,total_deceased,total_confirmed,total_tested,cases_tested?,country_code,key,new_hospitalized_symptomatic,new_quarantined,new_recovered,new_deceased,new_tested,total_current_confirmed
2020-02-24,Abruzzo,0,0,0,0,0,0,0,0,0,0,5,,IT,IT_65,,,,,,0
2020-02-25,Abruzzo,0,0,0,0,0,0,0,0,0,0,5,,IT,IT_65,0,0,0,0,0,0
2020-02-26,Abruzzo,0,0,0,0,0,0,0,0,0,0,13,,IT,IT_65,0,0,0,0,8,0
2020-02-27,Abruzzo,1,0,1,0,1,1,1,0,0,1,33,,IT,IT_65,1,0,0,0,20,1
2020-02-28,Abruzzo,1,0,1,0,1,0,0,0,0,1,33,,IT,IT_65,0,0,0,0,0,1
2020-02-29,Abruzzo,2,0,2,0,2,1,1,0,0,2,43,,IT,IT_65,1,0,0,0,10,2
2020-03-01,Abruzzo,3,0,3,2,5,3,3,0,0,5,52,,IT,IT_65,1,2,0,0,9,5
2020-03-02,Abruzzo,3,0,3,2,5,0,0,0,0,5,52,,IT,IT_65,0,0,0,0,0,5
2020-03-03,Abruzzo,5,0,5,1,6,1,1,0,0,6,52,,IT,IT_65,2,-1,0,0,0,6
2020-03-04,Abruzzo,7,0,7,0,7,1,1,0,0,7,85,,IT,IT_65,2,-1,0,0,33,7
2020-03-05,Abruzzo,8,0,8,0,8,1,1,0,0,8,96,,IT,IT_65,1,0,0,0,11,8
2020-03-06,Abruzzo,9,0,9,0,9,1,1,0,0,9,96,,IT,IT_65,1,0,0,0,0,9
2020-03-07,Abruzzo,11,0,11,0,11,2,2,0,0,11,123,,IT,IT_65,2,0,0,0,27,11
2020-03-08,Abruzzo,14,0,14,3,17,6,6,0,0,17,163,,IT,IT_65,3,3,0,0,40,17
2020-03-09,Abruzzo,25,0,25,5,30,13,13,0,0,30,237,,IT,IT_65,11,2,0,0,74,30
2020-03-10,Abruzzo,17,9,26,11,37,7,8,0,1,38,310,,IT,IT_65,-8,6,0,1,73,37
2020-03-11,Abruzzo,17,9,26,11,37,0,0,0,1,38,310,,IT,IT_65,0,0,0,0,0,37
2020-03-12,Abruzzo,47,12,59,19,78,41,46,4,2,84,867,,IT,IT_65,30,8,4,1,557,78
2020-03-13,Abruzzo,42,14,56,27,83,5,5,4,2,89,958,,IT,IT_65,-5,8,0,0,91,83
2020-03-14,Abruzzo,51,14,65,41,106,23,23,4,2,112,1232,,IT,IT_65,9,14,0,0,274,106
2020-03-15,Abruzzo,72,28,100,28,128,22,25,6,3,137,1419,,IT,IT_65,21,-13,2,1,187,128
2020-03-16,Abruzzo,71,37,108,57,165,37,39,7,4,176,1533,,IT,IT_65,-1,29,1,1,114,165
2020-03-17,Abruzzo,94,32,126,90,216,51,53,7,6,229,1688,,IT,IT_65,23,33,0,2,155,216
2020-03-18,Abruzzo,99,41,140,109,249,33,34,7,7,263,2054,,IT,IT_65,5,19,0,1,366,249
2020-03-19,Abruzzo,181,47,228,138,366,117,122,8,11,385,2409,,IT,IT_65,82,29,1,4,355,366
2020-03-20,Abruzzo,190,48,238,184,422,56,64,10,17,449,2695,,IT,IT_65,9,46,2,6,286,422
