population,male_population,female_population,population_rural,population_urban,population_largest_city,population_clustered,population_density,key
10283822,4863018,5420804,3577639,6706183,2927316,4234250,112.26194,PT
3195153,1519292,1675861,205193,2989960,2454337,2454337,360.22018,PR
2781677,2100297,681380,24062,2757615,693373,,239.5932,QA
19466145,9471498,9994647,8954816,10511329,1821380,1821380,84.605985,RO
144478050,66948582,77529468,36938703,107539347,12409738,33506382,8.8220796,RU
12301939,6045042,6256897,10184652,2117287,1057836,1057836,498.65987,RW
196130,101485,94645,160350,35780,,,69.303887,WS
33785,,,937,32848,,,563.08333,SM
211028,105591,105437,57393,153635,,,219.82083,ST
33699947,19395719,14304228,5444563,28255384,6906595,15933494,15.676654,SA
15854360,7724668,8129692,8372370,7481990,2978419,2978419,82.347478,SN
6982604,3421300,3561304,3065922,3916682,1389351,1389351,79.837686,RS
96762,49683,47079,41907,54855,,,210.35217,SC
7650154,3815799,3834355,4432882,3217272,1135949,1135949,105.98717,SL
5638676,2951389,2687287,0,5638676,5791901,5791901,7952.9984,SG
40654,,,0,40654,,,1193.3529,SX
5446771,2650490,2796281,2520439,2926332,429920,,113.28559,SK
2073894,1031862,1042032,942771,1131123,,,102.96366,SI
652858,331948,320910,497811,155047,,,23.324687,SB
15008154,7484064,7524090,8258837,6749317,2081624,2081624,23.923477,SO
57779622,28488734,29290888,19439954,38339668,5485986,20400727,47.63012,ZA
10975920,5492756,5483164,8822993,2152927,368914,,,SS
46796540,22978673,23817867,9209091,37587449,6497124,11991249,93.674767,ES
21670000,10408791,11261209,17666251,4003749,599821,,345.55892,LK
52441,,,36302,16139,,,201.69615,KN
181889,89580,92309,147916,33973,,,298.17869,LC
37264,,,,,,,672.05882,FR_MF
110210,55977,54233,52683,57527,,,282.58974,VC
41801533,20880946,20920587,27320646,14480887,5534079,5534079,,SD
575991,289625,286366,195491,380500,,,3.69225,SR
10175214,5093124,5082090,1278923,8896291,1582968,1582968,24.981498,SE
8513227,4220251,4292976,2230721,6282506,1370779,1370779,215.43746,CH
16906283,8484551,8421732,7749502,9156781,2319545,5368378,92.067108,SY
9100837,4588293,4512544,6631416,2469421,872653,,65.572714,TJ
56318348,28130445,28187903,37296263,19022085,6047600,7050867,63.579079,TZ
69428524,33833419,35595105,34749671,34678853,10156316,13924038,135.89721,TH
1267972,640852,627120,880252,387720,,,85.270477,TL
7889094,3923401,3965693,4599184,3289910,1745744,1745744,145.04677,TG
103197,51612,51585,79327,23870,,,143.32917,TO
1389858,686710,703148,650676,739182,544417,,270.92749,TT
11565204,5732044,5833160,3591574,7973630,2290777,2290777,74.441323,TN
82319724,40601888,41717836,20462214,61857510,14750771,30339219,106.96013,TR
5850908,2880944,2969964,2832249,3018659,810186,,12.450595,TM
37665,,,2600,35065,,,39.647368,TC
11508,,,4329,7179,,,383.6,TV
42723139,21030004,21693135,32566140,10156999,2986352,2986352,213.06173,UG
44622516,20665691,23956825,13675909,30946607,2956706,5403788,77.029667,UA
9630959,6680352,2950607,1298061,8332898,2785376,5775924,135.60911,AE
66460344,32807966,33652378,11033746,55426598,9046485,17831615,274.70898,GB
326687501,161644928,165042573,57967430,268720071,18819361,151340879,35.713622,US
3449299,1665268,1784031,160944,3288355,1736989,1736989,19.708028,UY
32955400,16432433,16522967,16320173,16635227,2463969,2463969,77.469205,UZ
292680,148422,144258,218708,73972,,,24.009844,VU
28870195,14252274,14617921,3404373,25465822,2934560,9339955,32.730792,VE
95540395,47678087,47862308,61223241,34317154,8145361,16156245,308.12525,VN
106977,50881,56096,4578,102399,,,305.64857,VI
4569087,2317549,2251538,1089088,3479999,673638,,758.98455,PS
28498687,14360016,14138671,18056198,10442489,2779317,2779317,53.977853,YE
17351822,8590330,8761492,9800136,7551686,2523844,2523844,23.341479,ZM
14439018,6879217,7559801,9788355,4650663,1515016,1515016,37.324591,ZW
