key,date,current_hospitalized,current_intensive_care,total_recovered,total_deceased,current_hospitalized_female,current_hospitalized_male,current_intensive_care_female,current_intensive_care_male,total_recovered_female,total_recovered_male,total_deceased_female,total_deceased_male,new_recovered,new_deceased,new_recovered_female,new_recovered_male,new_deceased_female,new_deceased_male
FR,2020-03-18,2933,764,811,217,1248,1685,239,525,379,432,96,121,,,,,,
FR,2020-03-19,3888,973,1142,315,1632,2256,284,689,562,580,136,179,331,98,183,148,40,58
FR,2020-03-20,5046,1267,1541,440,2134,2912,362,905,764,777,190,250,399,125,202,197,54,71
FR,2020-03-21,5699,1419,1769,516,2401,3298,401,1018,888,881,219,297,228,76,124,104,29,47
FR,2020-03-22,6721,1637,2071,619,2815,3906,461,1176,1040,1031,263,356,302,103,152,150,44,59
FR,2020-03-23,8414,2034,2517,847,3532,4882,569,1465,1247,1270,350,497,446,228,207,239,87,141
FR,2020-03-24,9992,2467,3233,1086,4149,5843,694,1773,1624,1609,425,661,716,239,377,339,75,164
FR,2020-03-25,11920,2912,4028,1375,4856,7064,785,2127,2028,2000,557,818,795,289,404,391,132,157
FR,2020-03-26,13722,3325,4880,1683,5570,8152,888,2437,2456,2424,681,1002,852,308,428,424,124,184
FR,2020-03-27,15536,3726,5626,1984,6248,9288,991,2735,2806,2820,809,1175,746,301,350,396,128,173
FR,2020-03-28,17395,4202,6540,2301,6995,10400,1097,3105,3251,3289,927,1374,914,317,445,469,118,199
FR,2020-03-29,19113,4559,7044,2593,7643,11470,1162,3397,3516,3528,1032,1561,504,292,265,239,105,187
FR,2020-03-30,20736,5024,7825,3009,8279,12457,1268,3756,3885,3940,1191,1818,781,416,369,412,159,257
FR,2020-03-31,22443,5460,9333,3504,8984,13459,1391,4069,4599,4734,1361,2143,1508,495,714,794,170,325
FR,2020-04-01,24306,5901,10807,4009,9738,14568,1506,4395,5268,5539,1537,2472,1474,505,669,805,176,329
FR,2020-04-02,25868,6256,12288,4477,10391,15477,1610,4646,5961,6327,1710,2767,1481,468,693,788,173,295
FR,2020-04-03,27026,6500,13858,5059,10922,16104,1651,4849,6681,7177,1954,3105,1570,582,720,850,244,338
FR,2020-04-04,27713,6663,15277,5495,11353,16360,1711,4952,7257,8020,2125,3370,1419,436,576,843,171,265
FR,2020-04-05,28428,6795,16022,5850,11713,16715,1757,5038,7597,8425,2256,3594,745,355,340,405,131,224
FR,2020-04-06,29244,6884,17086,6445,12135,17109,1776,5108,8064,9022,2496,3949,1064,595,467,597,240,355
FR,2020-04-07,29559,6939,19149,7036,12370,17189,1797,5142,8992,10157,2734,4302,2063,591,928,1135,238,353
FR,2020-04-08,29904,6954,21053,7571,12657,17247,1815,5139,9841,11212,2947,4624,1904,535,849,1055,213,322
FR,2020-04-09,30289,6874,22992,7981,12988,17301,1794,5080,10716,12276,3099,4882,1939,410,875,1064,152,258
FR,2020-04-10,30803,6810,24705,8527,13429,17374,1796,5014,11428,13277,3319,5208,1713,546,712,1001,220,326
FR,2020-04-11,30850,6685,26149,8871,13587,17263,1758,4927,12038,14111,3469,5402,1444,344,610,834,150,194
FR,2020-04-12,31344,6646,26932,9180,13938,17406,1744,4902,12376,14556,3592,5588,783,309,338,445,123,186
FR,2020-04-13,31620,6624,27460,9511,14133,17487,1747,4877,12575,14885,3725,5786,528,331,199,329,133,198
FR,2020-04-14,31811,6535,28536,10045,14351,17460,1744,4791,13046,15490,3953,6092,1076,534,471,605,228,306
FR,2020-04-15,31323,6266,30667,10558,14244,17079,1682,4584,14028,16639,4194,6364,2131,513,982,1149,241,272
FR,2020-04-16,30873,6074,32517,10962,14098,16775,1622,4452,14868,17649,4377,6585,1850,404,840,1010,183,221
FR,2020-04-17,30765,5859,34105,11373,14162,16603,1557,4302,15591,18514,4546,6827,1588,411,723,865,169,242
FR,2020-04-18,30226,5672,35652,11739,14016,16210,1498,4174,16305,19347,4711,7028,1547,366,714,833,165,201
FR,2020-04-19,30200,5585,36238,11964,14040,16160,1470,4115,16582,19656,4811,7153,586,225,277,309,100,125
FR,2020-04-20,30163,5523,37062,12405,14095,16068,1463,4060,16992,20070,4998,7407,824,441,410,414,187,254
FR,2020-04-21,29689,5278,38824,12790,14042,15647,1388,3890,17832,20992,5154,7636,1762,385,840,922,156,229
FR,2020-04-22,29336,5072,40287,13121,13930,15406,1333,3739,18546,21741,5296,7825,1463,331,714,749,142,189
FR,2020-04-23,28840,4921,41701,13426,13797,15043,1282,3639,19226,22475,5423,8003,1414,305,680,734,127,178
FR,2020-04-24,28290,4740,43092,13732,13559,14731,1236,3504,19917,23175,5553,8179,1391,306,691,700,130,176
FR,2020-04-25,27857,4597,44186,13931,13427,14430,1199,3398,20419,23767,5637,8294,1094,199,502,592,84,115
FR,2020-04-26,27848,4556,44490,14083,13443,14405,1187,3369,20566,23924,5697,8386,304,152,147,157,60,92
FR,2020-04-27,27686,4486,45094,14378,13371,14315,1182,3304,20846,24248,5819,8559,604,295,280,324,122,173
FR,2020-04-28,27344,4356,45906,14567,13239,14105,1148,3208,21256,24650,5890,8677,812,189,410,402,71,118
FR,2020-04-29,26656,4115,48000,14995,12965,13691,1072,3043,22283,25717,6062,8933,2094,428,1027,1067,172,256
FR,2020-04-30,26119,3936,49241,15183,12761,13358,1027,2909,22885,26356,6149,9034,1241,188,602,639,87,101
