key,date,nakazavzahranici,new_confirmed,nakazavzahranici_age_06,nakazavzahranici_age_02,nakazavzahranici_age_04,nakazavzahranici_age_00,nakazavzahranici_age_03,nakazavzahranici_age_05,nakazavzahranici_age_01,nakazavzahranici_age_08,nakazavzahranici_age_07,nakazavzahranici_age_09,new_confirmed_age_06,new_confirmed_age_02,new_confirmed_age_04,new_confirmed_age_00,new_confirmed_age_03,new_confirmed_age_05,new_confirmed_age_01,new_confirmed_age_08,new_confirmed_age_07,new_confirmed_age_09,nakazavzahranici_male,nakazavzahranici_female,new_confirmed_male,new_confirmed_female,age_bin_00,age_bin_01,age_bin_02,age_bin_03,age_bin_04,age_bin_05,age_bin_06,age_bin_07,age_bin_08,age_bin_09,total_confirmed,total_confirmed_age_06,total_confirmed_age_02,total_confirmed_age_04,total_confirmed_age_00,total_confirmed_age_03,total_confirmed_age_05,total_confirmed_age_01,total_confirmed_age_08,total_confirmed_age_07,total_confirmed_age_09,total_confirmed_male,total_confirmed_female
CZ_10,2020-02-29,1,1,1,,,,,,,,,,1,,,,,,,,,,1,,1,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,1,0,0,0,0,0,0,0,0,0,1,0
CZ_10,2020-03-01,1,1,,1,,,,,,,,,,1,,,,,,,,,,1,,1,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,1,1,0,0,0,0,0,0,0,0,1,1
CZ_10,2020-03-03,2,2,,,2,,,,,,,,,,2,,,,,,,,1,1,1,1,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,4,1,1,2,0,0,0,0,0,0,0,2,2
CZ_10,2020-03-04,1,1,,,1,,,,,,,,,,1,,,,,,,,1,,1,,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,5,1,1,3,0,0,0,0,0,0,0,3,2
CZ_10,2020-03-05,2,2,,,1,1,,,,,,,,,1,1,,,,,,,1,1,1,1,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,7,1,1,4,1,0,0,0,0,0,0,4,3
CZ_10,2020-03-06,2,2,1,,,,1,,,,,,1,,,,1,,,,,,1,1,1,1,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,9,2,1,4,1,1,0,0,0,0,0,5,4
CZ_10,2020-03-07,7,9,,0,2,1,2,2,,,,,,1,2,1,3,2,,,,,3,4,4,5,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,18,2,2,6,2,4,2,0,0,0,0,9,9
CZ_10,2020-03-08,2,4,1,,0,,,,1,,,,2,,1,,,,1,,,,2,0,3,1,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,22,4,2,7,2,4,2,1,0,0,0,12,10
CZ_10,2020-03-09,3,3,1,,1,,,1,,,,,1,,1,,,1,,,,,2,1,2,1,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,25,5,2,8,2,4,3,1,0,0,0,14,11
CZ_10,2020-03-10,1,11,0,0,0,0,0,,1,0,,,1,2,2,1,3,,1,1,,,1,0,5,6,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,36,6,4,10,3,7,3,2,1,0,0,19,17
