date,total_confirmed,total_deceased,total_recovered,key,new_confirmed,new_deceased,new_recovered
2020-02-25,,,,AR_A,,,
2020-02-26,,,,AR_A,,,
2020-02-27,,,,AR_A,,,
2020-02-28,,,,AR_A,,,
2020-02-29,,,,AR_A,,,
2020-03-01,,,,AR_A,,,
2020-03-02,,,,AR_A,,,
2020-03-03,,,,AR_A,,,
2020-03-04,,,,AR_A,,,
2020-03-05,,,,AR_A,,,
2020-03-06,,,,AR_A,,,
2020-03-07,,,,AR_A,,,
2020-03-08,,,,AR_A,,,
2020-03-09,,,,AR_A,,,
2020-03-10,,,,AR_A,,,
2020-03-11,,,,AR_A,,,
2020-03-12,,,,AR_A,,,
2020-03-13,1,,,AR_A,,,
2020-03-14,1,,,AR_A,0,,
2020-03-15,1,,,AR_A,0,,
2020-03-16,2,,,AR_A,1,,
2020-03-17,8,,,AR_A,6,,
2020-03-18,8,,,AR_A,0,,
2020-03-19,10,,,AR_A,2,,
2020-03-20,10,,,AR_A,0,,
2020-03-21,14,,,AR_A,4,,
2020-03-22,14,,,AR_A,0,,
2020-03-23,14,,,AR_A,0,,
2020-03-24,17,,,AR_A,3,,
2020-03-25,20,,,AR_A,3,,
2020-03-26,21,,,AR_A,1,,
2020-03-27,23,,,AR_A,2,,
2020-03-28,28,,,AR_A,5,,
2020-03-29,28,,,AR_A,0,,
2020-03-30,28,,,AR_A,0,,
2020-03-31,30,,,AR_A,2,,
2020-04-01,42,,,AR_A,12,,
2020-04-02,52,,,AR_A,10,,
2020-04-03,55,,,AR_A,3,,
2020-04-04,60,,,AR_A,5,,
2020-04-05,61,,,AR_A,1,,
2020-04-06,65,,,AR_A,4,,
2020-04-07,71,,,AR_A,6,,
2020-04-08,73,,,AR_A,2,,
2020-04-09,74,,,AR_A,1,,
2020-04-10,78,,,AR_A,4,,
2020-04-11,83,2,,AR_A,5,,
2020-04-12,85,2,,AR_A,2,0,
2020-04-13,93,2,,AR_A,8,0,
2020-04-14,101,3,,AR_A,8,1,
2020-04-15,104,3,,AR_A,3,0,
