key,date,new_deceased,new_deceased_age_06,new_deceased_age_04,new_deceased_age_05,new_deceased_age_02,new_deceased_age_03,new_deceased_age_01,new_deceased_age_00,new_deceased_male,new_deceased_female,age_bin_00,age_bin_01,age_bin_02,age_bin_03,age_bin_04,age_bin_05,age_bin_06,total_deceased,total_deceased_age_06,total_deceased_age_04,total_deceased_age_05,total_deceased_age_02,total_deceased_age_03,total_deceased_age_01,total_deceased_age_00,total_deceased_male,total_deceased_female
CZ_10,2020-03-22,1,1,,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,1,1,0,0,0,0,0,0,1,0
CZ_10,2020-03-24,1,,1,,,,,,,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,2,1,1,0,0,0,0,0,1,1
CZ_10,2020-03-25,4,2,1,1,,,,,2,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,6,3,2,1,0,0,0,0,3,3
CZ_10,2020-03-27,2,1,,1,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,8,4,2,2,0,0,0,0,5,3
CZ_10,2020-03-28,3,,1,2,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,11,4,3,4,0,0,0,0,6,5
CZ_10,2020-03-29,2,,,2,,,,,,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,13,4,3,6,0,0,0,0,6,7
CZ_10,2020-03-30,4,2,,1,1,,,,2,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,17,6,3,7,1,0,0,0,8,9
CZ_10,2020-03-31,3,2,,1,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,20,8,3,8,1,0,0,0,9,11
CZ_10,2020-04-01,3,,,3,,,,,2,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,23,8,3,11,1,0,0,0,11,12
CZ_10,2020-04-02,2,1,,1,,,,,2,,30-39,40-49,50-59,60-69,70-79,80-89,90-,25,9,3,12,1,0,0,0,13,12
CZ_10,2020-04-03,4,2,1,1,,,,,3,1,30-39,40-49,50-59,60-69,70-79,80-89,90-,29,11,4,13,1,0,0,0,16,13
CZ_10,2020-04-04,5,3,,2,,,,,1,4,30-39,40-49,50-59,60-69,70-79,80-89,90-,34,14,4,15,1,0,0,0,17,17
CZ_10,2020-04-05,3,3,,,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,37,17,4,15,1,0,0,0,18,19
CZ_10,2020-04-06,3,,1,2,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,40,17,5,17,1,0,0,0,19,21
CZ_10,2020-04-07,3,,,1,1,1,,,3,,30-39,40-49,50-59,60-69,70-79,80-89,90-,43,17,5,18,2,1,0,0,22,21
CZ_10,2020-04-08,6,1,3,2,,,,,3,3,30-39,40-49,50-59,60-69,70-79,80-89,90-,49,18,8,20,2,1,0,0,25,24
CZ_10,2020-04-09,1,,1,,,,,,1,,30-39,40-49,50-59,60-69,70-79,80-89,90-,50,18,9,20,2,1,0,0,26,24
CZ_10,2020-04-10,6,1,2,2,,1,,,4,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,56,19,11,22,2,2,0,0,30,26
CZ_10,2020-04-11,5,,2,2,1,,,,3,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,61,19,13,24,3,2,0,0,33,28
CZ_10,2020-04-12,3,2,1,,,,,,1,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,64,21,14,24,3,2,0,0,34,30
CZ_10,2020-04-13,4,2,1,1,,,,,2,2,30-39,40-49,50-59,60-69,70-79,80-89,90-,68,23,15,25,3,2,0,0,36,32
