3166-1-alpha-3,continent,location,date,total_confirmed,new_confirmed,total_deceased,new_deceased,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tested,new_tested,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,3166-1-alpha-2,key,total_tests_smoothed,total_tests_smoothed_per_thousand
AFG,Asia,Afghanistan,2019-12-30,0,0,0,0,0,0,0,0,,,,,,,,,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2019-12-31,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-01,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-02,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-03,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-04,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-05,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-06,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-07,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-08,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-09,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-10,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-11,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-12,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-13,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-14,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-15,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-16,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
AFG,Asia,Afghanistan,2020-01-17,0,0,0,0,0,0,0,0,,,,,,,,0,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,AF,AF,,
