date,total_confirmed,total_deceased,total_tested,total_recovered,current_hospitalized,total_hospitalized,current_intensive_care,total_intensive_care,current_ventilator,total_ventilator,key,new_confirmed,new_deceased,new_tested,new_recovered,new_hospitalized,new_intensive_care,new_ventilator
2020-06-27,854,14,105581,521,11,,,,1,,US_AK,18,0,3789,2,0,,
2020-06-26,836,14,101792,519,12,,,,2,,US_AK,20,2,2340,6,0,,
2020-06-25,816,12,99452,513,14,,,,2,,US_AK,24,0,3356,6,0,,
2020-06-24,792,12,96096,507,16,,,,2,,US_AK,14,0,3149,5,0,,
2020-06-23,778,12,92947,502,14,,,,1,,US_AK,17,0,2123,11,0,,
2020-06-22,761,12,90824,491,13,,,,1,,US_AK,6,0,2773,16,0,,
2020-06-21,755,12,88051,475,15,,,,1,,US_AK,12,0,1133,11,0,,
2020-06-20,743,12,86918,464,16,,,,1,,US_AK,21,0,3287,7,0,,
2020-06-19,722,12,83631,457,18,,,,1,,US_AK,14,0,2446,8,0,,
2020-06-18,708,12,81185,449,18,,,,0,,US_AK,12,0,3476,11,0,,
2020-06-17,696,12,77709,438,23,,,,0,,US_AK,20,0,1494,9,0,,
2020-06-16,676,12,76215,429,22,,,,2,,US_AK,12,0,1778,12,0,,
2020-06-15,664,12,74437,417,21,,,,3,,US_AK,3,0,970,6,0,,
2020-06-14,661,12,73467,411,11,,,,1,,US_AK,7,0,1664,6,0,,
2020-06-13,654,12,71803,405,12,,,,2,,US_AK,29,0,923,2,0,,
2020-06-12,625,12,70880,403,15,,,,3,,US_AK,14,1,1869,6,0,,
2020-06-11,611,11,69011,397,18,,,,4,,US_AK,18,0,1291,5,0,,
2020-06-10,593,11,67720,392,22,,,,3,,US_AK,20,0,830,3,0,,
2020-06-09,573,11,66890,389,12,,,,1,,US_AK,10,1,978,5,0,,
2020-06-08,563,10,65912,384,7,,,,0,,US_AK,19,0,1008,2,0,,
2020-06-07,544,10,64904,382,7,,,,1,,US_AK,8,0,1003,0,0,,
2020-06-06,536,10,63901,382,7,48,,,1,,US_AK,12,0,2911,2,12,,
2020-06-05,524,10,60990,380,8,,,,1,,US_AK,11,0,893,4,0,,
2020-06-04,513,10,60097,376,13,,,,1,,US_AK,8,0,1915,3,0,,
2020-06-03,505,10,58182,373,11,,,,0,,US_AK,18,0,1979,2,0,,
2020-06-02,487,10,56203,371,10,,,,0,,US_AK,20,0,2013,3,0,,
2020-06-01,467,10,54190,368,10,,,,1,,US_AK,33,0,2495,0,0,,
2020-05-31,434,10,51695,368,14,,,,2,,US_AK,0,0,0,0,0,,
2020-05-30,434,10,51695,368,14,,,,2,,US_AK,4,0,2256,1,0,,
2020-05-29,430,10,49439,367,14,,,,1,,US_AK,5,0,1469,1,0,,
2020-05-28,425,10,47970,366,10,,,,,,US_AK,13,0,1607,2,0,,
2020-05-27,412,10,46363,364,14,,,,,,US_AK,1,0,1399,2,0,,
2020-05-26,411,10,44964,362,12,,,,,,US_AK,2,0,492,1,0,,
2020-05-25,409,10,44472,361,10,,,,,,US_AK,1,0,965,3,0,,
2020-05-24,408,10,43507,358,10,,,,,,US_AK,0,0,1156,0,0,,
2020-05-23,408,10,42351,358,10,,,,,,US_AK,4,0,905,2,0,,
2020-05-22,404,10,41446,356,15,,,,,,US_AK,2,0,1901,0,0,,
2020-05-21,402,10,39545,356,19,,,,,,US_AK,0,0,2500,4,0,,
2020-05-20,402,10,37045,352,16,,,,,,US_AK,3,0,665,4,0,,
2020-05-19,399,10,36380,348,16,,,,,,US_AK,0,0,769,3,0,,
2020-05-18,399,10,35611,345,9,,,,,,US_AK,3,0,960,1,0,,
2020-05-17,396,10,34651,344,13,,,,,,US_AK,4,0,1370,0,0,,
2020-05-16,392,10,33281,344,10,,,,,,US_AK,4,0,863,1,0,,
2020-05-15,388,10,32418,343,8,,,,,,US_AK,1,0,656,4,0,,
2020-05-14,387,10,31762,339,12,,,,,,US_AK,4,0,1113,1,0,,
2020-05-13,383,10,30649,338,12,,,,,,US_AK,0,0,688,4,0,,
2020-05-12,383,10,29961,334,10,,,,,,US_AK,2,0,1281,6,0,,
2020-05-11,381,10,28680,328,7,,,,,,US_AK,2,0,1316,4,0,,
2020-05-10,379,10,27364,324,8,,,,,,US_AK,1,0,915,6,0,,
2020-05-09,378,10,26449,318,8,,,,,,US_AK,1,0,976,13,0,,
2020-05-08,377,10,25473,305,16,,,,,,US_AK,3,0,1132,14,0,,
2020-05-07,374,10,24341,291,12,,,,,,US_AK,2,0,686,7,0,,
2020-05-06,372,10,23655,284,8,,,,,,US_AK,1,1,963,7,0,,
2020-05-05,371,9,22692,277,13,,,,,,US_AK,1,0,969,14,0,,
2020-05-04,370,9,21723,263,12,,,,,,US_AK,2,0,145,1,0,,
2020-05-03,368,9,21578,262,12,,,,,,US_AK,3,0,179,1,0,,
2020-05-02,365,9,21399,261,10,,,,,,US_AK,1,0,1074,7,0,,
2020-05-01,364,9,20325,254,25,,,,,,US_AK,9,0,1206,2,0,,
2020-04-30,355,9,19119,252,19,,,,,,US_AK,0,0,0,12,0,,
2020-04-29,355,9,19119,240,14,,,,,,US_AK,4,0,2030,12,0,,
2020-04-28,351,9,17089,228,16,,,,,,US_AK,6,0,833,10,0,,
2020-04-27,345,9,16256,218,10,,,,,,US_AK,4,0,79,1,0,,
2020-04-26,341,9,16177,217,14,,,,,,US_AK,2,0,445,0,0,,
2020-04-25,339,9,15732,217,32,,,,,,US_AK,0,0,3451,9,0,,
2020-04-24,339,9,12281,208,36,,,,,,US_AK,2,0,120,-1,0,,
2020-04-23,337,9,12161,209,42,,,,,,US_AK,2,0,2,13,0,,
2020-04-22,335,9,12159,196,39,36,,,,,US_AK,6,0,1040,28,0,,
2020-04-21,329,9,11119,168,42,36,,,,,US_AK,8,0,995,7,0,,
2020-04-20,321,9,10124,161,46,36,,,,,US_AK,2,0,229,8,0,,
2020-04-19,319,9,9895,153,37,36,,,,,US_AK,5,0,240,6,0,,
2020-04-18,314,9,9655,147,39,36,,,,,US_AK,5,0,205,19,0,,
2020-04-17,309,9,9450,128,,36,,,,,US_AK,9,0,715,18,1,,
2020-04-16,300,9,8735,110,,35,,,,,US_AK,7,0,71,4,1,,
2020-04-15,293,9,8664,106,,34,,,,,US_AK,8,0,316,8,2,,
2020-04-14,285,9,8348,98,,32,,,,,US_AK,8,1,518,13,0,,
2020-04-13,277,8,7830,85,,32,,,,,US_AK,5,0,-208,19,1,,
2020-04-12,272,8,8038,66,,31,,,,,US_AK,15,0,306,3,0,,
2020-04-11,257,8,7732,63,,31,,,,,US_AK,11,1,300,8,3,,
2020-04-10,246,7,7432,55,,28,,,,,US_AK,11,0,209,6,1,,
2020-04-09,235,7,7223,49,,27,,,,,US_AK,9,0,155,17,0,,
2020-04-08,226,7,7068,32,,27,,,,,US_AK,13,1,155,3,4,,
2020-04-07,213,6,6913,29,,23,,,,,US_AK,22,0,30,,0,,
2020-04-06,191,6,6883,,,23,,,,,US_AK,6,0,599,,3,,
2020-04-05,185,6,6284,,,20,,,,,US_AK,14,1,244,,4,,
2020-04-04,171,5,6040,,,16,,,,,US_AK,14,2,24,,1,,
2020-04-03,157,3,6016,,,15,,,,,US_AK,14,0,994,,6,,
2020-04-02,143,3,5022,,,9,,,,,US_AK,10,0,419,,0,,
2020-04-01,133,3,4603,,,9,,,,,US_AK,14,0,890,,2,,
2020-03-31,119,3,3713,,,7,,,,,US_AK,5,0,59,,0,,
2020-03-30,114,3,3654,,,7,,,,,US_AK,12,1,320,,1,,
2020-03-29,102,2,3334,,,6,,,,,US_AK,17,0,413,,1,,
2020-03-28,85,2,2921,,,5,,,,,US_AK,16,1,520,,2,,
2020-03-27,69,1,2401,,,3,,,,,US_AK,10,0,541,,0,,
2020-03-26,59,1,1860,,,3,,,,,US_AK,17,0,169,,2,,
2020-03-25,42,1,1691,,,1,,,,,US_AK,6,1,669,,1,,
2020-03-24,36,0,1022,,,0,,,,,US_AK,14,0,54,,0,,
2020-03-23,22,0,968,,,0,,,,,US_AK,0,0,0,,0,,
2020-03-22,22,0,968,,,0,,,,,US_AK,8,0,196,,0,,
2020-03-21,14,0,772,,,0,,,,,US_AK,2,0,74,,,,
2020-03-20,12,0,698,,,,,,,,US_AK,6,0,260,,,,
2020-03-19,6,0,438,,,,,,,,US_AK,0,0,26,,,,
2020-03-18,6,0,412,,,,,,,,US_AK,3,0,75,,,,
2020-03-17,3,0,337,,,,,,,,US_AK,2,0,193,,,,
2020-03-16,1,0,144,,,,,,,,US_AK,0,0,0,,,,
2020-03-15,1,0,144,,,,,,,,US_AK,0,0,0,,,,
2020-03-14,1,0,144,,,,,,,,US_AK,0,0,84,,,,
2020-03-13,1,0,60,,,,,,,,US_AK,1,0,0,,,,
2020-03-12,0,0,60,,,,,,,,US_AK,0,0,0,,,,
2020-03-11,0,0,60,,,,,,,,US_AK,0,0,28,,,,
2020-03-10,0,0,32,,,,,,,,US_AK,0,0,0,,,,
2020-03-09,0,0,32,,,,,,,,US_AK,0,0,12,,,,
2020-03-08,0,0,20,,,,,,,,US_AK,0,0,6,,,,
2020-03-07,0,0,14,,,,,,,,US_AK,0,0,5,,,,
2020-03-06,0,0,9,,,,,,,,US_AK,,,,,,,
2020-06-27,35083,919,384026,18866,655,2697,,789,,453,US_AL,900,12,5703,0,44,17,3
2020-06-26,34183,907,378323,18866,658,2653,,772,,450,US_AL,977,11,8865,0,41,11,3
2020-06-25,33206,896,369458,18866,693,2612,,761,,447,US_AL,1142,5,10699,0,45,12,6
2020-06-24,32064,891,358759,18866,667,2567,,749,,441,US_AL,967,27,4721,2892,46,12,11
2020-06-23,31097,864,354038,15974,680,2521,,737,,430,US_AL,643,23,4928,0,50,12,6
2020-06-22,30454,841,349110,15974,658,2471,,725,,424,US_AL,433,2,4432,0,11,4,0
2020-06-21,30021,839,344678,15974,593,2460,,721,,424,US_AL,472,1,5155,0,17,4,6
2020-06-20,29549,838,339523,15974,628,2443,,717,,418,US_AL,547,16,8198,0,27,7,3
2020-06-19,29002,822,331325,15974,674,2416,,710,,415,US_AL,796,12,8791,0,43,15,10
2020-06-18,28206,810,322534,15974,663,2373,,695,,405,US_AL,894,20,11811,0,21,8,4
2020-06-17,27312,790,310723,15974,677,2352,,687,,401,US_AL,400,5,5299,2466,37,5,2
2020-06-16,26912,785,305424,13508,678,2315,,682,,399,US_AL,640,11,2750,0,56,6,4
2020-06-15,26272,774,302674,13508,546,2259,,676,,395,US_AL,657,1,5219,0,4,1,0
2020-06-14,25615,773,297455,13508,540,2255,,675,,395,US_AL,1014,0,4203,0,14,3,0
2020-06-13,24601,773,293252,13508,622,2241,,672,,395,US_AL,891,4,6867,0,39,14,11
2020-06-12,23710,769,286385,13508,622,2202,,658,,384,US_AL,865,14,7559,0,37,8,4
2020-06-11,22845,755,278826,13508,647,2165,,650,,380,US_AL,856,11,5769,0,36,4,2
2020-06-10,21989,744,273057,13508,629,2129,,646,,378,US_AL,567,15,5318,2113,42,15,3
2020-06-09,21422,729,267739,11395,600,2087,,631,,375,US_AL,497,11,7748,0,33,8,4
2020-06-08,20925,718,259991,11395,,2054,,623,,371,US_AL,425,26,425,0,32,8,7
2020-06-07,20500,692,259566,11395,,2022,,615,,364,US_AL,457,3,13922,0,29,3,1
2020-06-06,20043,689,245644,11395,,1993,,612,,363,US_AL,656,13,6171,0,44,9,5
2020-06-05,19387,676,239473,11395,,1949,,603,,358,US_AL,315,23,4174,0,20,2,1
2020-06-04,19072,653,235299,11395,,1929,,601,,357,US_AL,221,0,3705,0,29,10,2
2020-06-03,18851,653,231594,11395,,1900,,591,,355,US_AL,209,2,7792,2040,21,0,0
2020-06-02,18642,651,223802,9355,,1879,,591,,355,US_AL,279,5,279,0,23,0,0
2020-06-01,18363,646,223523,9355,,1856,,591,,355,US_AL,460,15,5970,0,12,2,0
2020-05-31,17903,631,217553,9355,,1844,,589,,355,US_AL,544,13,5352,0,18,6,6
2020-05-30,17359,618,212201,9355,,1826,,583,,349,US_AL,536,13,3318,0,26,6,5
2020-05-29,16823,605,208883,9355,,1800,,577,,344,US_AL,513,15,8402,0,35,11,6
2020-05-28,16310,590,200481,9355,,1765,,566,,338,US_AL,467,9,4687,1404,46,6,4
2020-05-27,15843,581,195794,7951,,1719,,560,,334,US_AL,447,6,2035,0,48,9,7
2020-05-26,15396,575,193759,7951,,1671,,551,,327,US_AL,666,13,3444,0,42,8,4
2020-05-25,14730,562,190315,7951,,1629,,543,,323,US_AL,403,11,4516,0,17,6,3
2020-05-24,14327,551,185799,7951,,1612,,537,,320,US_AL,389,5,3123,0,23,-1,1
2020-05-23,13938,546,182676,7951,,1589,,538,,319,US_AL,375,9,4908,0,28,7,4
2020-05-22,13563,537,177768,7951,,1561,,531,,315,US_AL,444,8,7029,,33,5,4
2020-05-21,13119,529,170739,,,1528,,526,,311,US_AL,375,12,6289,,35,2,2
2020-05-20,12744,517,164450,,,1493,,524,,309,US_AL,368,13,6884,,40,7,3
2020-05-19,12376,504,157566,,,1453,,517,,306,US_AL,290,15,443,,37,5,4
2020-05-18,12086,489,157123,,,1416,,512,,302,US_AL,315,1,773,,24,8,6
2020-05-17,11771,488,156350,,,1392,,504,,296,US_AL,248,3,2856,,5,3,1
2020-05-16,11523,485,153494,,,1387,,501,,295,US_AL,307,9,7431,,10,4,2
2020-05-15,11216,476,146063,,,1377,,497,,293,US_AL,248,9,4078,,27,8,2
2020-05-14,10968,467,141985,,,1350,,489,,291,US_AL,351,18,5613,,33,12,7
2020-05-13,10617,449,136372,,,1317,,477,,284,US_AL,307,20,3154,,30,9,4
2020-05-12,10310,429,133218,,,1287,,468,,280,US_AL,301,28,3774,,31,5,4
2020-05-11,10009,401,129444,,,1256,,463,,276,US_AL,232,8,2023,,16,3,2
2020-05-10,9777,393,127421,,,1240,,460,,274,US_AL,210,5,1927,,12,1,2
2020-05-09,9567,388,125494,,,1228,,459,,272,US_AL,346,13,5380,,21,5,6
2020-05-08,9221,375,120114,,,1207,,454,,266,US_AL,323,26,4941,,29,6,0
2020-05-07,8898,349,115173,,,1178,,448,,266,US_AL,317,9,5657,,20,6,2
2020-05-06,8581,340,109516,,,1158,,442,,264,US_AL,296,27,2750,,51,14,9
2020-05-05,8285,313,106766,,,1107,,428,,255,US_AL,260,17,3649,,43,17,8
2020-05-04,8025,296,103117,,,1064,,411,,247,US_AL,300,6,10617,,29,8,5
2020-05-03,7725,290,92500,,,1035,,403,,242,US_AL,291,2,291,,12,68,47
2020-05-02,7434,288,92209,,,1023,,335,,195,US_AL,276,9,276,,15,0,0
2020-05-01,7158,279,91933,,,1008,,335,,195,US_AL,139,10,4737,,30,0,0
2020-04-30,7019,269,87196,,,978,,335,,195,US_AL,177,24,6747,,33,0,0
2020-04-29,6842,245,80449,,,945,,335,,195,US_AL,155,3,4622,,34,0,0
2020-04-28,6687,242,75827,,,911,,335,,195,US_AL,188,20,1830,,39,0,0
2020-04-27,6499,222,73997,,,872,,335,,195,US_AL,229,6,446,,27,47,25
2020-04-26,6270,216,73551,,,845,,288,,170,US_AL,133,4,2207,,6,0,0
2020-04-25,6137,212,71344,,,839,,288,,170,US_AL,305,15,18649,,71,0,0
2020-04-24,5832,197,52695,,,768,,288,,170,US_AL,54,0,54,,0,0,0
2020-04-23,5778,197,52641,,,768,,288,,170,US_AL,313,3,3881,,38,0,0
2020-04-22,5465,194,48760,,,730,,288,,170,US_AL,234,17,234,,31,28,13
2020-04-21,5231,177,48526,,,699,,260,,157,US_AL,206,10,2626,,58,0,0
2020-04-20,5025,167,45900,,,641,,260,,157,US_AL,188,13,188,,0,0,0
2020-04-19,4837,154,45712,,,641,,260,,157,US_AL,182,8,3174,,21,13,9
2020-04-18,4655,146,42538,,,620,,247,,148,US_AL,125,2,4690,,26,0,0
2020-04-17,4530,144,37848,,,594,,247,,148,US_AL,185,11,1457,,41,20,11
2020-04-16,4345,133,36391,,,553,,227,,137,US_AL,232,12,2314,,28,8,3
2020-04-15,4113,121,34077,,,525,,219,,134,US_AL,237,11,960,,32,9,2
2020-04-14,3876,110,33117,,,493,,210,,132,US_AL,142,11,3935,,36,21,13
2020-04-13,3734,99,29182,,,457,,189,,119,US_AL,209,6,7599,,20,0,0
2020-04-12,3525,93,21583,,,437,,189,,119,US_AL,334,2,334,,35,12,6
2020-04-11,3191,91,21249,,,402,,177,,113,US_AL,223,11,223,,34,,
2020-04-10,2968,80,21026,,,368,,,,,US_AL,199,6,199,,35,,
2020-04-09,2769,74,20827,,,333,,,,,US_AL,400,8,1705,,19,,
2020-04-08,2369,66,19122,,,314,,,,,US_AL,250,10,4206,,43,,
2020-04-07,2119,56,14916,,,271,,,,,US_AL,151,6,151,,31,,
2020-04-06,1968,50,14765,,,240,,,,,US_AL,172,5,1687,,9,,
2020-04-05,1796,45,13078,,,231,,,,,US_AL,216,2,2225,,19,,
2020-04-04,1580,43,10853,,,212,,,,,US_AL,148,8,1234,,,,
2020-04-03,1432,35,9619,,,,,,,,US_AL,199,3,883,,,,
2020-04-02,1233,32,8736,,,,,,,,US_AL,156,6,962,,,,
2020-04-01,1077,26,7774,,,,,,,,US_AL,96,13,495,,,,
2020-03-31,981,13,7279,,,,,,,,US_AL,122,7,726,,,,
2020-03-30,859,6,6553,,,,,,,,US_AL,53,2,1563,,,,
2020-03-29,806,4,4990,,,,,,,,US_AL,110,1,110,,,,
2020-03-28,696,3,4880,,,,,,,,US_AL,109,0,109,,,,
2020-03-27,587,3,4771,,,,,,,,US_AL,81,2,672,,,,
2020-03-26,506,1,4099,,,,,,,,US_AL,223,1,1287,,,,
2020-03-25,283,0,2812,,,,,,,,US_AL,68,0,491,,,,
2020-03-24,215,0,2321,,,,,,,,US_AL,48,0,489,,,,
2020-03-23,167,0,1832,,,,,,,,US_AL,29,0,230,,,,
2020-03-22,138,0,1602,,,,,,,,US_AL,14,0,1450,,,,
2020-03-21,124,0,152,,,,,,,,US_AL,43,0,43,,,,
2020-03-20,81,0,109,,,,,,,,US_AL,13,0,13,,,,
2020-03-19,68,0,96,,,,,,,,US_AL,22,0,22,,,,
2020-03-18,46,0,74,,,,,,,,US_AL,10,0,10,,,,
2020-03-17,36,0,64,,,,,,,,US_AL,8,0,-32,,,,
2020-03-16,28,0,96,,,,,,,,US_AL,16,0,10,,,,
2020-03-15,12,0,86,,,,,,,,US_AL,6,,12,,,,
2020-03-14,6,,74,,,,,,,,US_AL,5,,62,,,,
2020-03-13,1,,12,,,,,,,,US_AL,1,,2,,,,
2020-03-12,0,,10,,,,,,,,US_AL,0,,0,,,,
2020-03-11,0,,10,,,,,,,,US_AL,0,,10,,,,
2020-03-10,0,,0,,,,,,,,US_AL,0,,0,,,,
2020-03-09,0,,0,,,,,,,,US_AL,0,,0,,,,
2020-03-08,0,,0,,,,,,,,US_AL,0,,0,,,,
2020-03-07,0,,0,,,,,,,,US_AL,,,,,,,
2020-06-27,18740,249,283965,12784,284,1337,,,63,206,US_AR,678,9,6585,657,37,0,3
2020-06-26,18062,240,277380,12127,284,1300,,,61,203,US_AR,0,0,0,0,55,0,9
2020-06-25,18062,240,277380,12127,284,1245,,,61,194,US_AR,687,0,5514,559,31,0,5
2020-06-24,17375,240,271866,11568,267,1214,,,58,189,US_AR,697,3,7374,348,26,0,3
2020-06-23,16678,237,264492,11220,248,1188,,,57,186,US_AR,595,10,8153,427,24,0,0
2020-06-22,16083,227,256339,10793,237,1164,,,61,186,US_AR,941,3,14105,711,12,0,2
2020-06-21,15142,224,242234,10082,240,1152,,,59,184,US_AR,0,0,0,0,52,0,9
2020-06-20,15142,224,242234,10082,224,1100,,,53,175,US_AR,511,10,7462,370,0,0,0
2020-06-19,14631,214,234772,9712,224,1100,,,53,175,US_AR,703,6,6338,336,26,0,2
2020-06-18,13928,208,228434,9376,226,1074,,,53,173,US_AR,322,11,7735,380,22,0,5
2020-06-17,13606,197,220699,8996,217,1052,,,53,168,US_AR,415,15,15133,644,26,0,3
2020-06-16,13191,182,205566,8352,214,1026,,,45,165,US_AR,274,0,1428,0,23,0,2
2020-06-15,12917,182,204138,8352,206,1003,,,45,163,US_AR,416,3,7149,242,5,0,1
2020-06-14,12501,179,196989,8110,204,998,,,46,162,US_AR,954,3,9972,503,19,0,2
2020-06-13,11547,176,187017,7607,203,979,,,49,160,US_AR,0,0,5895,0,18,0,3
2020-06-12,11547,176,181122,7607,203,961,,,49,157,US_AR,731,5,4457,256,36,0,7
2020-06-11,10816,171,176665,7351,187,925,,,45,150,US_AR,448,6,448,235,24,0,3
2020-06-10,10368,165,176217,7116,181,901,,,49,147,US_AR,288,4,10436,241,36,0,3
2020-06-09,10080,161,165781,6875,173,865,,,44,144,US_AR,340,6,5194,451,21,0,1
2020-06-08,9740,155,160587,6424,171,844,,,46,143,US_AR,314,1,314,0,0,0,0
2020-06-07,9426,154,160273,6424,145,844,,,35,143,US_AR,325,0,3516,158,6,0,1
2020-06-06,9101,154,156757,6266,154,838,,,36,142,US_AR,450,2,9146,347,46,0,4
2020-06-05,8651,152,147611,5919,147,792,,,32,138,US_AR,584,10,5131,202,35,0,11
2020-06-04,8067,142,142480,5717,138,757,,,30,127,US_AR,0,0,0,0,26,0,3
2020-06-03,8067,142,142480,5717,132,731,,,31,124,US_AR,624,9,9244,316,13,0,0
2020-06-02,7443,133,133236,5401,121,718,,,26,124,US_AR,0,0,0,0,7,0,1
2020-06-01,7443,133,133236,5401,115,711,,,27,123,US_AR,190,0,3721,126,0,0,0
2020-05-31,7253,133,129515,5275,115,711,,,27,123,US_AR,240,0,3018,109,9,0,0
2020-05-30,7013,133,126497,5166,104,702,,,26,123,US_AR,475,8,6729,583,35,0,4
2020-05-29,6538,125,119768,4583,104,667,,,27,119,US_AR,0,5,866,0,27,0,1
2020-05-28,6538,120,118902,4583,104,640,,,27,118,US_AR,261,0,3306,159,13,0,2
2020-05-27,6277,120,115596,4424,108,627,,,22,116,US_AR,97,1,3823,92,10,0,2
2020-05-26,6180,119,111773,4332,107,617,,,18,114,US_AR,151,2,151,83,12,0,3
