country_code,match_string,date,total_confirmed,total_deceased,new_confirmed,new_deceased,key
PL,dolnośląskie,2020-03-18,40,2,,,PL_02
PL,dolnośląskie,2020-03-19,53,2,13,0,PL_02
PL,dolnośląskie,2020-03-20,58,2,5,0,PL_02
PL,dolnośląskie,2020-03-21,66,2,8,0,PL_02
PL,dolnośląskie,2020-03-22,79,2,13,0,PL_02
PL,dolnośląskie,2020-03-23,101,2,22,0,PL_02
PL,dolnośląskie,2020-03-24,134,2,33,0,PL_02
PL,dolnośląskie,2020-03-25,150,5,16,3,PL_02
PL,dolnośląskie,2020-03-26,165,4,15,-1,PL_02
PL,dolnośląskie,2020-03-27,193,4,28,0,PL_02
PL,dolnośląskie,2020-03-28,214,4,21,0,PL_02
PL,dolnośląskie,2020-03-29,234,4,20,0,PL_02
PL,dolnośląskie,2020-03-30,258,4,24,0,PL_02
PL,dolnośląskie,2020-03-31,274,4,16,0,PL_02
PL,dolnośląskie,2020-04-01,326,4,52,0,PL_02
PL,dolnośląskie,2020-04-02,338,6,12,2,PL_02
PL,dolnośląskie,2020-04-03,400,6,62,0,PL_02
PL,dolnośląskie,2020-04-04,407,6,7,0,PL_02
PL,dolnośląskie,2020-04-05,468,10,61,4,PL_02
PL,dolnośląskie,2020-04-06,488,13,20,3,PL_02
PL,dolnośląskie,2020-04-07,527,14,39,1,PL_02
PL,dolnośląskie,2020-04-08,539,15,12,1,PL_02
PL,dolnośląskie,2020-04-09,568,18,29,3,PL_02
PL,dolnośląskie,2020-04-10,637,20,69,2,PL_02
PL,dolnośląskie,2020-04-11,660,22,23,2,PL_02
PL,dolnośląskie,2020-04-12,697,23,37,1,PL_02
PL,dolnośląskie,2020-04-13,709,24,12,1,PL_02
PL,dolnośląskie,2020-04-14,723,25,14,1,PL_02
PL,dolnośląskie,2020-04-15,764,25,41,0,PL_02
PL,dolnośląskie,2020-04-16,819,28,55,3,PL_02
PL,dolnośląskie,2020-04-17,893,30,74,2,PL_02
PL,dolnośląskie,2020-04-18,949,30,56,0,PL_02
PL,dolnośląskie,2020-04-19,1044,30,95,0,PL_02
PL,dolnośląskie,2020-04-20,1077,33,33,3,PL_02
PL,dolnośląskie,2020-04-21,1118,33,41,0,PL_02
PL,dolnośląskie,2020-04-22,1144,36,26,3,PL_02
PL,dolnośląskie,2020-04-23,1212,36,68,0,PL_02
PL,dolnośląskie,2020-04-24,1235,37,23,1,PL_02
